,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1283,Avis AXA ,"2,6 sur 5 étoiles",18/06/2022,points positifs :- interface du site ergonomique- les déblocages des crédits immobiliers sont rapidespoints négatifs :- le service client ne répond pas aux mails envoyés par la messagerie. personnellement j'ai 3 messages envoyés début février sans réponse.- réception de courrier menaçant de clôture de compte alors que les justificatifs sont envoyés et que le site indique que tout est à jour.la banque vient de changer son système informatique. j'ose espérer que ce n'est qu'une mauvaise passe pour eux et qu'ils vont enfin s'occuper de leurs clients.,points positifs interface site ergonomique déblocages crédits immobiliers rapidespoints négatifs service client répond mails envoyés messagerie personnellement messages envoyés début février sans réponse réception courrier menaçant clôture compte alors justificatifs envoyés site indique tout jour banque vient changer système informatique ose espérer mauvaise passe vont enfin occuper leurs clients,Negative,1,frais
1284,Avis AXA ,"2,0 sur 5 étoiles",02/03/2022,"il y avait axa avant et axa maintenant en 2022. autrefois, une gestion humaine, une comptabilité efficace, des virements effectués et maintenant une gestion catastrophique: standard au maghreb, pas de réponses aux mails, des virements programmés et non effectués, une visa ne fonctionnant pas, des opérations inaccessibles.",axa avant axa maintenant 2022 autrefois gestion humaine comptabilité efficace virements effectués maintenant gestion catastrophique standard maghreb réponses mails virements programmés non effectués visa fonctionnant opérations inaccessibles,Positive,1,frais
1285,Avis AXA ,"1,8 sur 5 étoiles",17/02/2022,"une banque impossible à joindre, qui ne se soucie pas de ses clients. pas de réponse téléphonique, plus d'un mois pour répondre à un mail. ils m'ont facturés 12€ de frais à cause de leur nouvelle organisation. ils s'en excusent mais refusent de faire un geste commercial.",banque impossible joindre soucie clients réponse téléphonique plus mois répondre mail facturés 12 frais cause nouvelle organisation excusent refusent faire geste commercial,Positive,1,frais
1286,Avis AXA ,"2,5 sur 5 étoiles",13/02/2022,"je fais un devis auto avant la commande et quatre mois après la livraison du véhicule il y a 25% augmentation. une fois que le contrat est signé, on fait quoi ? il n´y a personne pour expliquer cette augmentation.",fais devis auto avant commande quatre mois après livraison véhicule 25 augmentation fois contrat signé fait quoi personne expliquer cette augmentation,Neutral,5,personnel
1287,Avis AXA ,"2,4 sur 5 étoiles",21/01/2022,"depuis janvier 2022 c'est la cata ! bugg sur bugg pour l'appli qui bloque tout accès y compris sur l'ordi, du temps perdu au tel pour réactiver quand on arrive à avoir quelqu'un, 48h maintenant pour création bénéficiaire et virement, le site est nettement moins bien qu'avant, n°compte changé, rib changé, identifiant changé. cliente depuis 25 ans (banque directe à l'origine) j'ai décidé de changer de banque.",depuis janvier 2022 cata bugg bugg appli bloque tout accès compris ordi temps perdu tel réactiver quand arrive avoir quelqu 48h maintenant création bénéficiaire virement site nettement moins bien avant compte changé rib changé identifiant changé cliente depuis 25 ans banque directe origine décidé changer banque,Negative,1,frais
1288,Avis AXA ,"2,0 sur 5 étoiles",06/01/2022,"depuis ce 4 janvier 2022, axa banque a modifié son système informatique et changé les identifiants de connexion de tous ses clients, sauf que beaucoup ne les ont pas reçus et ne peuvent plus accéder à leur compte depuis maintenant 48 heures. quant au numéro téléphonique ""d'accompagnement pour se connecter sur votre nouvel espace client"", de 08:00 à 20:00, ""tous les conseillers sont en ligne"" puis le serveur vocal interrompt systématiquement la communication. résultat : les clients ne peuvent plus accéder à leur argent, faire des virements internes ou toute action urgente. fidèle client depuis 1995, je suis bloqué par ma banque et je ne trouve aucune aide, les message laissés sur leur site internet restant sans réponse et donc sans solution.",depuis janvier 2022 axa banque modifié système informatique changé identifiants connexion tous clients sauf beaucoup reçus peuvent plus accéder compte depuis maintenant 48 heures quant numéro téléphonique accompagnement connecter nouvel espace client 08 00 20 00 tous conseillers ligne puis serveur vocal interrompt systématiquement communication résultat clients peuvent plus accéder argent faire virements internes toute action urgente fidèle client depuis 1995 bloqué banque trouve aucune aide message laissés site internet restant sans réponse donc sans solution,Positive,6,accueil
1289,Avis AXA ,5 sur 5 étoiles,01/12/2021,"vraiment, la banque qui m'apporte le plus de satisfaction ! frais ultra réduits, site très agréable à utiliser et rapide, possibilité de tout gérer par soi-même, réactivité des conseillers, rapidité d'envoi des chéquiers,... tout est parfait. tout le confort d'une banque en ligne allié au professionnalisme des conseillers. je recommande les yeux fermés. j'ai d'ailleurs plusieurs fois parrainé, preuve de ma satisfaction.",vraiment banque apporte plus satisfaction frais ultra réduits site très agréable utiliser rapide possibilité tout gérer soi réactivité conseillers rapidité envoi chéquiers tout parfait tout confort banque ligne allié professionnalisme conseillers recommande yeux fermés ailleurs plusieurs fois parrainé preuve satisfaction,Positive,2,frais
1290,Avis AXA ,"2,2 sur 5 étoiles",07/09/2021,"axa non fiable !achat pour 7 personnes de pass+ hôtel+repas et assurance axa pour le futuroscope. suite à un décès, annulation.depuis aucun remboursement et simplement des demandes de justificatifs encore et encore...pourquoi prendre une assurance sinon pour avoir des tracas supplémentaires. je doute de la fiabilité de cet assureur...plus de 1 mois et aucun remboursement reçu !impossible de joindre le service responsable.",axa non fiable achat personnes pass hôtel repas assurance axa futuroscope suite décès annulation depuis aucun remboursement simplement demandes justificatifs encore encore pourquoi prendre assurance sinon avoir tracas supplémentaires doute fiabilité cet assureur plus mois aucun remboursement reçu impossible joindre service responsable,Positive,6,accueil
1291,Avis AXA ,"2,0 sur 5 étoiles",06/02/2021,"d’autres banques en ligne sont gratuites pour tous les services essentiels (dont la carte sans condition), avec un support client de meilleure qualité et une meilleure réactivité.sans réponse à différentes réclamations (temps de réception de chéquier, temps d'accès au compte suite à blocage - sans doute tentative de piratage extérieure)… j'en suis parti et en suis très satisfait !",autres banques ligne gratuites tous services essentiels dont carte sans condition support client meilleure qualité meilleure réactivité sans réponse différentes réclamations temps réception chéquier temps accès compte suite blocage sans doute tentative piratage extérieure parti très satisfait,Positive,0,service
1292,Avis AXA ,"3,8 sur 5 étoiles",15/01/2021,"en 2018 j''ai ouvert un compte courant classique ainsi qu'un livret rémunéré nommé axa banque.l'inscription s'est déroulée en ligne et sans encombre. une fois que j'ai transmis les pièces justificatives, l'ouverture du compte ainsi que l'accès à mon espace personnel furent mis en place environ une semaine plus tard.en terme d'utilisation au quotidien, j'utilise principalement l'application mobile que je trouve très pratique. j'y vois mes transactions en quasi temps réel et la navigation est fluide. pour l'heure, je n'ai pas eu de souci particulier quant à la gestion de mon compte.étant une offre en ligne, le service client est dématérialisé. les conseillers sont joignables par téléphone ou par mail. pour ma part, je n'ai eu recours qu'à la première option. malheureusement, en fonction des périodes, il peut être très difficile de les joindre (parfois plus de 15 minutes d'attente). mais, dans l'ensemble, les gestionnaires de comptes sont sympathiques, cordiaux et répondent avec clarté à mes demandes.",2018 ouvert compte courant classique ainsi livret rémunéré nommé axa banque inscription déroulée ligne sans encombre fois transmis pièces justificatives ouverture compte ainsi accès espace personnel mis place environ semaine plus tard terme utilisation quotidien utilise principalement application mobile trouve très pratique vois transactions quasi temps réel navigation fluide heure souci particulier quant gestion compte offre ligne service client dématérialisé conseillers joignables téléphone mail part recours première option malheureusement fonction périodes peut être très difficile joindre parfois plus 15 minutes attente ensemble gestionnaires comptes sympathiques cordiaux répondent clarté demandes,Positive,0,service
1293,Avis AXA ,"4,0 sur 5 étoiles",06/12/2020,"j'ai déjà eu plusieurs fois l'occasion de traiter avec axa, que ce soit pour la banque ou les assurances.concernant les services bancaires, il n'y a pas grand chose à redire. la communication se fait assez rapidement avec les agences ou même avec le service clientèle. les conditions tarifaires sont comme pour tous ces dossiers, soumises évidemment à négociations, mais cela se fait calmement et dans les règles de l'art.tout peut se faire à distance concernant l'envoi des documents avec des retours rapides et efficaces.",déjà plusieurs fois occasion traiter axa banque assurances concernant services bancaires grand chose redire communication fait assez rapidement agences service clientèle conditions tarifaires comme tous dossiers soumises évidemment négociations cela fait calmement règles art tout peut faire distance concernant envoi documents retours rapides efficaces,Positive,0,service
1294,Avis AXA ,"4,3 sur 5 étoiles",02/11/2020,"en 2013 j'ai découvert axa banque, et comme j'étais déjà assuré pour ma voiture chez ce même assureur, j'ai décidé de tout regrouper en ouvrant un compte en banque.je me suis rendu dans l'agence axa de mon village, et j'ai expliqué ma démarche à mon conseiller, agent général de son état, et assureur habituel.le compte courant a été ouvert en quelques minutes, j'ai du placer une centaine d'euros dessus pour l'apport.il m'a été remis un carnet de chèques, une carte bancaire et un rib.l’utilisation au quotidien est similaire à un autre compte bancaire classique. vous disposez d'un espace personnel sur le web, vous pouvez suivre vos dépenses et arrivées d'argent en temps réel et une appli est disponible sur smartphone.seul point négatif : les chèques sont à envoyer au siège à paris pour les faire encaisser.aujourd'hui je ne dispose plus de ce compte et l'ai fait clôturer pour un autre organisme.",2013 découvert axa banque comme déjà assuré voiture chez assureur décidé tout regrouper ouvrant compte banque rendu agence axa village expliqué démarche conseiller agent général état assureur habituel compte courant ouvert quelques minutes placer centaine euros dessus apport remis carnet chèques carte bancaire rib utilisation quotidien similaire autre compte bancaire classique disposez espace personnel web pouvez suivre dépenses arrivées argent temps réel appli disponible smartphone seul point négatif chèques envoyer siège paris faire encaisser aujourd hui dispose plus compte fait clôturer autre organisme,Positive,6,accueil
1295,Avis AXA ,"3,7 sur 5 étoiles",15/10/2020,"lorsque j’ai connu cette banque, elle était uniquement une banque directe. plus tard, a l’issue d’un rachat, elle est devenue axa banque.client de cette banque de puis plusieurs années, je n’ai pas connu de problèmes liés au service.a ce niveau, on note un bon fonctionnement des applications et sites. néanmoins, je constate que le tarif bancaire sur les différentes actions (bourse, frais à l’étranger, et autres services) est trop élevé.quant à l’assistance clientèle, elle est très réactive. j’ai toujours été satisfait par les conseillés téléphoniques. le plus intéressant est qu’en cas de perte ou de vol de la carte bancaire, vous recevrez votre nouvelle carte en ar et le nouveau code par courrier. cela m'est d’ailleurs arrivé successivement deux fois. par ailleurs, moins de cinq jours, j’ai été satisfait.",lorsque connu cette banque uniquement banque directe plus tard issue rachat devenue axa banque client cette banque puis plusieurs années connu problèmes liés service niveau note bon fonctionnement applications sites néanmoins constate tarif bancaire différentes actions bourse frais étranger autres services trop élevé quant assistance clientèle très réactive toujours satisfait conseillés téléphoniques plus intéressant cas perte vol carte bancaire recevrez nouvelle carte ar nouveau code courrier cela ailleurs arrivé successivement deux fois ailleurs moins cinq jours satisfait,Positive,3,service
1296,Avis AXA ,"3,5 sur 5 étoiles",08/10/2020,"en clair, je suis satisfaite des services proposés par axa banque.l'usage que je fais de cette banque en ligne est relativement simple. néanmoins cette banque en ligne n'est pas forcément plus avantageuse qu'une autre.le site et l'application sont assez bien conçus, dynamiques et intuitifs, don faciles d'utilisation.le service client, comme bien souvent, n'est pas irréprochable mais il n'est pas des pires.",clair satisfaite services proposés axa banque usage fais cette banque ligne relativement simple néanmoins cette banque ligne forcément plus avantageuse autre site application assez bien conçus dynamiques intuitifs don faciles utilisation service client comme bien souvent irréprochable pires,Positive,0,service
