,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1386,Avis BNP Paribas ,"3,8 sur 5 étoiles",21/06/2022,"l'inscription à bnp paribas est simple et l'application de la banque est facile d'utilisation et informative, car elle me permet de connaître en temps réel les transactions effectuées dans différents secteurs comme les loisirs ou la restauration. pareil pour lier mon compte à ebay ou donner les numéros de mon rib, tout se fait facilement et rapidement.cependant, en voyant toutes les transactions, j'ai remarqué un beau jour que je fus débité de 50 euros pour les frais de ma banque alors que je n'ai pas été prévenu et d'après le témoignage de clients sur différents forums, les prix variaient énormément. c'est le seul et unique problème que j'ai eu, heureusement cette transaction n'a lieu qu'une fois par an. autre problème, si le code secret est perdu, il faut appeler la banque ce qui n'est pas pratique car il faut appeler pendant son temps de travail pour un simple code.",inscription bnp paribas simple application banque facile utilisation informative car permet connaître temps réel transactions effectuées différents secteurs comme loisirs restauration pareil lier compte ebay donner numéros rib tout fait facilement rapidement cependant voyant toutes transactions remarqué beau jour débité 50 euros frais banque alors prévenu après témoignage clients différents forums prix variaient énormément seul unique problème heureusement cette transaction lieu fois an autre problème si code secret perdu faut appeler banque pratique car faut appeler pendant temps travail simple code,Positive,0,service
1387,Avis BNP Paribas ,"1,8 sur 5 étoiles",23/01/2022,"les rdv ne sont pas conclus personnellement, mais appliqués unilatéralement par l'intermédiaire de l'espace client, qui est généralement injoignable. mauvaise organisation, mauvaise communication, mauvaise ict (plusieurs lettres recommandées d'annulation sont carrément ignorées). ils ne font qu'envoyer à nouveau des factures en ""réponse"" aux résiliations.",rdv conclus personnellement appliqués unilatéralement intermédiaire espace client généralement injoignable mauvaise organisation mauvaise communication mauvaise ict plusieurs lettres recommandées annulation carrément ignorées font envoyer nouveau factures réponse résiliations,Negative,5,personnel
1388,Avis BNP Paribas ,"1,2 sur 5 étoiles",21/08/2021,"j'ai ouvert un compte paribasmon conseiller a pris 10jours pour répondre a une question urgente.finalement j'ai du me debrouiller seul pendant ce temps. heureusement que je n'était pas a l'étranger avec une carte bloquée...a l ouverture de ce compte un ami m'a parrainé (offre soit disant de 80e pour le parrain et le filleul).mais j attends toujours, 3 mois apres l'ouverture (pareil pour le parrains).on me renvoie des pseudo mails où je dois renseigner des informations pour débloquer l offre de 80e.mais on me repose systématiquement les memes questions depuis l ouverture du compte ... et on tourne en rond.pire, hier on m'envoie un mail sur ma boite mail pour me demander mon adresse e-mai, soit disant toujours pour débloquer le problème...complètement debile!!! je répète tellement c'est surréaliste : ils m'écrivent par mail pour connaitre mon adresse mail!!!ya personne chez paribas qui a un cerveau?pourquoi pas venir frapper à ma porte pour me demander où j'habite...bref ca pue l'arnaque et on prend le client pour un gros pigeon...je suis a peine arrivé que je cherche deja une autre banque...",ouvert compte paribasmon conseiller pris 10jours répondre question urgente finalement debrouiller seul pendant temps heureusement étranger carte bloquée ouverture compte ami parrainé offre disant 80e parrain filleul attends toujours mois apres ouverture pareil parrains renvoie pseudo mails où dois renseigner informations débloquer offre 80e repose systématiquement memes questions depuis ouverture compte tourne rond pire hier envoie mail boite mail demander adresse mai disant toujours débloquer problème complètement debile répète tellement surréaliste écrivent mail connaitre adresse mail ya personne chez paribas cerveau pourquoi venir frapper porte demander où habite bref ca pue arnaque prend client gros pigeon peine arrivé cherche deja autre banque,Negative,6,accueil
1389,Avis BNP Paribas ,"1,8 sur 5 étoiles",27/07/2021,"30 ans de fidélité et de fiabilité pour un résultat simple : une lettre recommandée non signée qui nous informe que nous sommes éjectés sous 2 mois.nos comptes seront clôturés, et il est impossible de savoir pourquoi. le service globalement fut très moyen et onéreux, toutefois sans aucune raison accessible, pas même via notre conseiller, le premier surpris de cette réaction, nous subissons l'humiliation d'être virés, purement et simplement.a fuir, sous peine de très mauvaise surprise !",30 ans fidélité fiabilité résultat simple lettre recommandée non signée informe éjectés sous mois comptes clôturés impossible savoir pourquoi service globalement très moyen onéreux toutefois sans aucune raison accessible via conseiller premier surpris cette réaction subissons humiliation être virés purement simplement fuir sous peine très mauvaise surprise,Positive,0,service
1390,Avis BNP Paribas ,"3,5 sur 5 étoiles",19/01/2021,"client à la bnp parisbas depuis presque ans, je suis globalement satisfaite.c'est une très bonne banque... à condition de tomber sur un(e) bon(ne) conseiller(ère). j'ai initialement souscrit à une offre erasmus sur 3 ans, mon (très bon) conseiller de l'époque m'a prolongé mes droits sur 3 ans supplémentaires.puis il y a 3 ans, j'ai dû changer d'agence pour cause de déménagement. je suis tombée sur une conseillère incompétente qui m'a fait vivre un cauchemar à chaque demande que j'avais.j'ai demandé à changer de conseillère, et aujourd'hui, tout va de nouveau très bien. le service clientèle dépend vraiment du conseiller!l´enregistrement est plutôt lent à cause d'un système informatique interne obsolète semble-t´il.",client bnp parisbas depuis presque ans globalement satisfaite très bonne banque condition tomber bon conseiller ère initialement souscrit offre erasmus ans très bon conseiller époque prolongé droits ans supplémentaires puis ans dû changer agence cause déménagement tombée conseillère incompétente fait vivre cauchemar chaque demande demandé changer conseillère aujourd hui tout va nouveau très bien service clientèle dépend vraiment conseiller enregistrement plutôt lent cause système informatique interne obsolète semble,Positive,0,service
1391,Avis BNP Paribas ,"4,5 sur 5 étoiles",11/01/2021,"j’ai choisi la bnp car il y une agence dans ma commune. avant j’étais au crédit lyonnais.je suis cliente depuis 15 ans. j'ai un compte courant, un ldd et un livret a ouvert récemment sur le site internet. j'utilise seulement internet. l’interface est agréable et fluide et on peut suivre ses comptes facilement.j’ai toujours eu un rendez-vous facilement avec un conseiller. le seul hic est que j’habite une petite ville et que les conseillers changent tous les 2 ou 3 ans. l'agence n’est plus ouverte que 2 jours ½ par semaine. la messagerie est pratique pour joindre un conseiller. il répond sous 2 jours. en revanche, le nouveau numéro de téléphone de la plateforme n’est pas au point car le robot ne comprend pas quelle agence on veut joindre.",choisi bnp car agence commune avant crédit lyonnais cliente depuis 15 ans compte courant ldd livret ouvert récemment site internet utilise seulement internet interface agréable fluide peut suivre comptes facilement toujours rendez facilement conseiller seul hic habite petite ville conseillers changent tous ans agence plus ouverte jours semaine messagerie pratique joindre conseiller répond sous jours revanche nouveau numéro téléphone plateforme point car robot comprend quelle agence veut joindre,Positive,0,service
1392,Avis BNP Paribas ,"3,8 sur 5 étoiles",02/12/2020,"je suis d'origine belge et à mes 20 ans, j'ai choisi d'ouvrir un compte bancaire chez bnp paribas.c'était la banque du village où ma famille était cliente. j'y suis restée 5 ans jusqu'à mon départ définitif en savoie.au cours de ces années, j'ai été accompagnée par un conseiller très pédagogue . cela m'a permis d'entrer plus sereinement dans la vie active. lors de mon déménagement, mon conseiller s'est occupé de clôturer mon compte et de transférer mon argent vers ma nouvelle banque de façon rapide et efficace.pour ma part, mon service favori a été d'avoir accès à mon espace client depuis mon domicile.",origine belge 20 ans choisi ouvrir compte bancaire chez bnp paribas banque village où famille cliente restée ans jusqu départ définitif savoie cours années accompagnée conseiller très pédagogue cela permis entrer plus sereinement vie active lors déménagement conseiller occupé clôturer compte transférer argent vers nouvelle banque façon rapide efficace part service favori avoir accès espace client depuis domicile,Positive,4,service
1393,Avis BNP Paribas ,"4,5 sur 5 étoiles",13/10/2020,"une expérience géniale avec bnp paribasje suis sènou, étudiant international en france.plusieurs de mes amis m’ont recommandé bnp paribas pour la création de mon compte bancaire. je suis allé et j’ai pris rendez-vous. l’accueil a été très sympathique. le jour de la création du compte, j’ai été reçu par ma conseillère clientèle. la création de mon compte étudiant s’est faite rapidement malgré quelques problèmes de connexion. la semaine suivante, j’ai reçu mes identifiants et ma carte bancaire qui m’a été offerte avec une assurance gratuite également en cas de perte ou de vol.j’ai ensuite essayé de me connecter à mon espace avec l’application. j’ai eu un peu de mal parce que le système avait quelques dysfonctionnements. cependant, lorsque j’ai pu accéder, l’interface de l’application était assez soft. j’ai fait ma première opération et diverses fonctions permettent de se rassurer de la sécurité et de la traçabilité des services.l’application me permet d’entrer directement en contact avec ma conseillère. j’ai d’ailleurs pris rendez-vous via l’application. c’est une banque que je recommande pour les étudiants qui peuvent avoir besoin de prêts ponctuels sans condition.",expérience géniale bnp paribasje sènou étudiant international france plusieurs amis recommandé bnp paribas création compte bancaire allé pris rendez accueil très sympathique jour création compte reçu conseillère clientèle création compte étudiant faite rapidement malgré quelques problèmes connexion semaine suivante reçu identifiants carte bancaire offerte assurance gratuite également cas perte vol ensuite essayé connecter espace application peu mal parce système quelques dysfonctionnements cependant lorsque pu accéder interface application assez soft fait première opération diverses fonctions permettent rassurer sécurité traçabilité services application permet entrer directement contact conseillère ailleurs pris rendez via application banque recommande étudiants peuvent avoir besoin prêts ponctuels sans condition,Positive,0,service
1394,Avis BNP Paribas ,"4,8 sur 5 étoiles",11/10/2020,"nous sommes devenus clients de la banque bnp paribas en 2012 lorsque nous avons fait racheter notre crédit immobilier.le choix de cette banque est donc dû à une histoire de taux, mais nous sommes aujourd'hui pleinement satisfaits.le conseiller auquel nous avions eu à faire était vraiment bien : accessible, compréhensible et pédagogue.aujourd'hui, nous utilisons exclusivement les services à distance de la banque et elles sont faciles d'utilisation. cela nous permet de ne plus subir les changements récurrents de conseiller.",devenus clients banque bnp paribas 2012 lorsque fait racheter crédit immobilier choix cette banque donc dû histoire taux aujourd hui pleinement satisfaits conseiller auquel faire vraiment bien accessible compréhensible pédagogue aujourd hui utilisons exclusivement services distance banque elles faciles utilisation cela permet plus subir changements récurrents conseiller,Positive,0,service
1395,Avis BNP Paribas ,"4,8 sur 5 étoiles",12/07/2020,"client à la banque bnp paribas depuis toujours, je ne pourrais me plaindre de leurs services.en effet l’ouverture d’un compte bancaire est de toute simplicité, et bien entendu fût toujours plus simple, à chaque ouverture de nouveaux comptes pour les membres de ma famille. les commissions peuvent être très élevées, notamment en cas de découvert. j’en ai moi même fais les frais, plutôt alors que je n’étais pas capable de gérer mes dépenses.cependant le service client attentif, a su m’aider et les sanctions ont pu être négociées... sûrement l’avantage d’être client dans une agence rurale, et avoir la possibilité d’être proche de son conseiller bancaire.de plus, leur application pour téléphone mise à jour régulièrement, offre un accès simple à toutes les fonctions possibles en tant que client sans pour autant négliger la sécurité de l’usager.je ne peux que recommander leurs services, et cela pour les familles nombreuses.",client banque bnp paribas depuis toujours pourrais plaindre leurs services effet ouverture compte bancaire toute simplicité bien entendu toujours plus simple chaque ouverture nouveaux comptes membres famille commissions peuvent être très élevées notamment cas découvert fais frais plutôt alors capable gérer dépenses cependant service client attentif su aider sanctions pu être négociées sûrement avantage être client agence rurale avoir possibilité être proche conseiller bancaire plus application téléphone mise jour régulièrement offre accès simple toutes fonctions possibles tant client sans autant négliger sécurité usager peux recommander leurs services cela familles nombreuses,Positive,0,service
