,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
477,Avis Banque Populaire ,"2,8 sur 5 étoiles",16/07/2022,"cliente de la banque populaire depuis 1989, j’ai vu le service et les tarifs évoluer de façon significative et pas à l’avantage du client. les conseillers changent régulièrement sans pour autant avertir les personnes dont les comptes sont gérés par ces conseillers, pourtant le mailing ne pose pas de problème pour adresser des publicités. le dernier conseiller en date n’a pas été capable d’apporter de réponses ou mêmes de pistes à explorer face aux questions que nous nous posions. le plus gros problème concerne le site internet dont les techniques d’identification évoluent, certes pour s’adapter aux nouvelles techniques des pirates du web, et à chaque fois perdent en stabilité. ainsi, régulièrement il n’est pas possible de se connecter et donc d’effectuer des opérations parfois urgentes. les niveaux de dépenses sont plafonnés et dès que vous voulez faire un achat important vous êtes bloqué ou alors il faut payer davantage et passer en carte gold. en résumé, il faut payer pour disposer de son propre argent",cliente banque populaire depuis 1989 vu service tarifs évoluer façon significative avantage client conseillers changent régulièrement sans autant avertir personnes dont comptes gérés conseillers pourtant mailing pose problème adresser publicités dernier conseiller date capable apporter réponses mêmes pistes explorer face questions posions plus gros problème concerne site internet dont techniques identification évoluent certes adapter nouvelles techniques pirates web chaque fois perdent stabilité ainsi régulièrement possible connecter donc effectuer opérations parfois urgentes niveaux dépenses plafonnés dès voulez faire achat important bloqué alors faut payer davantage passer carte gold résumé faut payer disposer propre argent,Positive,4,service
478,Avis Banque Populaire ,"4,4 sur 5 étoiles",13/07/2022,"des conseillers attentifs, à l'écoute et disponibles. j'apprécie particulièrement leur travail d'équipe qui favorise le partage d'informations et leur permet de toujours savoir répondre pertinemment aux demandes personnelles parfois atypiques.",conseillers attentifs écoute disponibles apprécie particulièrement travail équipe favorise partage informations permet toujours savoir répondre pertinemment demandes personnelles parfois atypiques,Positive,0,service
479,Avis Banque Populaire ,"4,8 sur 5 étoiles",29/06/2022,"je suis client à la banque populaire depuis plusieurs année et j’ai toujours été du service proposé. on m’a toujours donné de bons conseils pour mes crédits immobiliers, de consommation, tous les types d’assurance que j’ai souscrits.j e félicite l’équipe de l’agence de beausoleil.",client banque populaire depuis plusieurs année toujours service proposé toujours donné bons conseils crédits immobiliers consommation tous types assurance souscrits félicite équipe agence beausoleil,Positive,5,personnel
480,Avis Banque Populaire ,"1,8 sur 5 étoiles",24/06/2022,"l´unique fois où nous avons eu besoin de leur aide, ils se sont révélés absents et de très mauvais conseil. mon compte a été piraté il y a environ 3 mois pour plus de 2000€. la banque nous a dit de ne pas nous alerter car l'assurance interviendrait sur ce point. un mois et demi plus tard, nous recevons un appel indiquant qu'il n'y aurait aucune prise en charge sur cette fraude. aucune autre explication. je recontacte le conseiller pour comprendre le dossier. a ma grande surprise, ce dernier m'indique simplement qu'il y aurait une erreur de ma part (à ce jour je n'en ai toujours pas eu le preuve malgré l'envoi d'un courrier recommandé).j'ai ensuite demandé un rendez-vous pour lequel on m'a imposé une date à laquelle je ne pouvais malheureusement pas me rendre disponible et surtout auquel je ne souhaitais pas me rendre disponible sans avoir obtenu l'ensemble des éléments au préalable concernant le piratage dont j'avais été victime. une nouvelle fois mon conseiller m'a indiqué que si je n'étais pas présente à ce rendez vous, le service réclamation prendrait la suite et qu'il ne gérerait plus ce dossier. pour terminer, lors de l'organisation de ce même rendez-vous j'avais spécifié à mon conseiller être enceinte et à terme. ce dernier m'a alors indiqué que dans mon état il était peut être compliqué de se rencontrer. surprenant? surtout après m'avoir invité lors de ce même échange téléphonique à me rendre au commissariat pour déposer plainte suite à cette fraude (le dépôt de plainte avait déjà été déposé sur le site perceval un mois et demi avant). en bon élève que je suis, je me suis rendue au commissariat qui m'a indiqué ne plus prendre de dépôt de plainte et que toutes les démarches se faisaient par perceval. très alerte le conseiller sur le sujet semblerait il.",unique fois où besoin aide révélés absents très mauvais conseil compte piraté environ mois plus 2000 banque dit alerter car assurance interviendrait point mois demi plus tard recevons appel indiquant aucune prise charge cette fraude aucune autre explication recontacte conseiller comprendre dossier grande surprise dernier indique simplement erreur part jour toujours preuve malgré envoi courrier recommandé ensuite demandé rendez lequel imposé date laquelle pouvais malheureusement rendre disponible surtout auquel souhaitais rendre disponible sans avoir obtenu ensemble éléments préalable concernant piratage dont victime nouvelle fois conseiller indiqué si présente rendez service réclamation prendrait suite gérerait plus dossier terminer lors organisation rendez spécifié conseiller être enceinte terme dernier alors indiqué état peut être compliqué rencontrer surprenant surtout après avoir invité lors échange téléphonique rendre commissariat déposer plainte suite cette fraude dépôt plainte déjà déposé site perceval mois demi avant bon élève rendue commissariat indiqué plus prendre dépôt plainte toutes démarches faisaient perceval très alerte conseiller sujet semblerait,Positive,6,accueil
481,Avis Banque Populaire ,"2,6 sur 5 étoiles",23/06/2022,"avec ce nouveau système il est très compliqué de contacter un chargé de clientèle. on se demande si on va avoir une réponse adaptée à notre demande, et surtout dans combien de temps.",nouveau système très compliqué contacter chargé clientèle demande si va avoir réponse adaptée demande surtout combien temps,Negative,4,service
482,Avis Banque Populaire ,"3,2 sur 5 étoiles",19/06/2022,30 ans à la banque populaire sans un seul incident. carte bleue piratée par le site ameli. dès que je m’en suis aperçu j’ai fait opposition mais ils ont refusé de me rembourser les sommes volés sous divers prétextes . puis les pirates sont rentrés sur mon compte et ont réussi faire des virements et prêts sans mon autorisation. j’ai pu bloquer les virements avant qu’ils partent sur l’étranger! que s´est-il passé ?,30 ans banque populaire sans seul incident carte bleue piratée site ameli dès aperçu fait opposition refusé rembourser volés sous divers prétextes puis pirates rentrés compte réussi faire virements prêts sans autorisation pu bloquer virements avant partent étranger passé,Positive,0,service
483,Avis Banque Populaire ,"2,0 sur 5 étoiles",25/05/2022,"dans la cadre de la succession suite au décès de ma mère, son pel a été taxé en dehors des conditions légales. de plus la banque populaire a prélevé des frais de succession à un taux très élevé. enfin, lorsque l'on demande des éclaircissements sur la nature des frais de succession, c'est l'opacité la plus totale.",cadre succession suite décès mère pel taxé dehors conditions légales plus banque populaire prélevé frais succession taux très élevé enfin lorsque demande éclaircissements nature frais succession opacité plus totale,Positive,4,service
484,Avis Banque Populaire ,"3,0 sur 5 étoiles",24/05/2022,concernant le site :le nouvel interface du site de la banque populaire est moins bien que le précédent. trop d'infos tuent l'info. les références des opérations ne peuvent plus être copiées (ctrl+c) puis collées (ctrl+v) dans un autre logiciel de gestion de compte bancaire.concernant l'agence :impossible d'utiliser la carte bleue pour pénétrer dans l'agence quand elle est fermée. quasiment jamais de ticket papier dans le distributeur.blocage du distributeur quand les clients ont pris trop d'argent.lorsqu'on utilise le distributeur d'une autre banque on nous prélève des frais.toutefois on est bien accueilli au guichet.,concernant site nouvel interface site banque populaire moins bien précédent trop infos tuent info références opérations peuvent plus être copiées ctrl puis collées ctrl autre logiciel gestion compte bancaire concernant agence impossible utiliser carte bleue pénétrer agence quand fermée quasiment jamais ticket papier distributeur blocage distributeur quand clients pris trop argent lorsqu utilise distributeur autre banque prélève frais toutefois bien accueilli guichet,Negative,0,service
485,Avis Banque Populaire ,"2,3 sur 5 étoiles",18/05/2022,"pas de réponse aux demandes particulières. lorsqu'un problème technique survient, la résolution, quand elle intervient, avec un délai indéfini et long. le service client brille d'incompétence.je me suis fait réellement escroquer lorsqu'on m'a proposé des actions natixis à 29,90 €, puis comme l'action avait baissé, on m'a proposé d´en racheter de nouvelles à un prix bas. ce qui a permis de lisser le prix à 8,90 €. ce que l'on ne m'avait pas précisé, c'est que ces actions pouvaient être retirées du marché et rachetées à 4,00 € ! une perte nette de 1273,00 €!",réponse demandes particulières lorsqu problème technique survient résolution quand intervient délai indéfini long service client brille incompétence fait réellement escroquer lorsqu proposé actions natixis 29 90 puis comme action baissé proposé racheter nouvelles prix bas permis lisser prix 90 précisé actions pouvaient être retirées marché rachetées 00 perte nette 1273 00,Negative,0,service
486,Avis Banque Populaire ,"2,4 sur 5 étoiles",16/05/2022,"le service bancaire de la banque populaire est très correct et efficace. rien à redire. par contre, en ce qui concerne l'assurance, c'est loin d'être rose.j'ai été très déçu par l'assurance habitation que propose la banque populaire. en effet, j'ai eu 2 sinistres, tous deux couverts par cette ""assurance"", si on peut l'appeler ainsi. il n'ont jamais versé un centime. l'expert que l'assurance a envoyé a été, à chaque fois, de très mauvaise foi. il a une panoplie d'excuses à sa disposition, pour éviter de vous indemniser. ses explications techniques, surtout face à un client ingénieur, sont risibles. il ne s'agit nullement de l'incompétence de cet expert, mais bien de sa mauvaise foi pour tenter d'expliquer pourquoi l'assurance ne prendra pas en charge les réparations. bref, le contrat d'assurances n'est clairement pas respecté en ce qui concerne les indemnisations.plutôt que de prendre un avocat, aller au tribunal, perdre plusieurs mois de location, et surtout perdre un temps précieux, j'ai préféré payer moi-même les réparations, pourtant clairement prises en charge dans mon contrat.",service bancaire banque populaire très correct efficace rien redire contre concerne assurance loin être rose très déçu assurance habitation propose banque populaire effet sinistres tous deux couverts cette assurance si peut appeler ainsi jamais versé centime expert assurance envoyé chaque fois très mauvaise foi panoplie excuses disposition éviter indemniser explications techniques surtout face client ingénieur risibles agit nullement incompétence cet expert bien mauvaise foi tenter expliquer pourquoi assurance prendra charge réparations bref contrat assurances clairement respecté concerne indemnisations plutôt prendre avocat aller tribunal perdre plusieurs mois location surtout perdre temps précieux préféré payer réparations pourtant clairement prises charge contrat,Positive,4,service
