,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1120,Avis Bforbank ,"4,8 sur 5 étoiles",08/07/2022,"je suis ravi de cette banque. j'y suis client depuis plusieurs années. je n'ai jamais eu le moindre problème. je trouve le site bien fait, j'ai toutes les réponses à mes questions en ligne (je n'ai donc jamais vraiment eu affaire au service client) et je trouve les frais pratiqués très corrects.",ravi cette banque client depuis plusieurs années jamais moindre problème trouve site bien fait toutes réponses questions ligne donc jamais vraiment affaire service client trouve frais pratiqués très corrects,Positive,2,frais
1121,Avis Bforbank ,"1,8 sur 5 étoiles",23/06/2022,"demande d'ouverture de compte bancaire avec des revenus ""généreux"" et un peu d'épargne. envoi presque immédiat des documents demandés et du virement de la somme requise pour ouverture de compte. refus non motivé par courrier, impossible d'en connaître la raison via le chat en ligne, ni par téléphone (quand le service est joignable).",demande ouverture compte bancaire revenus généreux peu épargne envoi presque immédiat documents demandés virement somme requise ouverture compte refus non motivé courrier impossible connaître raison via chat ligne ni téléphone quand service joignable,Positive,6,accueil
1122,Avis Bforbank ,"4,5 sur 5 étoiles",14/06/2022,"je suis cliente de bforbank depuis plus de 4 ans. j'ai été séduite au départ par l'absence de frais sur la gestion de mes comptes. depuis, je suis satisfaite de tous leurs services. j'ai une carte visa premium (gratuite) que je peux gérer depuis mon compte en ligne. je peux l'activer ou la désactiver, augmenter temporairement les plafonds de retraits ou effectuer des virements ou versements sur mes différents comptes en un clic. l'application sur mon smartphone est bien conçue et me permet de contacter rapidement des conseillers si besoin.",cliente bforbank depuis plus ans séduite départ absence frais gestion comptes depuis satisfaite tous leurs services carte visa premium gratuite peux gérer depuis compte ligne peux activer désactiver augmenter temporairement plafonds retraits effectuer virements versements différents comptes clic application smartphone bien conçue permet contacter rapidement conseillers si besoin,Positive,0,service
1123,Avis Bforbank ,"4,0 sur 5 étoiles",27/04/2022,"lorsque j’ai rejoint la plateforme il y a deux ans, je cherchais juste une banque en ligne qui m’épargnerait les longues files d’attente. avec bforbank, j’ai découvert bien plus. en plus de proposer les services des banques classiques, bforbank permet de souscrire de nombreuses assurances sans se déplacer. ce qui m’a le plus attiré chez eux, ce sont les frais de transaction bas, la recharge apple pay et la possibilité d’ouvrir des livrets d’épargnes.déjà, mon inscription a été facile et rapide : remplissage d’un formulaire, signature électronique par sms et envoi de pièces justificatives. tout s’est bien passé. par ailleurs, pour me faciliter la tâche, j’ai préféré prendre l’application mobile. franchement, tout y est bien conçu et bien structuré. le design est ergonomique et les fonctionnalités sont impressionnantes. sans oublier de mentionner que leur service client est impeccable.bforbank, c’est vraiment la meilleure banque en ligne.",lorsque rejoint plateforme deux ans cherchais juste banque ligne épargnerait longues files attente bforbank découvert bien plus plus proposer services banques classiques bforbank permet souscrire nombreuses assurances sans déplacer plus attiré chez frais transaction bas recharge apple pay possibilité ouvrir livrets épargnes déjà inscription facile rapide remplissage formulaire signature électronique sms envoi pièces justificatives tout bien passé ailleurs faciliter tâche préféré prendre application mobile franchement tout bien conçu bien structuré design ergonomique fonctionnalités impressionnantes sans oublier mentionner service client impeccable bforbank vraiment meilleure banque ligne,Positive,0,service
1124,Avis Bforbank ,"4,5 sur 5 étoiles",26/04/2022,"j'ai adhéré à bforbank il y a 4 ans sous les conseils d'un ami. il m'avait conseillé cette banque en ligne pour leurs services de qualité, leur réactivité et pour la possibilité d'avoir une carte premier gratuite. j'ai pu vérifier toutes ces caractéristiques depuis que je suis cliente chez eux. je leur donne 5 étoiles pour les différents services que j'ai utilisés. effectivement, j'ai une carte premium qui ne me coute rien, une application sur mon smartphone qui est très facile à utiliser et un service client à l'écoute. lorsque j'ai besoin de renseignements, j'arrive à joindre rapidement un conseiller au téléphone qui se montre très professionnel.",adhéré bforbank ans sous conseils ami conseillé cette banque ligne leurs services qualité réactivité possibilité avoir carte premier gratuite pu vérifier toutes caractéristiques depuis cliente chez donne étoiles différents services utilisés effectivement carte premium coute rien application smartphone très facile utiliser service client écoute lorsque besoin renseignements arrive joindre rapidement conseiller téléphone montre très professionnel,Positive,0,service
1125,Avis Bforbank ,"4,3 sur 5 étoiles",04/04/2022,"ça fera bientôt un an que je suis avec bforbank et jusqu’à aujourd’hui tout va bien. bforbank est une néo-banque réellement accessible pour tous. pour commencer avec eux, j’ai dû ouvrir un compte courant accompagné d’un livret d’épargne. le processus est simple et ne demande pas beaucoup de temps. comme tout système digitalisé, ils vous demanderont de prouver votre identité et de confirmer vos informations personnelles. avec quelques pièces d’identité et de justificatif de domicile, ça peut aller. j’étais joyeux quand mon compte a été crédité de 80 euros après la validation. plusieurs services gratuits sont disponibles chez bforbank comme la gestion simple en ligne. zéro frais pour la carte bleue et zéro frais de tenue de compte. je gère mon compte et je fais mes transactions via l’application mobile de bforbank facile à utiliser. le service client est prêt à donner des solutions concrètes aux problèmes éventuels.",ça fera bientôt an bforbank jusqu aujourd hui tout va bien bforbank néo banque réellement accessible tous commencer dû ouvrir compte courant accompagné livret épargne processus simple demande beaucoup temps comme tout système digitalisé demanderont prouver identité confirmer informations personnelles quelques pièces identité justificatif domicile ça peut aller joyeux quand compte crédité 80 euros après validation plusieurs services gratuits disponibles chez bforbank comme gestion simple ligne zéro frais carte bleue zéro frais tenue compte gère compte fais transactions via application mobile bforbank facile utiliser service client prêt donner solutions concrètes problèmes éventuels,Positive,0,service
1126,Avis Bforbank ,"4,3 sur 5 étoiles",31/03/2022,"bforbank est la banque en ligne du crédit agricole et qui existe déjà depuis 2009. c'est d'ailleurs au vu de son ancienneté que j'ai surtout choisi cette banque en ligne. cette société fait partie des établissements bancaires les moins chers en france. quand les tarifs d'adhésion sont avantageux, cela vaut le coup de s'inscrire auprès d'une banque à moindre coût. j'ai eu la chance de profiter de la prime de bienvenue dès la création de mon compte bancaire. je suis heureux de l'avoir fait avant la pandémie. la qualité des services reste toujours excellente et le service client est bel et bien disponible pour ses clients et ses futurs prospects. je n'ai pas été déçu lors de la création de mon compte. c'est rapide, facile et accessible à tous. je rajoute également le fait que la plateforme soit très ergonomique. je pense que bforbank est effectivement un site qui fonctionne très bien notamment pour les personnes qui ont décidé d'avoir un compte dans une banque en ligne et qu'il soit utile pour faire des investissements en bourse, en assurance nouvelle génération ou dans des livrets spécifiques.",bforbank banque ligne crédit agricole existe déjà depuis 2009 ailleurs vu ancienneté surtout choisi cette banque ligne cette société fait partie établissements bancaires moins chers france quand tarifs adhésion avantageux cela vaut coup inscrire auprès banque moindre coût chance profiter prime bienvenue dès création compte bancaire heureux avoir fait avant pandémie qualité services reste toujours excellente service client bel bien disponible clients futurs prospects déçu lors création compte rapide facile accessible tous rajoute également fait plateforme très ergonomique pense bforbank effectivement site fonctionne très bien notamment personnes décidé avoir compte banque ligne utile faire investissements bourse assurance nouvelle génération livrets spécifiques,Positive,2,frais
1127,Avis Bforbank ,"4,8 sur 5 étoiles",10/02/2022,"en 2021, j'ai décidé de quitter ma banque pour une banque en ligne moins chère. j'ai choisi bforbank car elle fait partie du groupe crédit agricole, ce qui m'a rassurée. j'ai ouvert un compte courant, un livret a et transféré mon pea. leur site internet est très clair et j'ai pu effectuer les démarches sans problèmes. l'opération a été rapide, je dirais moins d'une semaine à partir du moment où j'ai chargé tous les documents dans l'espace client. cela a pris un peu plus de temps pour le pea mais c'est normal. j'ai appelé le service clients qui m'a expliqué que les actions devaient être remises sur le marché, etc. au quotidien, je suis contente de bforbank. on peut tout faire soi-même sans se déplacer en agence, et j'ai vraiment vu la différence sur ma facture ! il y a juste parfois des problèmes de disponibilité de l'espace client et on est prévenu un peu tard. j'espère que ce point va s'améliorer à l'avenir.",2021 décidé quitter banque banque ligne moins chère choisi bforbank car fait partie groupe crédit agricole rassurée ouvert compte courant livret transféré pea site internet très clair pu effectuer démarches sans problèmes opération rapide dirais moins semaine partir moment où chargé tous documents espace client cela pris peu plus temps pea normal appelé service clients expliqué actions devaient être remises marché etc quotidien contente bforbank peut tout faire soi sans déplacer agence vraiment vu différence facture juste parfois problèmes disponibilité espace client prévenu peu tard espère point va améliorer avenir,Positive,0,service
1128,Avis Bforbank ,"4,3 sur 5 étoiles",14/01/2022,"je suis devenue initialement cliente de bforbank par intérêt. dans le cadre d’un parrainage, je pouvais bénéficier de leur offre de bienvenue de 80€. je suis finalement restée cliente car les conditions tarifaires sont intéressantes. toute la démarche de souscription est facilitée et se fait en ligne. leur application mobile permet de disposer des principales informations nécessaires à la gestion de mon compte en banque. je n’ai pas encore eu l’occasion de faire appel au service clientèle. j’utilise bforbank exclusivement pour un compte courant. et il est à noter qu'il est possible de faire des dépôts de chèque, ce qui est une option plutôt rare pour une banque en ligne,. je recommanderai bforbank pour toute personne qui recherche une banque en ligne facile d'utilisation et proposant des tarifs compétitifs.",devenue initialement cliente bforbank intérêt cadre parrainage pouvais bénéficier offre bienvenue 80 finalement restée cliente car conditions tarifaires intéressantes toute démarche souscription facilitée fait ligne application mobile permet disposer principales informations nécessaires gestion compte banque encore occasion faire appel service clientèle utilise bforbank exclusivement compte courant noter possible faire dépôts chèque option plutôt rare banque ligne recommanderai bforbank toute personne recherche banque ligne facile utilisation proposant tarifs compétitifs,Positive,0,service
1129,Avis Bforbank ,"3,8 sur 5 étoiles",14/12/2021,"j’ai ouvert un compte personnel, un compte joint et un livret a dans cet établissement bancaire.les informations relatives aux divers produits financiers sont accessibles et bien détaillées. j’ai pu modifier un certain nombre de paramètres (seuil de découvert, plafonds de paiement et de retrait) directement dans l’application une fois l’ouverture de mes comptes effectuée.la consultation de mes services via l’application mobile est facilitée par son ergonomie.en ce qui concerne le service client, je ne suis pas satisfait. j’ai émis le souhait de clôturer mes comptes à la suite de mon départ à l’étranger. j’ai eu beaucoup de mal à joindre le service client. les formalités de clôture se sont révélées fastidieuses ; j’ai eu beaucoup d’échanges avec des interlocuteurs différents qui, la plupart du temps, me demandaient de renvoyer les mêmes documents. la majorité des échanges se sont faits par mail et le délai de traitement de mes demandes était très long (supérieur à deux semaines).",ouvert compte personnel compte joint livret cet établissement bancaire informations relatives divers produits financiers accessibles bien détaillées pu modifier certain nombre paramètres seuil découvert plafonds paiement retrait directement application fois ouverture comptes effectuée consultation services via application mobile facilitée ergonomie concerne service client satisfait émis souhait clôturer comptes suite départ étranger beaucoup mal joindre service client formalités clôture révélées fastidieuses beaucoup échanges interlocuteurs différents plupart temps demandaient renvoyer mêmes documents majorité échanges faits mail délai traitement demandes très long supérieur deux semaines,Positive,0,service
