,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
238,Avis Boursorama Banque ,"2,0 sur 5 étoiles",12/07/2022,"j´ai souhaité souscrire à cette banque. le processus s'est déroulé normalement jusqu'a la transmission de mon passeport qui je le précise et valide et avec lequel je suis allé plus de 10 fois au japon. il est plus facile d'aller en asie que de s'inscrire à boursorama. j ai appelé la hotline pour indiquer le rejet de la pièce officielle et suis tombé sur une personne qui m'a franchement pris pour un idiot ou un faussaire, en me disant que j avais rajouté personnellement la mention ""page réservée aux autorités compétentes"". cette mention est imprimée sur le document et fait partie intégrante du passeport. ce salarié pour le coup est resté fermé à mes explications et s'est empressé d 'annuler ma demande d'inscription.",souhaité souscrire cette banque processus déroulé normalement jusqu transmission passeport précise valide lequel allé plus 10 fois japon plus facile aller asie inscrire boursorama appelé hotline indiquer rejet pièce officielle tombé personne franchement pris idiot faussaire disant rajouté personnellement mention page réservée autorités compétentes cette mention imprimée document fait partie intégrante passeport salarié coup resté fermé explications empressé annuler demande inscription,Negative,6,accueil
239,Avis Boursorama Banque ,"2,0 sur 5 étoiles",11/07/2022,"essayez d'ouvrir un compte joint (50 pc des comptes environ) lorsque n'apparaît pas le prénom des deux. eh bien, robobanque vous fait tourner en rond pendant deux semaines pour à la fin dire que cela ne sera pas possible. contrairement à monabank ou même fortuneo, ouvrir un compte joint est normal. bref, le service client est incompétent et au moindre grain de sable vous en pâtirez.",essayez ouvrir compte joint 50 pc comptes environ lorsque apparaît prénom deux eh bien robobanque fait tourner rond pendant deux semaines fin dire cela possible contrairement monabank fortuneo ouvrir compte joint normal bref service client incompétent moindre grain sable pâtirez,Negative,1,frais
240,Avis Boursorama Banque ,"1,8 sur 5 étoiles",10/07/2022,"j'ai effectué une ouverture de compte en ligne chez boursorama. d'abord sur l'appli, le résultat se termine par un message de bug vous informant de l'impossibilité de finaliser l'ouverture de compte bancaire sur l'appli et vous oriente vers une inscription via le site internet. ensuite, l'ouverture de compte en ligne sur le site internet se résout à une demande de pièces complémentaires d'un second rib d'un second compte bancaire par l'envoi d'un message répétitif et automatisé. conséquence, si pas de second rib et pas de second compte, l'ouverture de compte ne pourra se finaliser et impossible d´ouvrir un compte chez boursorama. je déconseille fortement car au vu de cette 1ere approche problématique, il serait à parier que d'autres soucis peuvent apparaître par la suite.",effectué ouverture compte ligne chez boursorama abord appli résultat termine message bug informant impossibilité finaliser ouverture compte bancaire appli oriente vers inscription via site internet ensuite ouverture compte ligne site internet résout demande pièces complémentaires second rib second compte bancaire envoi message répétitif automatisé conséquence si second rib second compte ouverture compte pourra finaliser impossible ouvrir compte chez boursorama déconseille fortement car vu cette 1ere approche problématique parier autres soucis peuvent apparaître suite,Negative,6,accueil
241,Avis Boursorama Banque ,"2,8 sur 5 étoiles",09/07/2022,"je suis en thaïlande et ma carte ne fonctionne plus, des appels téléphoniques (sans jamais avoir un conseiller), plusieurs mails toujours sans réponse.donc plus de moyen de tirer de l'argent ni de payer mes achats. ma fille, qui est en france, a réussi à contacter le service client qui lui répond que j'aurai un mail dans la journée mais rien. rappel de ma fille le lendemain sans plus d'explication. voilà, vous vous retrouvez à 10000 km de chez vous sans moyen de paiement.",thaïlande carte fonctionne plus appels téléphoniques sans jamais avoir conseiller plusieurs mails toujours sans réponse donc plus moyen tirer argent ni payer achats fille france réussi contacter service client répond mail journée rien rappel fille lendemain sans plus explication voilà retrouvez 10000 km chez sans moyen paiement,Negative,4,service
242,Avis Boursorama Banque ,"2,8 sur 5 étoiles",08/07/2022,dégradation totale du service client depuis quelques mois. très longs délais de réponse aux mails. attente interminable au téléphone (après avoir réussi à l' insupportable eliot). impossible d'accéder au compte avant d'avoir accepter une nouvelle offre commerciale sur une carte (offre que je veux d'abord discuter avec un conseiller...cqfd). très déçue après 15 ans dans cette banque et pourtant rien à redire jusque là.,dégradation totale service client depuis quelques mois très longs délais réponse mails attente interminable téléphone après avoir réussi insupportable eliot impossible accéder compte avant avoir accepter nouvelle offre commerciale carte offre veux abord discuter conseiller cqfd très déçue après 15 ans cette banque pourtant rien redire jusque là,Negative,6,accueil
243,Avis Boursorama Banque ,"1,6 sur 5 étoiles",02/07/2022,"boursorama m’a donné un accord de principe sur le crédit. je me suis donc engagé et j´ai signé un compromis de vente. au moment de la finalisation du prêt, il est refusé sous prétexte que je n’avais pas assez d’ancienneté, alors que c’était un élément connu lors de la simulation. j’ai été dans une mauvaise position vis à vis du vendeur. pas professionnel du tout !",boursorama donné accord principe crédit donc engagé signé compromis vente moment finalisation prêt refusé sous prétexte assez ancienneté alors élément connu lors simulation mauvaise position vis vis vendeur professionnel tout,Positive,6,accueil
244,Avis Boursorama Banque ,"2,8 sur 5 étoiles",28/06/2022,"il est très facile de souscrire en ligne une assurance vie. le plus compliqué est d'effectuer aujourd'hui un rachat partiel. je n'avais aucun problème jusqu'au 1er avril 2022 où mon rachat partiel n'a jamais été exécuté. j'ai contacté une 1ère fois le service client (25 minutes d'attente) pour m'entendre dire que ma demande était en cours de traitement. plusieurs jours après, toujours pas de nouvelles, j'ai effectué entre le 17 mai et le 28 juin réclamations sur réclamations sur le site boursorama, j'ai obtenu une seule réponse courant juin m'indiquant que ma demande avait été transféré au service concerné. aucune explication sur ce qui bloque. nous sommes fin juin et ma demande de rachat partiel n'est toujours pas validé. je suis bloquée, je ne peux ni faire de nouveau rachat partiel, ni faire de versement car j'ai un message m'indiquant qu'une opération est déjà en cours depuis le 1er avril. c'est inacceptable de n'obtenir aucune réponse de boursorama.",très facile souscrire ligne assurance vie plus compliqué effectuer aujourd hui rachat partiel aucun problème jusqu 1er avril 2022 où rachat partiel jamais exécuté contacté 1ère fois service client 25 minutes attente entendre dire demande cours traitement plusieurs jours après toujours nouvelles effectué entre 17 mai 28 juin réclamations réclamations site boursorama obtenu seule réponse courant juin indiquant demande transféré service concerné aucune explication bloque fin juin demande rachat partiel toujours validé bloquée peux ni faire nouveau rachat partiel ni faire versement car message indiquant opération déjà cours depuis 1er avril inacceptable obtenir aucune réponse boursorama,Positive,6,accueil
245,Avis Boursorama Banque ,"2,8 sur 5 étoiles",28/06/2022,"il n'est pas clairement précisé lorsque l'on passe de la carte visa premier à la carte ultim mise en avant par boursorama, que l´on perd le bénéfice des plafonds de paiement acquis et que ceux de la carte ultim sont nettement insuffisants. pour avoir un dépassement après, il est seulement possible d'obtenir des autorisations ponctuelles. solution lourde et incertaine. je suis un client ancien et je n'ai jamais eu aucun incident bancaire.",clairement précisé lorsque passe carte visa premier carte ultim mise avant boursorama perd bénéfice plafonds paiement acquis ceux carte ultim nettement insuffisants avoir dépassement après seulement possible obtenir autorisations ponctuelles solution lourde incertaine client ancien jamais aucun incident bancaire,Positive,5,personnel
246,Avis Boursorama Banque ,5 sur 5 étoiles,27/06/2022,"trop top cette banque en ligne, j'ai réussi à faire pas mal d'argent uniquement grâce au système de parrainage, je suis trop fier. je pensais pas qu'on pouvait être rémunéré autant pour des parrainages de proches. si vous voulez profiter comme moi de ce parrainage et gagner 80€ par personnes parrainées. il faut que ces personnes mettent votre code de parrainage, celui-ci touchera aussi 80€, benef. il faut savoir que pour ne pas être débité de 5€, vous devez au moins acheter un article par mois avec la carte bancaire qu’ils vont vous envoyer gratuitement par la poste (cela peut être un article coutant quelques centimes, peu importe).",trop top cette banque ligne réussi faire mal argent uniquement grâce système parrainage trop fier pensais pouvait être rémunéré autant parrainages proches si voulez profiter comme parrainage gagner 80 personnes parrainées faut personnes mettent code parrainage celui ci touchera aussi 80 benef faut savoir être débité devez moins acheter article mois carte bancaire vont envoyer gratuitement poste cela peut être article coutant quelques centimes peu importe,Negative,4,service
247,Avis Boursorama Banque ,"1,8 sur 5 étoiles",23/06/2022,j’ai ouvert mon compte chez eux suite à la fermeture de ing. résultat :* impossible de mettre en place un virement permanent pour approvisionner le compte sur lequel est prélevé mon prêt immobilier* impossible d’activer la carte bancaire* impossible de joindre le service client après plus d’une heure d’attente à chaque appel.,ouvert compte chez suite fermeture ing résultat impossible mettre place virement permanent approvisionner compte lequel prélevé prêt immobilier impossible activer carte bancaire impossible joindre service client après plus heure attente chaque appel,Negative,6,accueil
