,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1200,Avis CIC ,5 sur 5 étoiles,19/06/2022,"je suis au cic, puisque mon ancienne banque cm m'a traité comme une moins que rien depuis que je suis malade. le cic a tout fait pour moi afin que je puisse continuer mes contrôles médicaux suite à mon opération du coeur alors que je n'avais encore rien sur mon compte chez eux. le personnel est superbe, agréable, accueillant, toujours à votre écoute, trouve toujours des solutions.etant handicapée, j'apprécie beaucoup le savoir faire du personnel que j'ai rencontré chez eux. il est très compréhensible quant à vos demandes et soucis. merci au cic pour son savoir faire. bien cordialement à toutes leurs équipes !",cic puisque ancienne banque cm traité comme moins rien depuis malade cic tout fait afin puisse continuer contrôles médicaux suite opération coeur alors encore rien compte chez personnel superbe agréable accueillant toujours écoute trouve toujours solutions etant handicapée apprécie beaucoup savoir faire personnel rencontré chez très compréhensible quant demandes soucis merci cic savoir faire bien cordialement toutes leurs équipes,Positive,2,frais
1201,Avis CIC ,5 sur 5 étoiles,14/06/2022,"je suis cliente depuis 2004 et le personnel de mon agence est au top pour tous. ma conseillère très à l écoute, conseille très bien pour les différents contrats. très professionnelle, disponibleet ont voit qu'elle aime son travail et qu´elle essaye toujours dans la limite du possible de trouver une solution.",cliente depuis 2004 personnel agence top tous conseillère très écoute conseille très bien différents contrats très professionnelle disponibleet voit aime travail essaye toujours limite possible trouver solution,Positive,2,frais
1202,Avis CIC ,5 sur 5 étoiles,30/05/2022,"pour un crédit obsèques me concernant, donc bien à l'avance, le crédit personnel s'est avéré plus intéressant que celui proposé par les pfg, non seulement en somme à rembourser chaque mois sur 5 ans mais aussi avec l'assurance car si je décédais le lendemain de la signature ce serait comme si tout avait été remboursé, donc très intéressant et rassurant. la personne du cic a été à l'écoute, pertinente, positive, impeccable. je recommande donc.",crédit obsèques concernant donc bien avance crédit personnel avéré plus intéressant celui proposé pfg non seulement somme rembourser chaque mois ans aussi assurance car si décédais lendemain signature comme si tout remboursé donc très intéressant rassurant personne cic écoute pertinente positive impeccable recommande donc,Positive,2,frais
1203,Avis CIC ,"4,6 sur 5 étoiles",23/05/2022,"je suis client depuis maintenant plusieurs années, ayant 2 prêts immobiliers, assurances voitures et maison, je voulais remercier la cic de nous aider dans nos projets ainsi qu’ à notre conseillère qui nous apporte les meilleurs conseils et les meilleurs tarifs. toujours disponible, agréable et souriante.",client depuis maintenant plusieurs années prêts immobiliers assurances voitures maison voulais remercier cic aider projets ainsi conseillère apporte meilleurs conseils meilleurs tarifs toujours disponible agréable souriante,Positive,5,personnel
1204,Avis CIC ,5 sur 5 étoiles,12/05/2022,"cliente depuis plus de 40 ans au cic, je souhaite exprimer mon entière satisfaction sur la qualité des produits et de la relation avec les intervenants au fil des années.je me suis toujours sentie considérée et en confiance, notamment à une époque où la demi-part à laquelle j'avais droit, en tant que veuve, fut supprimée, générant une forte augmentation des impôts à laquelle je ne m'attendais vraiment pas. tout fut organisé au mieux par ma conseillère pour que je puisse faire face à cette situation grâce à son savoir-faire. ce fut comme un partenariat, un accompagnement, ce qui est d'ailleurs toujours le cas. j'apprécie sa qualité d'écoute, ses suggestions, sa réactivité tant par téléphone que par mail et lors de nos rendez-vous ; ses réponses sont quasi immédiates. l'importance du relationnel est primordiale et rassurante. d'ailleurs, toute ma famille jusqu'à mes petits-enfants ont leurs comptes ouverts au cic nice pour notre plus grande satisfaction. je n'ignore pas le fait que les tarifs soient un peu plus élevés. sans dénigrer les autres établissements bancaires, j'estime que la qualité des produits proposés par le cic, la qualité de ses services, du suivi, sa modernité, la compétence et l'attention de ma conseillère font qu'il ne me vient vraiment pas l'idée d'aller voir ailleurs et j'espère que ce sera toujours le cas.",cliente depuis plus 40 ans cic souhaite exprimer entière satisfaction qualité produits relation intervenants fil années toujours sentie considérée confiance notamment époque où demi part laquelle droit tant veuve supprimée générant forte augmentation impôts laquelle attendais vraiment tout organisé mieux conseillère puisse faire face cette situation grâce savoir faire comme partenariat accompagnement ailleurs toujours cas apprécie qualité écoute suggestions réactivité tant téléphone mail lors rendez réponses quasi immédiates importance relationnel primordiale rassurante ailleurs toute famille jusqu petits enfants leurs comptes ouverts cic nice plus grande satisfaction ignore fait tarifs peu plus élevés sans dénigrer autres établissements bancaires estime qualité produits proposés cic qualité services suivi modernité compétence attention conseillère font vient vraiment idée aller voir ailleurs espère toujours cas,Positive,2,frais
1205,Avis CIC ,5 sur 5 étoiles,14/04/2022,"rapidité des transactions. bonne relation avec ma conseillère, rapide et efficace. malgré la difficulté de transfert avec la caisse d'épargne, le suivi par la conseillère cic a été très efficace et réalisé correctement. j'ai beaucoup apprécié l'offre de parrainage et toutes les explications qui m'ont été apportées.",rapidité transactions bonne relation conseillère rapide efficace malgré difficulté transfert caisse épargne suivi conseillère cic très efficace réalisé correctement beaucoup apprécié offre parrainage toutes explications apportées,Positive,2,frais
1206,Avis CIC ,5 sur 5 étoiles,25/03/2022,"je suis allée voir plusieurs banques pour ouvrir un compte et me suis décidée pour la cic. le personnel est très sympathique acceuillant et très à l écoute. vous pouvez les appeler, il y a toujours quelqu'un qui décroche. c´est super agréable et compétent.",allée voir plusieurs banques ouvrir compte décidée cic personnel très sympathique acceuillant très écoute pouvez appeler toujours quelqu décroche super agréable compétent,Positive,0,service
1207,Avis CIC ,5 sur 5 étoiles,24/02/2022,"je suis très reconnaissance de l´entretien avec mon conseiller qui a été très convivial, à l'écoute de sa cliente, dynamique et à la recherche d'une solution très concrète. c'est ce qui a été fait. très professionnel. a encourager. service optimal et très concluant. merci à toute cette équipe.",très reconnaissance entretien conseiller très convivial écoute cliente dynamique recherche solution très concrète fait très professionnel encourager service optimal très concluant merci toute cette équipe,Positive,2,frais
1208,Avis CIC ,"1,6 sur 5 étoiles",22/02/2022,"cic épargne salariale a ponctionné 22% de mon épargne pendant les 5 années où celle-ci était bloquée avec comme seul résultat une baisse de valeur ! a plusieurs reprises, j'ai cherché à les joindre, par téléphone et email. je leur ai ensuite rédigé un courrier postal. dans tous les cas, le seul retour de la part de cic était une réponse insatisfaisante.",cic épargne salariale ponctionné 22 épargne pendant années où celle ci bloquée comme seul résultat baisse valeur plusieurs reprises cherché joindre téléphone email ensuite rédigé courrier postal tous cas seul retour part cic réponse insatisfaisante,Positive,2,frais
1209,Avis CIC ,5 sur 5 étoiles,10/02/2022,"j'ai changé de banque voilà un an pour cic et j'en suis pleinement satisfaite. ma conseillère est vraiment très bien, très à l'écoute de bons conseils et reste toujours disponible. elle m'a aidé pour tous mes contrats d'assurances auto, habitation, assurance vie et j'ai fait une belle économie, je l'en remercie pleinement.",changé banque voilà an cic pleinement satisfaite conseillère vraiment très bien très écoute bons conseils reste toujours disponible aidé tous contrats assurances auto habitation assurance vie fait belle économie remercie pleinement,Positive,0,service
1210,Avis CIC ,"4,8 sur 5 étoiles",29/12/2021,"je suis à cette banque depuis presque 5 ans et je n´ai rien à reprocher, si ce n´est qu´il faudrait que le délai des chèques salaires ne soit plus bloqué pendant +de 2 jours. ma conseillère est top, pas grand chose à dire de négatif sur cette banque.",cette banque depuis presque ans rien reprocher si faudrait délai chèques salaires plus bloqué pendant jours conseillère top grand chose dire négatif cette banque,Positive,6,accueil
1211,Avis CIC ,5 sur 5 étoiles,16/11/2021,"super entretien, cette conseillère est totalement à l'écoute du client et nous conseille bien sur tous les contrats. elle m´a fait faire des économies, je me suis senti en confiance et j'ai même souscrit 2 autres contrats.un grand merci à cette personne qui ma redonné confiance en ma banque",super entretien cette conseillère totalement écoute client conseille bien tous contrats fait faire économies senti confiance souscrit autres contrats grand merci cette personne redonné confiance banque,Positive,1,frais
1212,Avis CIC ,5 sur 5 étoiles,19/10/2021,"le cic propose un service complet dans la relation bancaire, le conseiller est disponible et réactif à notre écoute.je suis cliente au cic depuis 17ans et je n’ai jamais rencontré de problème vis à vis de mes demandes diverses que ce soit au niveau bancaire ou bien assurance.je recommande cette banque.",cic propose service complet relation bancaire conseiller disponible réactif écoute cliente cic depuis 17ans jamais rencontré problème vis vis demandes diverses niveau bancaire bien assurance recommande cette banque,Positive,2,frais
1213,Avis CIC ,"1,2 sur 5 étoiles",20/08/2021,publicité mensongère. juste pour appâter le client!refusé l´ouverture d un compte même si on bloque les 160 euros chez eux! inadmissible !je ne recommande absolument pas cette banque. ce n´est absolument pas ce qui est dit sur leur publicite.on refuse donc de donner ces 160 euros à moins de rapatrier le peu d argent que notre fille a dans une autre banque.,publicité mensongère juste appâter client refusé ouverture compte si bloque 160 euros chez inadmissible recommande absolument cette banque absolument dit publicite refuse donc donner 160 euros moins rapatrier peu argent fille autre banque,Positive,2,frais
1214,Avis CIC ,"3,7 sur 5 étoiles",18/08/2021,"pour les mouvements ne dépassant pas 2000€, pas de problème mais au delà vos ordres dépendent de votre conseillère (ou conseiller) ainsi un ordre de vente sur un portefeuille est exécuté 30 jours plus tard et un ordre de virement n’est toujours pas exécuté au bout de 8 jours.réclamer ne sert à rien, écrire au directeur de l’agence, il ne vous répond pas.vous êtes impuissant et dépendez de l’humeur de votre conseillère. au cic il faut changer cela !",mouvements dépassant 2000 problème delà ordres dépendent conseillère conseiller ainsi ordre vente portefeuille exécuté 30 jours plus tard ordre virement toujours exécuté bout jours réclamer sert rien écrire directeur agence répond impuissant dépendez humeur conseillère cic faut changer cela,Negative,3,service
1215,Avis CIC ,"4,8 sur 5 étoiles",25/01/2021,"à la fin de mes études et dans l’objectif de faciliter mes transactions, j’ai envisagé de changer de banque.je me suis donc résolu à faire le tour de plusieurs banques afin de décider laquelle me conviendrait le mieux. c’est assez naturellement que j’ai souscrit à l’offre parcours j que l’on m’a proposé. pourquoi ? un contrat signé et réglé en à peine une demi-heure, une prime de 80 euros pour l’ouverture du compte, ainsi qu’une grande palette de service telle qu’une carte bleue virtuelle sont autant de choses qui ont fait pencher la balance en faveur du cic.après un an passé chez eux, la seule chose que je puisse dire c’est que je ne regrette absolument pas mon choix.",fin études objectif faciliter transactions envisagé changer banque donc résolu faire tour plusieurs banques afin décider laquelle conviendrait mieux assez naturellement souscrit offre parcours proposé pourquoi contrat signé réglé peine demi heure prime 80 euros ouverture compte ainsi grande palette service telle carte bleue virtuelle autant choses fait pencher balance faveur cic après an passé chez seule chose puisse dire regrette absolument choix,Positive,0,service
1216,Avis CIC ,"4,8 sur 5 étoiles",06/01/2021,"je suis cliente au cic depuis bientôt 3 ans. j'ai obtenu un prêt immobilier dans cette banque et j'ai donc ouvert un compte chez eux. par la suite, j'ai souscrit deux assurances logement auprès de leur agence.toutes les souscriptions se sont faites sans difficultés et avec le même conseiller bancaire. il m'a suivi dans mon projet d'achat immobilier en locatif et m'a conseillé tout au long du processus. il se montre disponible rapidement à chaque fois que j'ai besoin. je peux le contacter par mon espace en ligne, par mail ou par téléphone. j'ai ainsi pu souscrire à distance, par téléphone, à mes assurances habitations. un gain de temps, assurément.j'utilise mon espace en ligne pour consulter mes comptes et effectuer mes opérations bancaires. celui-ci est très intuitif et d'une grande facilité d'utilisation. le cic propose une grande autonomie dans la gestion des opérations bancaires que j'apprécie beaucoup.en définitive, je suis pleinement satisfaite du cic.",cliente cic depuis bientôt ans obtenu prêt immobilier cette banque donc ouvert compte chez suite souscrit deux assurances logement auprès agence toutes souscriptions faites sans difficultés conseiller bancaire suivi projet achat immobilier locatif conseillé tout long processus montre disponible rapidement chaque fois besoin peux contacter espace ligne mail téléphone ainsi pu souscrire distance téléphone assurances habitations gain temps assurément utilise espace ligne consulter comptes effectuer opérations bancaires celui ci très intuitif grande facilité utilisation cic propose grande autonomie gestion opérations bancaires apprécie beaucoup définitive pleinement satisfaite cic,Positive,0,service
