,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
616,Avis Crédit Agricole ,"2,4 sur 5 étoiles",14/07/2022,plus d’accès à l’évolution du compte. plus accès au budget. comment faire pour trier les opérations ? je ne vois pas l’évolution de l’application mais plutôt une régression de l’application. merci aux penseurs de nous remettre une application plus utile.,plus accès évolution compte plus accès budget comment faire trier opérations vois évolution application plutôt régression application merci penseurs remettre application plus utile,Positive,0,service
617,Avis Crédit Agricole ,5 sur 5 étoiles,13/07/2022,"j'y suis client depuis 3 ans et j'en suis extrêmement content. très à l'écoute. si problème ou question, tout est réglé rapidement. absolument rien à redire, je conseille plus que vivement, allez y les yeux fermés, que ce soit pour n'importe quel service, banque, assurance.",client depuis ans extrêmement content très écoute si problème question tout réglé rapidement absolument rien redire conseille plus vivement allez yeux fermés importe quel service banque assurance,Positive,4,service
618,Avis Crédit Agricole ,"1,8 sur 5 étoiles",11/07/2022,"nouvelle application lamentable. disparition de l’onglet « mon budget » qui était un véritable outil du quotidien. la navigation complètement peu intuitive. bref, on se demande qui a pu avoir une idée aussi stupide de changer l’application du tout au tout.",nouvelle application lamentable disparition onglet budget véritable outil quotidien navigation complètement peu intuitive bref demande pu avoir idée aussi stupide changer application tout tout,Negative,0,service
619,Avis Crédit Agricole ,"2,3 sur 5 étoiles",11/07/2022,"je suis cliente au crédit depuis plus de 40 ans et satisfaite jusqu’à aujourd’hui surtout de l’application très pratique qui permettait de budgéter, de catégoriser et de comparer les dépenses et recettes par rapport à l’année précédente. la nouvelle application est nulle. elle n’est pas lisible (les débits en rouge c’était parfait) aujourd’hui ça ne saute pas aux yeux surtout si on consulte depuis un petit écran. on ne peut pas revenir sur les opérations notamment sur les chèques et noter à quoi ils correspondent. ne plus pouvoir catégoriser enlève l’avantage principal de l’application.",cliente crédit depuis plus 40 ans satisfaite jusqu aujourd hui surtout application très pratique permettait budgéter catégoriser comparer dépenses recettes rapport année précédente nouvelle application nulle lisible débits rouge parfait aujourd hui ça saute yeux surtout si consulte depuis petit écran peut revenir opérations notamment chèques noter quoi correspondent plus pouvoir catégoriser enlève avantage principal application,Positive,0,service
620,Avis Crédit Agricole ,"1,6 sur 5 étoiles",09/07/2022,"banque injoignable, j’ai appelé une cinquantaine de fois l’agence en 1 mois, jamais une seule fois je suis tombé sur un conseiller.conseillère peu professionnelle, ne répond que partiellement à mes mails et se présente 30min en retard lors d’un rendez vous.procédure d’ouverture de compte très peu arrangeante dans mon cas.",banque injoignable appelé cinquantaine fois agence mois jamais seule fois tombé conseiller conseillère peu professionnelle répond partiellement mails présente 30min retard lors rendez procédure ouverture compte très peu arrangeante cas,Positive,0,service
621,Avis Crédit Agricole ,"2,0 sur 5 étoiles",09/07/2022,"la nouvelle application mobile crédit agricole, pas du tout intuitive, beaucoup moins pratique, on peut plus pointer les opérations pour un contrôle, le budget et les statistiques ont disparus. je suis vraiment très déçue. j’utilisais tous les jours cette application qui était géniale - c’était tellement mieux avant, pourquoi avoir fait un si mauvais choix marketing.",nouvelle application mobile crédit agricole tout intuitive beaucoup moins pratique peut plus pointer opérations contrôle budget statistiques disparus vraiment très déçue utilisais tous jours cette application géniale tellement mieux avant pourquoi avoir fait si mauvais choix marketing,Negative,0,service
622,Avis Crédit Agricole ,"2,5 sur 5 étoiles",08/07/2022,"la version 30 de l’application mobile est catastrophique quant à son ergonomie. la présentation n’est absolument pas synthétique. en visualisation des comptes, beaucoup de lignes vides, de multiples tailles de polices de caractère, donc peu d’informations utiles sur une page. peu d’attention envers les utilisateurs.",version 30 application mobile catastrophique quant ergonomie présentation absolument synthétique visualisation comptes beaucoup lignes vides multiples tailles polices caractère donc peu informations utiles page peu attention envers utilisateurs,Positive,0,service
623,Avis Crédit Agricole ,"2,0 sur 5 étoiles",08/07/2022,"client depuis plus de 25 ans, gestion catastrophique d'un emprunt immobilier de 15 000 euros pour un garage qui a été ""oublié"" ; j'ai dû être aidé par le csf (crédit social des fonctionnaires) qui a pu me prêter l'argent en urgence avant le rendez vous chez le notaire. mais il a fallu ensuite 8 jours pour que le virement effectué soit bien crédité sur mon compte, le crédit agricole expliquant qu'il ne sait pas où est l'argent tant qu'il n'est pas effectivement sur le compte. plus de conseiller attitré et tout le monde se renvoie la balle ; aucune excuse y compris de la direction qui n'a jamais proposé de solution alternative. carte gold dite offerte trois ans mais facturée discrètement dès la deuxième année. assurances proposées alléchantes mais qui augmentent de 20% dès la deuxième année.",client depuis plus 25 ans gestion catastrophique emprunt immobilier 15 000 euros garage oublié dû être aidé csf crédit social fonctionnaires pu prêter argent urgence avant rendez chez notaire fallu ensuite jours virement effectué bien crédité compte crédit agricole expliquant sait où argent tant effectivement compte plus conseiller attitré tout monde renvoie balle aucune excuse compris direction jamais proposé solution alternative carte gold dite offerte trois ans facturée discrètement dès deuxième année assurances proposées alléchantes augmentent 20 dès deuxième année,Positive,6,accueil
624,Avis Crédit Agricole ,"2,3 sur 5 étoiles",05/07/2022,"compte ouvert en 1992 et sans problème de fonds. malgré tout : assurance auto, assurance habitation, assurance décès plus avantageuses ailleurs et je compare avec des grands noms sur le marché. même pour un prêt auto, c’était plus avantageux dans une autre banque. maintenant avec ce changement dans l’application, impossibilité de pointer ses opérations ou de les catégoriser. je ne sais pas ce qui me retient chez eux hormis ma fidélité …",compte ouvert 1992 sans problème fonds malgré tout assurance auto assurance habitation assurance décès plus avantageuses ailleurs compare grands noms marché prêt auto plus avantageux autre banque maintenant changement application impossibilité pointer opérations catégoriser sais retient chez hormis fidélité,Positive,1,frais
625,Avis Crédit Agricole ,"2,6 sur 5 étoiles",05/07/2022,"je n’ai rien à dire sur la prestation des conseillers à la banque credit agricole centre france en agence ( annexe parisienne ) ça frôle la perfection . je suis ici pour dénoncer la nullité de la nouvelle application mobile crédit agricole, pas du tout intuitive, beaucoup moins pratique, plus longu , on peut même pas chercher l’historique qui remonte pas assez loin, l’interface est mauvaise. je suis vraiment déçu . je travaillais beaucoup sur mon mobile, je vais devoir changer de mode de travail. c’était tellement mieux avant, pourquoi avoir fait un si mauvais choix marketing.",rien dire prestation conseillers banque credit agricole centre france agence annexe parisienne ça frôle perfection ici dénoncer nullité nouvelle application mobile crédit agricole tout intuitive beaucoup moins pratique plus longu peut chercher historique remonte assez loin interface mauvaise vraiment déçu travaillais beaucoup mobile vais devoir changer mode travail tellement mieux avant pourquoi avoir fait si mauvais choix marketing,Negative,6,accueil
