,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1360,Avis Crédit Cooperatif ,"1,8 sur 5 étoiles",28/04/2022,"a 6 mois d'ouverture du compte 2 fois nous avons dû faire opposition à la carte pour utilisation frauduleuse. la deuxième fois nous avons perdu 400 non remboursés, doit disant c'est nous qui avons fait l'achat. leur système de sécurité est très médiocre. la réactivité moyenne, 2 semaines pour avoir une réponse et le conseiller souvent absent. nous avons ouvert le compte pour des raisons écologiques, mais malheureusement ça nous a coûté cher. c´est vraiment très dommage, l´idée nous avait convaincu. il y a encore des efforts à faire.",mois ouverture compte fois dû faire opposition carte utilisation frauduleuse deuxième fois perdu 400 non remboursés doit disant fait achat système sécurité très médiocre réactivité moyenne semaines avoir réponse conseiller souvent absent ouvert compte raisons écologiques malheureusement ça coûté cher vraiment très dommage idée convaincu encore efforts faire,Negative,6,accueil
1361,Avis Crédit Cooperatif ,"4,6 sur 5 étoiles",23/03/2022,"j’ai toujours bénéficié de l’aide dont j’ai eu besoin, que ce soit en cas de problèmes (vol de carte et code à l’étranger par exemple) ou pour les choses courantes. ce qui fait toute la différence c’est la qualité humaine des relations avec le personnel du credit coop et de sentir qu’ils travaillent eux-mêmes dans de bonnes conditions et relations humaines.",toujours bénéficié aide dont besoin cas problèmes vol carte code étranger exemple choses courantes fait toute différence qualité humaine relations personnel credit coop sentir travaillent mêmes bonnes conditions relations humaines,Positive,2,frais
1362,Avis Crédit Cooperatif ,"1,8 sur 5 étoiles",09/02/2022,"3 semaines pour rappeler un client-prospect, ce n'est pas un service-client digne de ce nom. prétendre octroyer des prêts immobiliers pour des projets en auto-construction, puis les refuser au prétexte qu'il faut impérativement que ce soit des entreprises qui réalisent le gros-oeuvre, c'est du mensonge commercial.",semaines rappeler client prospect service client digne nom prétendre octroyer prêts immobiliers projets auto construction puis refuser prétexte faut impérativement entreprises réalisent gros oeuvre mensonge commercial,Positive,4,service
1363,Avis Crédit Cooperatif ,5 sur 5 étoiles,24/01/2022,"conseillère à distance super réactive, répond aux demandes dans la journée, très à l'écoute. et même lors de son absence, un autre conseiller a pris le relais pour répondre rapidement aux demandes. proposition en termes de prêt immobilier défiant la concurrence. facilités pour signer les documents à distance. je recommande vivement le crédit coopératif",conseillère distance super réactive répond demandes journée très écoute lors absence autre conseiller pris relais répondre rapidement demandes proposition termes prêt immobilier défiant concurrence facilités signer documents distance recommande vivement crédit coopératif,Positive,2,frais
1364,Avis Crédit Cooperatif ,"1,8 sur 5 étoiles",17/12/2021,"ma fille étudiante a choisi d'ouvrir un compte au crédit coopératif pour des raisons éthiques. son conseiller n'est pas disponible pour répondre à ses questions et ses collègues ne peuvent soit disant pas la renseigner. elle a fait une demande de prêt étudiant fin août. nous sommes le 17 décembre 2021 et elle n'a toujours pas son prêt. après de nombreuses relances et toujours des nouveaux documents à fournir, nous avons enfin eu le dossier de crédit à signer en novembre en tant que garants. sauf que le crédit coopératif n'a même pas le système de la signature électronique pour une banque en ligne. nous avons dû imprimer le dossier de 100 pages. de plus, cela fait deux fois que nous envoyons le dossier signé. la première fois, le conseiller dit ne pas l'avoir reçu. et la seconde fois, courrier envoyé en recommandé, on nous répond que le document n'est plus valable. ma fille n'a plus qu'une seule solution, fermer son compte et en ouvrir un dans une autre banque. en attendant, toujours pas de prêt pour financer ses études.",fille étudiante choisi ouvrir compte crédit coopératif raisons éthiques conseiller disponible répondre questions collègues peuvent disant renseigner fait demande prêt étudiant fin août 17 décembre 2021 toujours prêt après nombreuses relances toujours nouveaux documents fournir enfin dossier crédit signer novembre tant garants sauf crédit coopératif système signature électronique banque ligne dû imprimer dossier 100 pages plus cela fait deux fois envoyons dossier signé première fois conseiller dit avoir reçu seconde fois courrier envoyé recommandé répond document plus valable fille plus seule solution fermer compte ouvrir autre banque attendant toujours prêt financer études,Positive,6,accueil
1365,Avis Crédit Cooperatif ,"1,6 sur 5 étoiles",04/12/2021,"service client triple 0. zéro réponse à mes nombreux mails. ce n'est pas admissible. j'ai demandé à changer de conseiller il y a un mois et je suis toujours dans l'attente d'un retour. oui à une banque plus transparente avec de meilleurs engagements, mais àcondition d'avoir un service clientèle minimum! je ne demandais pourtant pas la lune.",service client triple zéro réponse nombreux mails admissible demandé changer conseiller mois toujours attente retour oui banque plus transparente meilleurs engagements àcondition avoir service clientèle minimum demandais pourtant lune,Positive,5,personnel
1366,Avis Crédit Cooperatif ,"1,8 sur 5 étoiles",06/11/2021,"j'aurai adoré souscrire mais bugs a répétition. ci dessous copie du mail envoyé à la conseillère ( charmante) qui m'avait prise en charge:""vous avez été agréable et professionnelle au téléphone mais les difficultés pour ouvrir un compte dépassent mon entendement:- remplissage incorrect des formulaires depuis mon téléphone ( lieu de naissance remplacé par lieu d'habitation), obligatoire de le rééditer sur ordinateur;- ""perte "" d'un chèque de 300 euros occasionnant le retard d'ouverture du dossier, et demande de faire opposition;- de fait chèque attribué à tort à une autre homonyme décédée, sans que vous en ayez connaissance;- impossible de gérer par virement (le credit cooperatif est il réellement une banque de 2021? ). je vous avoue que poster des lettres administratives m'exaspère;- du fait du delai ( plus qu'involontaire de ma part) obligatoire de le recommencer""je suis juste dépassée. tant pis pour l'aspect coopératif et pour l'impact finances sur le climat. je vais chercher une autre alternative.",adoré souscrire bugs répétition ci dessous copie mail envoyé conseillère charmante prise charge agréable professionnelle téléphone difficultés ouvrir compte dépassent entendement remplissage incorrect formulaires depuis téléphone lieu naissance remplacé lieu habitation obligatoire rééditer ordinateur perte chèque 300 euros occasionnant retard ouverture dossier demande faire opposition fait chèque attribué tort autre homonyme décédée sans connaissance impossible gérer virement credit cooperatif réellement banque 2021 avoue poster lettres administratives exaspère fait delai plus involontaire part obligatoire recommencer juste dépassée tant pis aspect coopératif impact finances climat vais chercher autre alternative,Positive,5,personnel
1367,Avis Crédit Cooperatif ,"4,6 sur 5 étoiles",16/06/2021,"j'ai été extrêmement satisfaite des services et de l'accompagnement (mail et téléphone) du crédit coopératif en tant que banque en ligne car il n'y a pas d'agence là où j'habite.le seul bémol pour moi est qu'une banque à distance ne peut proposer de prêt immobilier qui doit se signer en présentiel, mais ceci dépend de la législation et concerne toutes les banques en ligne.j'ai beaucoup aimé les valeurs et les engagements éthiques et solidaires du crédit coopératif.",extrêmement satisfaite services accompagnement mail téléphone crédit coopératif tant banque ligne car agence là où habite seul bémol banque distance peut proposer prêt immobilier doit signer présentiel ceci dépend législation concerne toutes banques ligne beaucoup aimé valeurs engagements éthiques solidaires crédit coopératif,Positive,3,service
1368,Avis Crédit Cooperatif ,5 sur 5 étoiles,06/12/2020,"en recherche d'une nouvelle banque, j'ai poussé la porte du crédit coopératif le plus porche de mon domicile.j'ai tout de suite apprécié la simplicité et le sens du service proposé dans cet agence.après un long entretien avec celle qui allait devenir ma conseillère, j'ai opté pour un compte courant, un livret agir et un pel.l'ouverture de ces produits a été très fluide et bien accompagné, notamment pour le pel qui nécessitait un transfert depuis mon ancien établissement bancaire.je peux suivre l'ensemble de ces produits et gérer mes comptes depuis l'application ou l'espace en ligne, tous les deux simples et intuitifs.quand j'ai eu le besoin de contacter ma conseillère, celle-ci s'est montrée très disponible et réactive, répondant toujours à mes demandes de manière très rapide et efficace, et même personnalisée, puisque nous nous sommes rencontrées plusieurs fois.j'apprécie l'engagement et les valeurs du crédit coopératif, qui me satisfait pleinement à l'heure actuelle.",recherche nouvelle banque poussé porte crédit coopératif plus porche domicile tout suite apprécié simplicité sens service proposé cet agence après long entretien celle allait devenir conseillère opté compte courant livret agir pel ouverture produits très fluide bien accompagné notamment pel nécessitait transfert depuis ancien établissement bancaire peux suivre ensemble produits gérer comptes depuis application espace ligne tous deux simples intuitifs quand besoin contacter conseillère celle ci montrée très disponible réactive répondant toujours demandes manière très rapide efficace personnalisée puisque rencontrées plusieurs fois apprécie engagement valeurs crédit coopératif satisfait pleinement heure actuelle,Positive,0,service
1369,Avis Crédit Cooperatif ,"3,3 sur 5 étoiles",11/10/2020,"cliente depuis presqu’un an au crédit coopératif, je trouve que les services proposés ont à la fois des bons et des mauvais côtés.l’inscription a été plutôt facile et leur service de mobilité bancaire est très agréable, mais une fois inscrite, je n’ai jamais reçu le courrier contenant mes identifiants pour accéder à mon compte en ligne, et leur service clientèle est très difficile à avoir quand on essaie de les appeler.je suis venue chez cette banque car il semble que ce soit la meilleure d’un point de vue éthique et écologique, donc je ne souhaite pas en changer pour des raisons de convictions, mais il reste tout de même des choses à améliorer notamment au niveau du service client !",cliente depuis presqu an crédit coopératif trouve services proposés fois bons mauvais côtés inscription plutôt facile service mobilité bancaire très agréable fois inscrite jamais reçu courrier contenant identifiants accéder compte ligne service clientèle très difficile avoir quand essaie appeler venue chez cette banque car semble meilleure point vue éthique écologique donc souhaite changer raisons convictions reste tout choses améliorer notamment niveau service client,Positive,0,service
