,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1331,Avis Crédit Mutuel ,"3,8 sur 5 étoiles",25/06/2022,j'ai quitté le credit mutuel pour la caisse d'epargne et je peux vous dire que je m'en mords les doigts car au crédit mutuel mon conseiller était joignable et sinon il rappelait toujours ou m'envoyait un mail dans les 2 jours. il était capable de faire remonter un souci à ses supérieurs et essayait de faire son maximum pour trouver une solution.la facturation des frais était moins délirante qu'à la caisse d'epargne.,quitté credit mutuel caisse epargne peux dire mords doigts car crédit mutuel conseiller joignable sinon rappelait toujours envoyait mail jours capable faire remonter souci supérieurs essayait faire maximum trouver solution facturation frais moins délirante caisse epargne,Positive,2,frais
1332,Avis Crédit Mutuel ,"3,0 sur 5 étoiles",04/06/2022,"quelle galère de passer par constatel quand la personne au téléphone ne vous écoute pas. j ai subi un accident dans mon portail, un expert externe est venu 1 mois après. j´ai un enfant et des animaux, le portail part en vrille à chaque fois que je l´ouvre et c est dangereux car il est en fer. bref l´expert est passé (super pro et sympa lui). j´ai galéré pour avoir le cr expert mais pas de suivi. dès que mon ""sinistre"" sera clôturé je retire mon assurance maison car le portail n est tjrs pas réparé.",quelle galère passer constatel quand personne téléphone écoute subi accident portail expert externe venu mois après enfant animaux portail part vrille chaque fois ouvre dangereux car fer bref expert passé super pro sympa galéré avoir cr expert suivi dès sinistre clôturé retire assurance maison car portail tjrs réparé,Negative,4,service
1333,Avis Crédit Mutuel ,"2,4 sur 5 étoiles",02/06/2022,"impossible de renégocier un crédit sous prétexte d’être en maladie, tout en étant toujours en cdi et ayant toujours payé mes traites. pas possible d’acheter une voiture d’occasion, pourtant j´ai de l’epargne.",impossible renégocier crédit sous prétexte être maladie tout toujours cdi toujours payé traites possible acheter voiture occasion pourtant epargne,Negative,4,service
1334,Avis Crédit Mutuel ,"4,8 sur 5 étoiles",29/04/2022,"une banque qui appartient à ses clients et à leur écoute comme dit la pub. c'est bien vrai tout ça ? bien au niveau de l'accueil, des services et ils sont faciles à joindre. pour les prêts bien veiller à contacter d'autres banques pour cumuler les conditions. un peu ""marchands de tapis"" qui vous demandent de présenter les autres offres pour s'aligner. sinon mon fils est passé par un courtier qui l'a redirigé vers le crédit mutuel qui proposait la meilleure offre.",banque appartient clients écoute comme dit pub bien vrai tout ça bien niveau accueil services faciles joindre prêts bien veiller contacter autres banques cumuler conditions peu marchands tapis demandent présenter autres offres aligner sinon fils passé courtier redirigé vers crédit mutuel proposait meilleure offre,Positive,3,service
1335,Avis Crédit Mutuel ,5 sur 5 étoiles,29/04/2022,"client depuis 10 ans au crédit mutuel, je suis très satisfait de la prise en charge à chacune de mes demandes. j’aime leur réactivité et leur professionnalisme. que ce soit pour la souscription ou la résiliation d’un produit le service rendu est identique.la relation client au téléphone est également impeccable.",client depuis 10 ans crédit mutuel très satisfait prise charge chacune demandes aime réactivité professionnalisme souscription résiliation produit service rendu identique relation client téléphone également impeccable,Positive,2,frais
1336,Avis Crédit Mutuel ,"2,0 sur 5 étoiles",05/04/2022,"client depuis plus de 30 ans au crédit mutuel, toujours réglo et jamais à découvert. mon fils a été victime sur son ccb du cmo d´un hacheur avec fraude de plus de 3000€. aucun centime n a été pris en charge par la banque, ni par l assurance cb. nous sommes partis à la banque populaire pour tous. nous mettons en place contre eux notre protection juridique avec écrit au médiateur.",client depuis plus 30 ans crédit mutuel toujours réglo jamais découvert fils victime ccb cmo hacheur fraude plus 3000 aucun centime pris charge banque ni assurance cb partis banque populaire tous mettons place contre protection juridique écrit médiateur,Positive,1,frais
1337,Avis Crédit Mutuel ,"4,4 sur 5 étoiles",07/02/2022,service client parfait. toujours des réponses à mes questions. des frais bancaires un peu élevés mais comme beaucoup de banques. le site internet est facile d'utilisation et permet une connexion rapide. le conseiller financier est là pour son client et répond aux préoccupations.merci beaucoup. je recommande cette banque avec qui nous sommes depuis plus de 10 ans maintenant.,service client parfait toujours réponses questions frais bancaires peu élevés comme beaucoup banques site internet facile utilisation permet connexion rapide conseiller financier là client répond préoccupations merci beaucoup recommande cette banque depuis plus 10 ans maintenant,Positive,0,service
1338,Avis Crédit Mutuel ,"1,6 sur 5 étoiles",19/12/2021,"j’ai 25 ans et depuis mon premier compte je suis au crédit mutuel je n’ai jamais changé de banque. a l’heure actuelle j’ai toutes mes assurances aussi chez eux : habitation, voiture, mutuel. je n’ai jamais eu aucun souci avec mes conseillers. mais j’ai changé d’agence, ma conseillère était très sympa au début mais ellen’est pas du tout à l’écoute. pourtant mes comptes vont bien, l’argent rentre, mes assurances sont payées. j’ai eu pas mal de frais (80€) suite à un changement de carte, une fois de plus ma conseillère et sa collègue m’ont prise de haut et quand je demande un rdv avec le directeur il n’en veut pas et la conseillère me répond que la demande pour clôturer mes comptes a été lancé. je suis extrêmement choquée, ça fait 2 jours et je ne comprends toujours pas, on me jette dehors de la banque sans que je puisse avoir une explication avec le directeur.",25 ans depuis premier compte crédit mutuel jamais changé banque heure actuelle toutes assurances aussi chez habitation voiture mutuel jamais aucun souci conseillers changé agence conseillère très sympa début ellen tout écoute pourtant comptes vont bien argent rentre assurances payées mal frais 80 suite changement carte fois plus conseillère collègue prise haut quand demande rdv directeur veut conseillère répond demande clôturer comptes lancé extrêmement choquée ça fait jours comprends toujours jette dehors banque sans puisse avoir explication directeur,Positive,4,service
1339,Avis Crédit Mutuel ,5 sur 5 étoiles,16/12/2021,"je suis cliente chez crédit mutuel depuis toujours, et je n’ai jamais ressenti le besoin de changer de banque. je suis cliente à la fois pour les services bancaires et les assurances. au cours des années, je suis passée par mon conseiller pour des prêts bancaires, des demandes d’assurances voiture, logement etc. et je n’ai jamais eu de problèmes. les conditions du crédit mutuel sont bonnes. effectivement, certaines banques proposent des offres plus intéressantes, des contrats moins chers etc mais pour moi, le plus important est la fiabilité.j’utilise au quotidien l’application pour suivre mes dépenses. il y a une fonction de gestion du budget, une prise de contact direct avec mon conseiller, virement etc. toutes les dépenses en ligne sont très bien sécurisées avec un système de double identification via l’application. j’utilise moins souvent le site internet, car l’application se suffit à elle-même, mais il est clair et simple à utiliser.",cliente chez crédit mutuel depuis toujours jamais ressenti besoin changer banque cliente fois services bancaires assurances cours années passée conseiller prêts bancaires demandes assurances voiture logement etc jamais problèmes conditions crédit mutuel bonnes effectivement certaines banques proposent offres plus intéressantes contrats moins chers etc plus important fiabilité utilise quotidien application suivre dépenses fonction gestion budget prise contact direct conseiller virement etc toutes dépenses ligne très bien sécurisées système double identification via application utilise moins souvent site internet car application suffit clair simple utiliser,Positive,0,service
1340,Avis Crédit Mutuel ,"4,8 sur 5 étoiles",21/11/2021,"je suis au crédit mutuel depuis ma naissance, soit 40 ans. j'ai souhaité rester à cette banque, car j'ai toujours bénéficié d'un suivi client au top. ma carrière m'a fait voyager et changer de région à de multiples reprises. j'ai donc changé d'agence à chaque fois, mais j'ai toujours retrouvé ce sens de l'accueil. j'y ai mon compte en banque, mon épargne et celle de mes enfants, le prêt immobilier et voiture. j'étais passée par un courtier pour le prêt de ma maison et il m'a orienté vers le crédit mutuel ! j'y suis donc restée.la plateforme est agréable et elle est mise à jour régulièrement. notre argent est en sécurité grâce à l'e-carte bleue à usage unique très simple d'emploi.le seul point d'amélioration concerne les assurances. j'ai dû prendre l'assurance habitation avec le prêt immobilier et leur tarif est un peu élevé. mais on peut résilier au bout d'un an donc c'est un faux problème. en bref, je recommande !",crédit mutuel depuis naissance 40 ans souhaité rester cette banque car toujours bénéficié suivi client top carrière fait voyager changer région multiples reprises donc changé agence chaque fois toujours retrouvé sens accueil compte banque épargne celle enfants prêt immobilier voiture passée courtier prêt maison orienté vers crédit mutuel donc restée plateforme agréable mise jour régulièrement argent sécurité grâce carte bleue usage unique très simple emploi seul point amélioration concerne assurances dû prendre assurance habitation prêt immobilier tarif peu élevé peut résilier bout an donc faux problème bref recommande,Positive,1,frais
