,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
143,Avis Floa Bank ,"1,8 sur 5 étoiles",12/07/2022,"j'ai voulu faire un achat en 3 fois sur audiofanzine. carte rejetée, celle de ma conjointe également. jamais eu aucun souci avec les autres organismes de crédit. je précise que j'avais les fonds. du coup j'ai dû payer mon produit cash, alors que ça ne m’arrangeait pas ce mois-ci.",voulu faire achat fois audiofanzine carte rejetée celle conjointe également jamais aucun souci autres organismes crédit précise fonds coup dû payer produit cash alors ça arrangeait mois ci,Positive,3,service
144,Avis Floa Bank ,"2,0 sur 5 étoiles",07/07/2022,"pour une carte jamais reçue, j’ai mis plus d’un an à obtenir la résiliation de la carte et l’arrêt des prélèvements automatiques mensuels liés cette carte. je n’ai jamais réussi à me faire rembourser les mensualités passées alors que je ne me suis jamais servie ni de la carte, ni de rien d’autre. plusieurs de leurs conseillers m’avaient pourtant affirmer le contraire.",carte jamais reçue mis plus an obtenir résiliation carte arrêt prélèvements automatiques mensuels liés cette carte jamais réussi faire rembourser mensualités passées alors jamais servie ni carte ni rien autre plusieurs leurs conseillers pourtant affirmer contraire,Negative,5,personnel
145,Avis Floa Bank ,"2,0 sur 5 étoiles",01/07/2022,"client de cdiscount il m'a été proposé de prendre la carte de paiement floa bank. comme je suis natif de st etienne le fait d'appartenir au groupe casino m'a conforté mais quelle ne fut pas ma déception. tout d'abord lors de la souscription je devais avoir une remise de 150€ sur mes achats chez cdiscount mais floa bank m'a envoyé la carte à une adresse qui ne correspond pas à mon contrat et lorsque j'ai réclamé on m'a dit que le seul moyen était de faire opposition à la carte, changer d'adresse et demander une nouvelle carte. cout de l'opération 15€ c'est à dire 10€ pour la carte plus 5€ pour le code. j'ai enfin reçu la nouvelle carte avec 6 mois de retard mais le bon de réduction de 150€ a expiré, donc là je suis floué de 165€ dans un premier temps. le lendemain je reçois par courrier le code mais j'ai beau respecter le protocole lorsque je gratte le code rien n'apparait (apparement le papier est de mauvaise qualité et l'impression a disparu), je joins floa et on me dit que l'on peut me réexpédier le code pour 10€!! j'en ai ras le bol, d'autant que la fameuse carte gratuite encaisse 4.50€ sur mon compte chaque mois.",client cdiscount proposé prendre carte paiement floa bank comme natif st etienne fait appartenir groupe casino conforté quelle déception tout abord lors souscription devais avoir remise 150 achats chez cdiscount floa bank envoyé carte adresse correspond contrat lorsque réclamé dit seul moyen faire opposition carte changer adresse demander nouvelle carte cout opération 15 dire 10 carte plus code enfin reçu nouvelle carte mois retard bon réduction 150 expiré donc là floué 165 premier temps lendemain reçois courrier code beau respecter protocole lorsque gratte code rien apparait apparement papier mauvaise qualité impression disparu joins floa dit peut réexpédier code 10 ras bol autant fameuse carte gratuite encaisse 50 compte chaque mois,Positive,3,service
146,Avis Floa Bank ,"1,8 sur 5 étoiles",29/06/2022,"j'ai acheté un macbook au hubsidestore (magasin que je ne recommande pas...) avec un paiement en 10x au mois de mars. je ne sais pas pourquoi, floa n'a pas réussi à me retirer l'argent nécéssaire en juin. j'ai reçu un mail pour régulariser mon paiement, déjà surprise d'apprendre que je pouvais plus que payer en 1x, 2x, 3x.je discute avec une femme, en lui disant qu'étant à la fin du mois, je n'ai plus les moyens de payer la somme suffisante, mais que cela ne me dérange pas de payer en 3x ou 2 régularisations au mois de juillet ou en tout cas dès que je touche. on arrive finalement à trouver un arrangement, elle me rappelle le 4 juillet, elle ne majore pas mon paiement et elle me fait même un cadeau en me proposant un paiement en 4x (étant étudiante, cela m'a fait plaisir).finalement, rien de cela ne se passe. je reçois un mail 2 jours après, soit hier, pour m'annoncer que mon paiement est donc majoré de 8% et que je serais prélevée prochainement de la totalité de la somme. 680 €, que je n'ai évidemment pas étant en stage. alors j'ai décidé de prendre un paiement en 3x, parce que je n'ai simplement pas le choix.je ne recommande ni floa ni hubside qui m'a proposé ce service et qui n'a pas hésité à me prélever de l'argent en me faisant souscrire à des contrats soient disant gratuits pendant un mois : il faut appeler un numéro, difficile à trouver d'ailleurs. j'ai beau eu appeler des jours en avance on ne m'a répondu qu'après le mois de gratuité passé. j'ai du payer quasiment 400€ de services que je n'ai même pas utilisés.",acheté macbook hubsidestore magasin recommande paiement 10x mois mars sais pourquoi floa réussi retirer argent nécéssaire juin reçu mail régulariser paiement déjà surprise apprendre pouvais plus payer 1x 2x 3x discute femme disant fin mois plus moyens payer somme suffisante cela dérange payer 3x régularisations mois juillet tout cas dès touche arrive finalement trouver arrangement rappelle juillet majore paiement fait cadeau proposant paiement 4x étudiante cela fait plaisir finalement rien cela passe reçois mail jours après hier annoncer paiement donc majoré prélevée prochainement totalité somme 680 évidemment stage alors décidé prendre paiement 3x parce simplement choix recommande ni floa ni hubside proposé service hésité prélever argent faisant souscrire contrats disant gratuits pendant mois faut appeler numéro difficile trouver ailleurs beau appeler jours avance répondu après mois gratuité passé payer quasiment 400 services utilisés,Positive,5,personnel
147,Avis Floa Bank ,"1,8 sur 5 étoiles",24/06/2022,mauvaise gestion de floa qui mélange les comptes des personnes d´une même famille. cela a abouti à des frais bancaires. ils n'ont fait aucun geste commercial pour réparer leurs erreurs. je viens d'avoir une téléconseillère qui a rejeté toute la faute sur le client. des heures d'appels au téléphone pour régler leurs erreurs.,mauvaise gestion floa mélange comptes personnes famille cela abouti frais bancaires fait aucun geste commercial réparer leurs erreurs viens avoir téléconseillère rejeté toute faute client heures appels téléphone régler leurs erreurs,Negative,3,service
148,Avis Floa Bank ,"2,2 sur 5 étoiles",21/06/2022,"en février 2022 je commande un lave vaisselle 320 euros chez c discount, on me propose de le payer en plusieurs fois via floabank. le lave vaisselle en panne m'est remboursé, mais le crédit continue! voulant le solder, floa me dit de reverser les 320 euros sur leur compte ce que je fais en avril mais rien ne se passe. fin mai je retire les 320 euros et là ils me demandent de les rembourser ! j'ai beau les appeler tous les 2 jours, ca n´avance pas.",février 2022 commande lave vaisselle 320 euros chez discount propose payer plusieurs fois via floabank lave vaisselle panne remboursé crédit continue voulant solder floa dit reverser 320 euros compte fais avril rien passe fin mai retire 320 euros là demandent rembourser beau appeler tous jours ca avance,Positive,5,personnel
149,Avis Floa Bank ,"2,0 sur 5 étoiles",21/06/2022,"si on prend la carte cdiscount, on adhère à floak bank. mais on n'a pas d'espace client, il faut leur demander par téléphone mais où est-ce indiqué.nous ne recevons jamais de relevés de compte (même pas par mail). nous ne savons pas ce qui reste à régler, ni dans combien de temps ça se termine.il faut que ce soit le titulaire de la carte qui appelle mais quand ce dernier part à 7h30 le matin et rentre à 20h, ça me semble compliqué.de plus, il est impossible d'avoir une adresse mail du service client.",si prend carte cdiscount adhère floak bank espace client faut demander téléphone où indiqué recevons jamais relevés compte mail savons reste régler ni combien temps ça termine faut titulaire carte appelle quand dernier part 7h30 matin rentre 20h ça semble compliqué plus impossible avoir adresse mail service client,Negative,4,service
150,Avis Floa Bank ,"1,0 sur 5 étoiles",18/06/2022,"3 demande pour un prêt urgent de 1000€ ce qui peut paraître peu pour certaine maison à crédits. 3 refus alors que nos revenus dépasse largement ce que floa demande et aucune explication à ça, de plus ça me met sur la réponse je l’aurai sous 48h par mail ou téléphone mais je me retrouve avec une réponse immédiate négative sans savoir pour quel raison. alors que revenu largement suffisant d’après leur estimations… à fuir !!!!",demande prêt urgent 1000 peut paraître peu certaine maison crédits refus alors revenus dépasse largement floa demande aucune explication ça plus ça met réponse sous 48h mail téléphone retrouve réponse immédiate négative sans savoir quel raison alors revenu largement suffisant après estimations fuir,Positive,6,accueil
151,Avis Floa Bank ,"2,8 sur 5 étoiles",14/06/2022,"on ne comprend pas trop comment ils fonctionnent. cliente depuis 2018, jamais eu aucun souci, prélèvements toujours honorés. depuis quelques jours j'ai une somme disponible, et quand je veux faire ma demande à chaque fois au moment du paiement cela échoue. ma cb n'est pas en cause puisque ma banque n'est pas interrogée. un message s'affiche que je ne suis pas éligible. pourtant à côté du montant disponible il y a écrit ""le disponible correspond au montant de votre mini ,coup de pouce maximal que vous pouvez emprunter. vous pouvez emprunter tout ou partie de ce montant."" hors quand on appellle le service client pourquoi on est pas éligible, la seule réponse qu'ils ont est que c'est une proposition commerciale. et que la raison du refus est confidentiel. sur quoi se basent-ils car le montant disponible est mis selon notre dossier?",comprend trop comment fonctionnent cliente depuis 2018 jamais aucun souci prélèvements toujours honorés depuis quelques jours somme disponible quand veux faire demande chaque fois moment paiement cela échoue cb cause puisque banque interrogée message affiche éligible pourtant côté montant disponible écrit disponible correspond montant mini coup pouce maximal pouvez emprunter pouvez emprunter tout partie montant hors quand appellle service client pourquoi éligible seule réponse proposition commerciale raison refus confidentiel quoi basent car montant disponible mis selon dossier,Positive,6,accueil
152,Avis Floa Bank ,"2,0 sur 5 étoiles",11/06/2022,"souscription à la carte cdiscount fin avril. nous sommes le 11 juin, je n’ai toujours pas reçu la carte alors que le contrat a été signé. après plusieurs appels on m’assure « qu’on fait remonter l’information » toujours rien. le bon de 100€ expire dans 2 semaines.",souscription carte cdiscount fin avril 11 juin toujours reçu carte alors contrat signé après plusieurs appels assure fait remonter information toujours rien bon 100 expire semaines,Negative,5,personnel
