,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1032,Avis Fortuneo ,"4,6 sur 5 étoiles",02/07/2022,"j'ai 54 ans et ma femme 51. nous pratiquons la banque en ligne depuis la fin des années 90 avec à l'époque banque directe, puis axa banque, puis boursorama et depuis 12 ans fortunéo. quelle que soit la banque en ligne nous en avons toujours fait notre compte principal. jusqu'à récemment nous avions uniquement un compte joint chez fortunéo avec une carte gold et une carte prestige. pourquoi une banque en ligne ? parce qu'elle est gratuite pour tout ce qui est courant, et même un peu plus que courant, y compris pour les cartes bancaires. et je vous assure que nous n'avons eu aucun frais bancaire de quelque sorte que se soit depuis que nous avons fait ce choix.l'ouverture de compte chez fortunéo fin 2009 était encore très papier : nos deux plus grands enfants ont ouvert un compte fosfo l'an dernier et c'est beaucoup plus simple et rapide : tout est en ligne maintenant. il a fallu tout de même quelques jours pour que tout soit validé et opérationnel (en comparaison j'ai ouvert un compte wise et tout a été instantané ; j'ai ouvert très récemment un livret cashbee et ça a également pris plusieurs jours, mais un peu moins tout de même que pour les comptes fosfo, car la facture pour la preuve de domicile n'était pas parfaitement lisible : disons que s'il y a le moindre grain de sable il y a tout de suite un peu de délais quelle que soit la banque). à l'usage rien à redire : totalement satisfait de fortunéo.le service client est toujours joignable : dernièrement des délais d'attente un peu plus longs tout de même, plusieurs minutes. nous n'avons jamais rien eu de spécial à demander au service client, sauf dernièrement où il nous fallait une attestation de compte en anglais : il a fallu plusieurs jours pour l'obtenir et au final elle n'était qu'à mon nom, c'est effectivement moi qui l'avait demandée, alors que nous avons un compte-joint et qu'il fallait qu'elle soit à nos deux noms. après rappel nous avons eu le document correct cette fois en moins de 24h.cela me fait dire que si l'on ne sort pas des sentiers battus tout fonctionne bien, pour des choses spécifiques il y a manifestement une efficacité plus relative, mais encore acceptable.fortunéo ne se repose pas sur ses lauriers. la création du compte fosfo, sans dépôt minimum, le prouve. par ailleurs il n'y a plus non plus de frais pour les paiements par cb et retraits dans les dab à l'étranger : seuls le frais de change s'appliquent et ce sont les frais de change interbancaires, il ne peut pas y avoir plus bas.nous avons ouvert tout dernièrement chacun un ldd et un livret : tout s'est passé rapidement en ligne et de façon instantanée, certainement aussi parce que nous avions déjà notre compte courant et que nous n'avons rien eu à fournir.par contre il faut qu'elle fasse attention à son service client : attendre 2/3 mn ok mais au-delà ça devient déraisonnable, et surtout il faut que les choses se passent bien et vite également.",54 ans femme 51 pratiquons banque ligne depuis fin années 90 époque banque directe puis axa banque puis boursorama depuis 12 ans fortunéo quelle banque ligne toujours fait compte principal jusqu récemment uniquement compte joint chez fortunéo carte gold carte prestige pourquoi banque ligne parce gratuite tout courant peu plus courant compris cartes bancaires assure aucun frais bancaire quelque sorte depuis fait choix ouverture compte chez fortunéo fin 2009 encore très papier deux plus grands enfants ouvert compte fosfo an dernier beaucoup plus simple rapide tout ligne maintenant fallu tout quelques jours tout validé opérationnel comparaison ouvert compte wise tout instantané ouvert très récemment livret cashbee ça également pris plusieurs jours peu moins tout comptes fosfo car facture preuve domicile parfaitement lisible disons moindre grain sable tout suite peu délais quelle banque usage rien redire totalement satisfait fortunéo service client toujours joignable dernièrement délais attente peu plus longs tout plusieurs minutes jamais rien spécial demander service client sauf dernièrement où fallait attestation compte anglais fallu plusieurs jours obtenir final nom effectivement demandée alors compte joint fallait deux noms après rappel document correct cette fois moins 24h cela fait dire si sort sentiers battus tout fonctionne bien choses spécifiques manifestement efficacité plus relative encore acceptable fortunéo repose lauriers création compte fosfo sans dépôt minimum prouve ailleurs plus non plus frais paiements cb retraits dab étranger seuls frais change appliquent frais change interbancaires peut avoir plus bas ouvert tout dernièrement chacun ldd livret tout passé rapidement ligne façon instantanée certainement aussi parce déjà compte courant rien fournir contre faut fasse attention service client attendre mn ok delà ça devient déraisonnable surtout faut choses passent bien vite également,Positive,6,accueil
1033,Avis Fortuneo ,"4,4 sur 5 étoiles",27/06/2022,"je suis client depuis plus de 3 mois. l'expérience est positive avec un service client sérieux et des engagements commerciaux tenus dans les délais. c'est ma première expérience avec une banque en ligne. il y a plus de réactivité d'écoute, de facilité à joindre un conseiller que dans ma banque traditionnelle. j'envisage de ce fait de transférer tous mes comptes chez eux lorsque mon prêt immobilier sera amorti.",client depuis plus mois expérience positive service client sérieux engagements commerciaux tenus délais première expérience banque ligne plus réactivité écoute facilité joindre conseiller banque traditionnelle envisage fait transférer tous comptes chez lorsque prêt immobilier amorti,Positive,4,service
1034,Avis Fortuneo ,"4,5 sur 5 étoiles",17/06/2022,"j'ai ouvert un compte courant secondaire chez fortuneo il y a un peu plus de 3 ans, avec une offre de bienvenue très intéressante (160€ reversés à l'ouverture du compte). l'unique condition pour percevoir cette prime est de ne pas clôturer le compte dans les mois qui suivent.l'ouverture du compte se fait en grande partie directement en ligne via leur formulaire, et quelques documents complémentaires ont du être téléchargés dans l'espace client dans les jours suivants. l'interface est très bien faite, et l'inscription fluide.les revenus conditionnent le type de carte : j'ai pu bénéficier d'une carte gold gratuite, chose que ma banque traditionnelle actuelle n'a jamais voulu me proposer.j'ai reçu par courrier les identifiants de connexion dans les jours qui ont suivi l'inscription, mais les ai malheureusement égarés. le service client a alors fait le nécessaire pour pouvoir me débloquer, ils sont faciles à joindre par téléphone, et très réactifs. depuis, plus aucun problème ni besoin de les contacter.seul bémol : les frais de non utilisation de la carte bleue qui sont assez élevés. étant donné qu'il s'agit d'un compte secondaire, il arrive d'oublier d'utiliser la carte pendant un mois. il est donc recommandé d'y attacher au moins une transaction cb automatique mensuelle pour ne pas avoir ce type de pénalité.",ouvert compte courant secondaire chez fortuneo peu plus ans offre bienvenue très intéressante 160 reversés ouverture compte unique condition percevoir cette prime clôturer compte mois suivent ouverture compte fait grande partie directement ligne via formulaire quelques documents complémentaires être téléchargés espace client jours suivants interface très bien faite inscription fluide revenus conditionnent type carte pu bénéficier carte gold gratuite chose banque traditionnelle actuelle jamais voulu proposer reçu courrier identifiants connexion jours suivi inscription malheureusement égarés service client alors fait nécessaire pouvoir débloquer faciles joindre téléphone très réactifs depuis plus aucun problème ni besoin contacter seul bémol frais non utilisation carte bleue assez élevés donné agit compte secondaire arrive oublier utiliser carte pendant mois donc recommandé attacher moins transaction cb automatique mensuelle avoir type pénalité,Positive,0,service
1035,Avis Fortuneo ,"3,2 sur 5 étoiles",14/06/2022,"fortuneo a de gros problèmes en ce moment. je ne sais pas si ouvrir un compte chez eux est la meilleure solution. j'ai ouvert mon compte en 2020, tout était parfait, le service client, l'accès client, le tchat. depuis un certain temps, ils ont des soucis avec leur site, impossible de se connecter durant 2 jours, le service client vous demande une sécurisation poussée jusqu'à la couleur de votre carte de crédit, c'est de l'inédit ! quand vous allez dans formulaire pour une opposition, car ils vous retirent deux fois le même montant, le site bugge et il faut l'envoyer par courrier, des frais en plus.",fortuneo gros problèmes moment sais si ouvrir compte chez meilleure solution ouvert compte 2020 tout parfait service client accès client tchat depuis certain temps soucis site impossible connecter durant jours service client demande sécurisation poussée jusqu couleur carte crédit inédit quand allez formulaire opposition car retirent deux fois montant site bugge faut envoyer courrier frais plus,Positive,6,accueil
1036,Avis Fortuneo ,5 sur 5 étoiles,28/04/2022,"j´ai ouvert un compte courant fortuneo pour réduire mes frais bancaires. fortuneo s'est occupé de faire domicilier mon salaire après avoir signé les autorisations d'usage. ma nouvelle carte de paiement est arrivée sans encombre par courrier. le fait que ce soit une banque entièrement en ligne ne pose aucune difficulté particulière. je suis très satisfaite des services rendus par l'application sur internet et surtout celle pour smartphone que j'utilise quotidiennement. elle m'est particulièrement utile pour la ""carte virtuelle"" qui me permet de sécuriser mes achats sur internet en obtenant un numéro de carte bancaire unique pour chaque transaction. je trouve ce service pratique et très rassurant. c'est pour moi, le principal point fort de cette banque.",ouvert compte courant fortuneo réduire frais bancaires fortuneo occupé faire domicilier salaire après avoir signé autorisations usage nouvelle carte paiement arrivée sans encombre courrier fait banque entièrement ligne pose aucune difficulté particulière très satisfaite services rendus application internet surtout celle smartphone utilise quotidiennement particulièrement utile carte virtuelle permet sécuriser achats internet obtenant numéro carte bancaire unique chaque transaction trouve service pratique très rassurant principal point fort cette banque,Positive,0,service
1037,Avis Fortuneo ,"4,0 sur 5 étoiles",27/04/2022,"depuis que j’ai rejoint fortuneo, ma façon de voir les banques en ligne a changé. j’étais un peu sceptique mais maintenant, je peux affirmer que fortuneo est la meilleure banque en ligne du marché. elle propose des frais de transaction assez bas et permet d’avoir accès à une multitude de crédits remboursables sur une longue durée. aussi, l’inscription est bien plus rapide que chez d’autres banques. après avoir téléchargé l’application, j’ai mis 3 minutes pour remplir le formulaire d’inscription. après l’avoir soumis, un code de confirmation m’est parvenu et m’a permis d’activer mon compte. l’étape qui a suivi consistait juste à envoyer mes papiers pour vérification.je ne saurais finir sans ajouter que l’interface de l’application se comprend facilement et que le support client est courtois. les fois où j’ai eu des problèmes avec fortuneo, j’ai été vite pris en compte.",depuis rejoint fortuneo façon voir banques ligne changé peu sceptique maintenant peux affirmer fortuneo meilleure banque ligne marché propose frais transaction assez bas permet avoir accès multitude crédits remboursables longue durée aussi inscription bien plus rapide chez autres banques après avoir téléchargé application mis minutes remplir formulaire inscription après avoir soumis code confirmation parvenu permis activer compte étape suivi consistait juste envoyer papiers vérification saurais finir sans ajouter interface application comprend facilement support client courtois fois où problèmes fortuneo vite pris compte,Positive,0,service
1038,Avis Fortuneo ,"2,6 sur 5 étoiles",03/04/2022,"offre promotionnelle d´ouverture de compte pour attirer le client avant de finalement dire 5 mois plus tard que vous n êtes pas éligible alors que vous êtes persuadés que si (code saisie et validé lors de l inscription). après avoir fait la demande de mobilité, la banque demande qu´on leur fournisse une attestation de destruction de cb un mois avant la fermeture effective du compte (et vous n avez que 2 semaines pour procéder, sinon la fermeture n´est pas prise en compte). par contre quand c´est vous qui demandez une attestation de clôture de livret a afin de rouvrir un livret a dans une autre banque, ils veulent vous le facturer 12€ .",offre promotionnelle ouverture compte attirer client avant finalement dire mois plus tard éligible alors persuadés si code saisie validé lors inscription après avoir fait demande mobilité banque demande fournisse attestation destruction cb mois avant fermeture effective compte semaines procéder sinon fermeture prise compte contre quand demandez attestation clôture livret afin rouvrir livret autre banque veulent facturer 12,Positive,1,frais
1039,Avis Fortuneo ,"4,5 sur 5 étoiles",01/04/2022,"j’ai ouvert un compte titre ordinaire sur fortunéo afin d’investir en bourse. la procédure d’ouverture du compte était plutôt simple, il n’y avait que peu de démarches à faire. ce que j’ai le plus apprécié, c’est le fait d’avoir un logiciel de trading, live trader, à disposition sans frais supplémentaires. j’ai eu quelques difficultés à l’installer en revanche, mais le service client que j’ai appelé a été d’une grande aide. l’interface de l'espace client est simple et claire. concernant les frais de courtage, j'ai choisi le tarif ""optimum"", car il était pour moi le plus avantageux. en tant que débutante en bourse, j’ai trouvé que fortunéo était très pratique et complet pour l’utilisation que j’en faisais.",ouvert compte titre ordinaire fortunéo afin investir bourse procédure ouverture compte plutôt simple peu démarches faire plus apprécié fait avoir logiciel trading live trader disposition sans frais supplémentaires quelques difficultés installer revanche service client appelé grande aide interface espace client simple claire concernant frais courtage choisi tarif optimum car plus avantageux tant débutante bourse trouvé fortunéo très pratique complet utilisation faisais,Positive,0,service
1040,Avis Fortuneo ,"4,3 sur 5 étoiles",17/02/2022,"l'ouverture d'un compte fortuneo est facile, la procédure est bien guidée. en revanche, cela a pris un peu de temps et j'ai du attendre plusieurs semaines avant l'ouverture définitive de mon compte. le panel d'offres est large, j'ai pu choisir celle qui me convient : un compte courant classique, sans découvert. aucun frais de carte bancaire ni de fonctionnement ne m'a jamais été facturé. contrairement à d'autres banques en ligne, fortuneo remplit bien le pari de la banque 100 % online. je suis complètement autonome et tout se trouve sur le site, facile à utiliser. néanmoins, les délais bancaires pour les transactions sont un peu longs et ma carte bancaire n'est pas facilement utilisable aux péages et à la station carburant. j'ai appelé une fois le service client car j'avais oublié mon code. le personnel a été agréable, prévenant et réactif. en revanche, toute action de la part du service client est facturée.",ouverture compte fortuneo facile procédure bien guidée revanche cela pris peu temps attendre plusieurs semaines avant ouverture définitive compte panel offres large pu choisir celle convient compte courant classique sans découvert aucun frais carte bancaire ni fonctionnement jamais facturé contrairement autres banques ligne fortuneo remplit bien pari banque 100 online complètement autonome tout trouve site facile utiliser néanmoins délais bancaires transactions peu longs carte bancaire facilement utilisable péages station carburant appelé fois service client car oublié code personnel agréable prévenant réactif revanche toute action part service client facturée,Positive,0,service
1041,Avis Fortuneo ,"4,0 sur 5 étoiles",16/02/2022,"j'ai un compte dans cette banque depuis quelques années maintenant et le moins que je puisse dire c’est que je suis satisfait de la qualité du service qu'elle offre. la banque propose trois cartes bancaires gratuites sous certaines conditions. je peux gérer mon compte à distance grâce à l'application mobile de la banque, qui est assez efficace. l'interface est simple et claire. certes, il n'est pas aussi coloré que les modèles modernes, mais au moins je peux facilement m'y retrouver. au début, j'ai trouvé difficile d'ajuster les limites des cartes de crédit dans l'interface, mais grâce à l'aide du service clientèle, j'ai pu le faire facilement.",compte cette banque depuis quelques années maintenant moins puisse dire satisfait qualité service offre banque propose trois cartes bancaires gratuites sous certaines conditions peux gérer compte distance grâce application mobile banque assez efficace interface simple claire certes aussi coloré modèles modernes moins peux facilement retrouver début trouvé difficile ajuster limites cartes crédit interface grâce aide service clientèle pu faire facilement,Positive,0,service
