,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
853,Avis Hello bank ,"3,0 sur 5 étoiles",06/07/2022,"tout d’abord la souscription et les conditions sont super attractives. c’est simple, intuitif à l’utilisation.par contre le service client est nul. en cas d’urgence on vous demande de patienter ou bien de contacter le service de carte bancaire. des réponses de conseillers toutes faites qui ne répondent en aucun point à votre demande. des délais de réponse supérieur à 7jours. ce qui est incroyable pour une banque en ligne",tout abord souscription conditions super attractives simple intuitif utilisation contre service client nul cas urgence demande patienter bien contacter service carte bancaire réponses conseillers toutes faites répondent aucun point demande délais réponse supérieur 7jours incroyable banque ligne,Positive,4,service
854,Avis Hello bank ,"2,4 sur 5 étoiles",05/07/2022,"si tu as besoin de faire des transactions ou de contacter le service clientèle, les délais de réponse sont longs. ll est impossible d'avoir des responsables sauf par messagerie: délais de réponse: 8 jrs.",si besoin faire transactions contacter service clientèle délais réponse longs ll impossible avoir responsables sauf messagerie délais réponse jrs,Negative,6,accueil
855,Avis Hello bank ,"2,2 sur 5 étoiles",27/06/2022,"service après vente vraiment inutile, pas de solutions apportées au client. pour l'ouverture vous avez de l'aide, après à vous de vous débrouiller en espérant qui vous arrive rien. vraiment déçu de voir à quel point les conseillers sont peu concernés par vos problèmes.",service après vente vraiment inutile solutions apportées client ouverture aide après débrouiller espérant arrive rien vraiment déçu voir quel point conseillers peu concernés problèmes,Negative,6,accueil
856,Avis Hello bank ,"2,0 sur 5 étoiles",25/06/2022,plus de 20 minutes en attente et après on me raccroche. tout est facturé. un envoi postal aurait facilité la conservation du numéro de compte bancaire ou un sms sur demande avec tous les critères pour plus de sécurité. les tele prospectrices sont désagréables. le code iban ne sert même pas pour récupérer son numéro de compte bancaire.,plus 20 minutes attente après raccroche tout facturé envoi postal facilité conservation numéro compte bancaire sms demande tous critères plus sécurité tele prospectrices désagréables code iban sert récupérer numéro compte bancaire,Positive,6,accueil
857,Avis Hello bank ,"4,5 sur 5 étoiles",17/06/2022,"cliente depuis de nombreuses années, je suis titulaire d'un compte courant ainsi que d'un livret d'épargne chez hello bank. je cherchais avant tout une banque facile d'utilisation, et surtout gratuite. j'ai pu ouvrir mes comptes à distance, en totale autonomie, de manière ultra simple et rapide. le suivi des comptes, que ce soit sur l'application ou sur le site internet, est accessible en un coup d’œil. on pourrait se poser des questions sur la qualité du service après-vente, car il est rarement au niveau avec des offres peu chères. ce n'est pas du tout le cas chez hello bank ! j'ai contacté le service client à plusieurs reprises par téléphone au sujet de différents problèmes. le numéro est bien indiqué et se trouve facilement. l'attente est toujours raisonnable. les opérateurs sont courtois et résolvent le problème. mon seul regret : n'avoir pas pu concrétiser mon projet de crédit immobilier avec cette banque ! malgré tout, je reste fidèle à hello bank.",cliente depuis nombreuses années titulaire compte courant ainsi livret épargne chez hello bank cherchais avant tout banque facile utilisation surtout gratuite pu ouvrir comptes distance totale autonomie manière ultra simple rapide suivi comptes application site internet accessible coup œil pourrait poser questions qualité service après vente car rarement niveau offres peu chères tout cas chez hello bank contacté service client plusieurs reprises téléphone sujet différents problèmes numéro bien indiqué trouve facilement attente toujours raisonnable opérateurs courtois résolvent problème seul regret avoir pu concrétiser projet crédit immobilier cette banque malgré tout reste fidèle hello bank,Positive,0,service
858,Avis Hello bank ,"2,2 sur 5 étoiles",10/06/2022,client bnp paribas depuis 20 ans j ai voulu ouvrir un compte hello bank avec domicilation de salaire et ouverture ce. refusé. motif : non éligible ? je signale que je n'ai eu aucun incident bancaire / non fichée fcc et ficp et bdf /et téléphoniquement je n'ai eu aucune réponse je suis très étonné de ce comportement.,client bnp paribas depuis 20 ans voulu ouvrir compte hello bank domicilation salaire ouverture refusé motif non éligible signale aucun incident bancaire non fichée fcc ficp bdf téléphoniquement aucune réponse très étonné comportement,Positive,5,personnel
859,Avis Hello bank ,5 sur 5 étoiles,28/05/2022,"j’ai ouvert un compte courant en ligne chez hello bank il y a maintenant un mois. je recommande particulièrement cet organisme ! la création de compte est facile : il suffit de s’inscrire en ligne, de télécharger quelques documents (carte d’identité, par ex.), de signer numériquement et le tour est joué ! attention, il faut déjà posséder un premier compte bancaire. on reçoit la confirmation sous 48 h, et la carte bancaire en moins d’une semaine par voie postale. pensez à installer l’application sur votre smartphone, on gère tout du bout des doigts, une liberté plus qu’appréciable ! j’ai également pris un livret de développement durable et solidaire (ldds), idem, en deux clics c’était fait.",ouvert compte courant ligne chez hello bank maintenant mois recommande particulièrement cet organisme création compte facile suffit inscrire ligne télécharger quelques documents carte identité ex signer numériquement tour joué attention faut déjà posséder premier compte bancaire reçoit confirmation sous 48 carte bancaire moins semaine voie postale pensez installer application smartphone gère tout bout doigts liberté plus appréciable également pris livret développement durable solidaire ldds idem deux clics fait,Positive,0,service
860,Avis Hello bank ,5 sur 5 étoiles,25/04/2022,"je suis client hello bank depuis 2015. j’avais auparavant un compte cortal qui a été transformé en compte hello bank dans la foulée de la création de ce nouveau service par bnp paribas. mon enregistrement a donc été très simple, je n’ai rien eu à faire. non seulement mon ancien compte a été transféré, mais également j’ai pu profiter d’une présentation modernisée. que ce soit sur le site web ou sur l’appli mobile, les soldes et relevés d’opérations sont clairs, les différentes fonctions de virement ou d’achat de titres sont facilement activables. je dispose en outre d’une carte visa premier gratuite, qui m’apporte un grand sentiment de sécurité. je peux en configurer les paramètres de fonctionnement et ainsi empêcher les fraudes éventuelles. par ailleurs, je constate la fiabilité du paiement à distance avec le nouveau protocole d’authentification via l’appli mobile.j’ai contacté le service client dans le cadre d’une demande de remboursement à la suite d’une opération frauduleuse. j’ai suivi la procédure et j’ai été intégralement remboursé. de plus, j’ai reçu une nouvelle carte en 48 heures.",client hello bank depuis 2015 auparavant compte cortal transformé compte hello bank foulée création nouveau service bnp paribas enregistrement donc très simple rien faire non seulement ancien compte transféré également pu profiter présentation modernisée site web appli mobile soldes relevés opérations clairs différentes fonctions virement achat titres facilement activables dispose outre carte visa premier gratuite apporte grand sentiment sécurité peux configurer paramètres fonctionnement ainsi empêcher fraudes éventuelles ailleurs constate fiabilité paiement distance nouveau protocole authentification via appli mobile contacté service client cadre demande remboursement suite opération frauduleuse suivi procédure intégralement remboursé plus reçu nouvelle carte 48 heures,Positive,3,service
861,Avis Hello bank ,"4,0 sur 5 étoiles",25/04/2022,"cela fait un bon moment que j’utilise hello bank et depuis, je n’ai jamais rencontré de réelles difficultés. c’est vraiment l’une des meilleures banques en ligne que j’ai pu tester. déjà, l’inscription a été facile et rapide. après seulement 3 étapes, à savoir le remplissage du formulaire, la signature électronique et l’envoi de pièces d’identité, mon compte a été ouvert. j’ai même pris la carte visa hello one qui fonctionne sans frais.aussi, avec l’application mobile, la gestion de mon compte bancaire est franchement plus facile. grâce à une interface bien conçue et personnalisable, j’arrive à consulter rapidement mon solde, afficher le relevé de mes transactions, ajouter des bénéficiaires, et plus. plus intéressant encore, hello bank est compatible avec apple pay. cette option m’a été d’une grande aide. le service client est assez disponible et répond généralement très vite. franchement, je recommande.",cela fait bon moment utilise hello bank depuis jamais rencontré réelles difficultés vraiment meilleures banques ligne pu tester déjà inscription facile rapide après seulement étapes savoir remplissage formulaire signature électronique envoi pièces identité compte ouvert pris carte visa hello one fonctionne sans frais aussi application mobile gestion compte bancaire franchement plus facile grâce interface bien conçue personnalisable arrive consulter rapidement solde afficher relevé transactions ajouter bénéficiaires plus plus intéressant encore hello bank compatible apple pay cette option grande aide service client assez disponible répond généralement très vite franchement recommande,Positive,0,service
862,Avis Hello bank ,"1,6 sur 5 étoiles",16/04/2022,"je dispose d'un compte de dépôt et livret a chez eux depuis 8 ans, les frais y sont exorbitants (20 € facturés pour tout découvert). en plus des intérêts débiteurs légaux déjà en cours), ils se permettent de faire la morale sur la gestion de notre argent, le service client est injoignable, j'ai attendu dernièrement 2h30 au téléphone avant que quelqu'un veuille bien me répondre, leur site informatique rencontre souvent des dysfonctionnements rendant impossible tout virement (donc quand le virement est urgent c'est très regrettable), on vous appelle sur votre téléphone pour n'importe quelle raison, on vous demande de vous justifier sur les virements ou cloture du pel comme cela m'est dernièrement arrivé et enfin ils décident arbitrairement et de manière abusive de clôturer mes comptes d'office, sans raison et sans respect du délai de deux mois de préavis, me laissant ainsi dans une situation très compliquée! de surcroit ils refusent que j'ouvre un compte bancaire ailleurs en me refusant d'effectuer le virement sur un autre compte pour son ouverture (condition exigée par l'autre banque).",dispose compte dépôt livret chez depuis ans frais exorbitants 20 facturés tout découvert plus intérêts débiteurs légaux déjà cours permettent faire morale gestion argent service client injoignable attendu dernièrement 2h30 téléphone avant quelqu veuille bien répondre site informatique rencontre souvent dysfonctionnements rendant impossible tout virement donc quand virement urgent très regrettable appelle téléphone importe quelle raison demande justifier virements cloture pel comme cela dernièrement arrivé enfin décident arbitrairement manière abusive clôturer comptes office sans raison sans respect délai deux mois préavis laissant ainsi situation très compliquée surcroit refusent ouvre compte bancaire ailleurs refusant effectuer virement autre compte ouverture condition exigée autre banque,Negative,6,accueil
