,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1300,Avis LCL ,"4,2 sur 5 étoiles",28/06/2022,"voilà une banque à l'écoute, réactive, et où l'accueil client est vraiment une belle expérience ! cela fait 6 ans que j'ai un compte chez eux, il y a déjà eu quelques déconvenues mais toutes réglées rapidement et avec le sourire ! on ne prend pas la facilité d'accuser le client, on cherche à comprendre et on trouve une solution, je recommande les yeux fermés !",voilà banque écoute réactive où accueil client vraiment belle expérience cela fait ans compte chez déjà quelques déconvenues toutes réglées rapidement sourire prend facilité accuser client cherche comprendre trouve solution recommande yeux fermés,Positive,4,service
1301,Avis LCL ,"2,8 sur 5 étoiles",15/06/2022,"la valse des conseillers en agences, le manque de réactivité même dans l'urgence. facturation des frais bancaires supplémentaires à la plus petite demande d'agencement de votre prêt immobilier, exemple 350€ l'ajout d'un simple devis. au bout du compte, pas terrible.",valse conseillers agences manque réactivité urgence facturation frais bancaires supplémentaires plus petite demande agencement prêt immobilier exemple 350 ajout simple devis bout compte terrible,Positive,4,service
1302,Avis LCL ,"1,6 sur 5 étoiles",18/05/2022,"je me permets de vous raconter une très mauvaise expérience avec lcl. j’ai été cliente pendant quelques années avant d’opter pour une banque en ligne. naturellement, j’avais demandé à ma conseillère de clôturer mon compte courant au lcl en janvier 2021. des abonnements de type netflix continuaient à être prélevés sur le compte lcl que je n’utilisais plus. de ce fait, j’ai régularisé le compte. ma conseillère m’avait dit qu’elle le clôturerait une fois ce paiement effectué. pensant que tout était en ordre, je ne m’inquiétais plus de cela. puis, en décembre 2021, contre toute attente, je reçois l’appel d’un huissier de justice. apparemment je devais environ 180 euros au lcl. surprise, je les appelle, et j’apprends que le compte n’avait pas été clôturé ! aucun appel de la banque ou du service recouvrement à ce sujet pendant plusieurs mois.j’explique donc en décembre au lcl qu’il y avait eu une erreur de la part de ma conseillère, mais on me dit que sans preuve (mail), on ne peut rien faire pour moi. malheureusement, je ne pouvais plus mettre la main sur le fameux e-mail. a contre cœur, je paie.en avril 2022, en triant ma boite e-mail, je retombe sur l’e-mail, la preuve que j’avais bien demandé la clôture. j’en informe par courrier lcl, puis par téléphone à plusieurs reprises. rien ne se passe. on oublie même de me rappeler ou pire encore, on me met en attente puis on raccroche (alors que je suis toujours très polie et respectueuse au téléphone).",permets raconter très mauvaise expérience lcl cliente pendant quelques années avant opter banque ligne naturellement demandé conseillère clôturer compte courant lcl janvier 2021 abonnements type netflix continuaient être prélevés compte lcl utilisais plus fait régularisé compte conseillère dit clôturerait fois paiement effectué pensant tout ordre inquiétais plus cela puis décembre 2021 contre toute attente reçois appel huissier justice apparemment devais environ 180 euros lcl surprise appelle apprends compte clôturé aucun appel banque service recouvrement sujet pendant plusieurs mois explique donc décembre lcl erreur part conseillère dit sans preuve mail peut rien faire malheureusement pouvais plus mettre main fameux mail contre cœur paie avril 2022 triant boite mail retombe mail preuve bien demandé clôture informe courrier lcl puis téléphone plusieurs reprises rien passe oublie rappeler pire encore met attente puis raccroche alors toujours très polie respectueuse téléphone,Positive,6,accueil
1303,Avis LCL ,"4,8 sur 5 étoiles",06/05/2022,"formidable banque, à l’écoute, des conseillers très réactifs. interactif, cliente très satisfaite. le site offre tous les services à distance si besoin.a chaque fois que j’ai laissé un message sur la messagerie j’ai toujours été rappelé en moins d’une heure. a l’agence le très bon accueil est à noter.",formidable banque écoute conseillers très réactifs interactif cliente très satisfaite site offre tous services distance si besoin chaque fois laissé message messagerie toujours rappelé moins heure agence très bon accueil noter,Positive,0,service
1304,Avis LCL ,"4,0 sur 5 étoiles",12/02/2022,"je suis satisfaite de mon lcl en ligne sur le téléphone car vous pouvez gérer partout où vous êtes. oui, les frais bancaires sont chers par rapport à d'autres banques c'est ce qui devrait être amélioré. j´y suis depuis des années et je n'ai pas eu de gros soucis avec eux. là je les ai appelé pour un souci de payment sur un site de l oph, la carte ne passait pas, ce n'est pas un problème de plafond car celui-ci a déjà été augmenté. j'ai eu ma conseillère qui va faire le nécessaire et en principe cela se passe toujours très bien.",satisfaite lcl ligne téléphone car pouvez gérer partout où oui frais bancaires chers rapport autres banques devrait être amélioré depuis années gros soucis là appelé souci payment site oph carte passait problème plafond car celui ci déjà augmenté conseillère va faire nécessaire principe cela passe toujours très bien,Positive,4,service
1305,Avis LCL ,5 sur 5 étoiles,05/01/2022,"j'ai ouvert mon premier compte dans les années 90, je me souviens de la clarté des explications. je suis donc revenue vers le lcl depuis quelques années : explications claires et détaillés, possibilité de joindre un conseiller en cas de soucis soit par téléphone soit par l'application, qui du reste est très bien faite : sûre, efficace, transparente. ouvrir un compte ou changer de banque avec le lcl est très simple : carte d'identité et un conseiller s'occupe du reste. c'est une banque traditionnelle qui est présente (l'appli permet de gérer à distance) bien mieux qu'une banque en ligne.",ouvert premier compte années 90 souviens clarté explications donc revenue vers lcl depuis quelques années explications claires détaillés possibilité joindre conseiller cas soucis téléphone application reste très bien faite sûre efficace transparente ouvrir compte changer banque lcl très simple carte identité conseiller occupe reste banque traditionnelle présente appli permet gérer distance bien mieux banque ligne,Positive,0,service
1306,Avis LCL ,"4,0 sur 5 étoiles",26/10/2021,"je suis client lcl depuis toujours et je suis globalement satisfait de cette banque.bien qu'il s'agisse d'une banque traditionnelle, j'apprécie l'ergonomie et la facilité d'utilisation de son application, je peux facilement modifier mon plafond et il m'est arrivé d'échanger avec mon conseiller directement depuis cette dernière. je trouve également agréable le fait d'avoir un conseiller attitré, j'ai ainsi eu la possibilité de négocier mes tarifs sur ma carte bleue que j'ai actuellement à un tarif attractif. toutefois, les cartes bancaires gratuites ne sont pas disponibles dans cet établissement ce que je trouve dommage.étant souvent en déplacement, il est important pour moi que je puisse trouver une agence locale lcl partout en france et c'est le cas, il y a en a presque partout ! j'apprécie également que lcl propose un large panel d'offre en fonction de mes revenus et de ma situation : une offre adaptée lorsque j'étais étudiant mais également une à l'obtention de mon premier emploi.",client lcl depuis toujours globalement satisfait cette banque bien agisse banque traditionnelle apprécie ergonomie facilité utilisation application peux facilement modifier plafond arrivé échanger conseiller directement depuis cette dernière trouve également agréable fait avoir conseiller attitré ainsi possibilité négocier tarifs carte bleue actuellement tarif attractif toutefois cartes bancaires gratuites disponibles cet établissement trouve dommage souvent déplacement important puisse trouver agence locale lcl partout france cas presque partout apprécie également lcl propose large panel offre fonction revenus situation offre adaptée lorsque étudiant également obtention premier emploi,Positive,0,service
1307,Avis LCL ,"2,5 sur 5 étoiles",18/01/2021,"très peu proche de sa clientèle.lcl a été ma première banque lorsque j'étais étudiante. a l'époque, je ne savais pas encore comment gérer un budget, et ils ne m'ont proposé aucune solution adaptée, pouvant limiter mes dépenses par exemple.je me suis vite retrouvée avec un découvert de 800€, ce qui, à l'âge que j'avais alors, représentait une somme astronomique et insurmontable.j'ai fini à la banque de france à 18 ans... tout ça, sans jamais qu'un conseiller ne me propose un rendez-vous. inadmissible.",très peu proche clientèle lcl première banque lorsque étudiante époque savais encore comment gérer budget proposé aucune solution adaptée pouvant limiter dépenses exemple vite retrouvée découvert 800 âge alors représentait somme astronomique insurmontable fini banque france 18 ans tout ça sans jamais conseiller propose rendez inadmissible,Positive,5,personnel
1308,Avis LCL ,"4,3 sur 5 étoiles",12/01/2021,"j’ai ouvert mon compte courant lcl à paris dans les années 90 car il y avait une succursale proche de mon domicile.j’ai apprécié de pouvoir changer d’agence lorsque j’ai déménagé en allemagne, puis au havre et enfin sur rouen, tout en gardant le même numéro de compte. lorsque j’ai voulu faire construire ma maison, je me suis tournée naturellement vers ma banque pour un crédit logement. j’ai toujours été bien accompagnée par la conseillère qui a toujours été claire dans ses explications.j’ai ouvert un 2ème compte dans une autre banque car malheureusement, il n’y a pas de crédit lyonnais où j’habite. mais j’ai conservé le compte lcl tout en le gérant à distance sur internet, sans difficulté car le site est pratique, fluide et clair.",ouvert compte courant lcl paris années 90 car succursale proche domicile apprécié pouvoir changer agence lorsque déménagé allemagne puis havre enfin rouen tout gardant numéro compte lorsque voulu faire construire maison tournée naturellement vers banque crédit logement toujours bien accompagnée conseillère toujours claire explications ouvert 2ème compte autre banque car malheureusement crédit lyonnais où habite conservé compte lcl tout gérant distance internet sans difficulté car site pratique fluide clair,Positive,0,service
1309,Avis LCL ,"4,8 sur 5 étoiles",06/12/2020,"je suis client lcl depuis mon plus jeune âge et jusqu’à ce jour, sous aucun prétexte je ne changerais de banque.la majeure partie des conseillers à qui on a confié la gestion de mon compte ont toujours fait preuve d'un grand professionnalisme et d'une sympathie hors-norme. j'ai énormément apprécié leur bienveillance, leur compréhension dans des moments difficiles auxquels j'ai du faire face. leur capacité d'écoute ainsi que leur réactivité sont pour ma part exemplaires. avec mon expérience passée chez lcl, je vous recommande vivement les services de cette banque qui sait chaque jour être auprès de ses clients.en ce qui concerne le service client, je les ai contacté à de nombreuses reprises et ils ont toujours été courtois et serviables; mon problème était toujours réglé en moins de 24 heures, quel qu´en soit la nature.si je devais trouver un problème à cette banque, je dirais que ce sont les frais, qui sont plus élevés compte-tenu de la concurrence exercée par les banques en ligne; mais cela est compréhensible vu que c'est une banque physique et non pas en ligne.",client lcl depuis plus jeune âge jusqu jour sous aucun prétexte changerais banque majeure partie conseillers confié gestion compte toujours fait preuve grand professionnalisme sympathie hors norme énormément apprécié bienveillance compréhension moments difficiles auxquels faire face capacité écoute ainsi réactivité part exemplaires expérience passée chez lcl recommande vivement services cette banque sait chaque jour être auprès clients concerne service client contacté nombreuses reprises toujours courtois serviables problème toujours réglé moins 24 heures quel nature si devais trouver problème cette banque dirais frais plus élevés compte tenu concurrence exercée banques ligne cela compréhensible vu banque physique non ligne,Positive,4,service
