,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
0,Avis La Banque Postale ,"2,2 sur 5 étoiles",14/07/2022,"client depuis plus de 20 ans à la banque postale avec comptes courants, une carte bancaire à débit différé, des livrets, j'ai dû progressivement me résoudre à résilier petit à petit tous ces services pour ne garder qu'un compte courant sans cb et sans chèque. le service n'a fait que se dégrader au fil du temps et le covid n'a fait qu'accélérer la chute. alors que depuis quelques années, les frais de gestion bancaires augmentent de façon significative tous les ans.un exemple d'agacement : lorsque que j'ai résilié, dans les règles, ma carte bancaire par lettre recommandée contenant cette carte, la banque postale a continué pendant 2 ans à prélever la cotisation. a chaque fois, il a fallu batailler pour récupérer des cotisations pour une carte que je n'avais plus.pour faire les virements, il faut utiliser le système d'authentification certificode plus, qui est compliqué et de ne fonctionne pas toujours.depuis 2 ans j'ai ouvert un compte dans une banque en ligne et je n'ai rien à dire, sauf qu'il n'y a pas de frais de gestion et que la carte bancaire est gratuite.",client depuis plus 20 ans banque postale comptes courants carte bancaire débit différé livrets dû progressivement résoudre résilier petit petit tous services garder compte courant sans cb sans chèque service fait dégrader fil temps covid fait accélérer chute alors depuis quelques années frais gestion bancaires augmentent façon significative tous ans exemple agacement lorsque résilié règles carte bancaire lettre recommandée contenant cette carte banque postale continué pendant ans prélever cotisation chaque fois fallu batailler récupérer cotisations carte plus faire virements faut utiliser système authentification certificode plus compliqué fonctionne toujours depuis ans ouvert compte banque ligne rien dire sauf frais gestion carte bancaire gratuite,Positive,6,accueil
1,Avis La Banque Postale ,"1,8 sur 5 étoiles",14/07/2022,"cliente depuis 40 ans, je ferme tous les livrets a du foyer et comptes ce jour. suite à un problème technique de leur fait, je n'ai plus aucun accès à mes comptes.après un temps fou à attendre que leurs services décrochent et plusieurs interlocuteurs qui n'en connaissent pas plus que moi, on me demande d'aller à la poste afin de récupérer un code et de les rappeler afin de réinitialiser certicode plus. en attendant l'ouverture de ce bureau qui depuis bien longtemps est plus souvent fermé qu'ouvert, je dois jongler avec mes heures de travail. et là, on me dit que je suis malgré tout responsables des opérations qui me mettraient à découvert, étant dans l'impossibilité de créditer le compte à temps.les virements reçus sont longs à apparaître sur le compte par rapport à une autre banque, les bureaux de poste qui gèrent les comptes sont de plus en plus éloignés.",cliente depuis 40 ans ferme tous livrets foyer comptes jour suite problème technique fait plus aucun accès comptes après temps fou attendre leurs services décrochent plusieurs interlocuteurs connaissent plus demande aller poste afin récupérer code rappeler afin réinitialiser certicode plus attendant ouverture bureau depuis bien longtemps plus souvent fermé ouvert dois jongler heures travail là dit malgré tout responsables opérations mettraient découvert impossibilité créditer compte temps virements reçus longs apparaître compte rapport autre banque bureaux poste gèrent comptes plus plus éloignés,Positive,6,accueil
2,Avis La Banque Postale ,"1,6 sur 5 étoiles",12/07/2022,"avec mon épouse, nous sommes clients de lbp depuis 40 ans. suite à des problèmes d'achat en ligne avec nos cartes bancaires lbp (achats impossibles, raison inconnue des services techniques lbp), nous avons décidé de changer de banque.voici la liste des griefs à l'encontre de cette banque :- rendement assurance vie très faible voir négatif- service clientèle inexistant- conseillers financiers inaccessibles et incompétents- délai de clôture des produits (livret a, pel, ccp, …) inacceptable,- facturation de frais de gestion non justifiée au regard des prestations assurées- ensemble des opérations à réaliser par formulaires",épouse clients lbp depuis 40 ans suite problèmes achat ligne cartes bancaires lbp achats impossibles raison inconnue services techniques lbp décidé changer banque voici liste griefs encontre cette banque rendement assurance vie très faible voir négatif service clientèle inexistant conseillers financiers inaccessibles incompétents délai clôture produits livret pel ccp inacceptable facturation frais gestion non justifiée regard prestations assurées ensemble opérations réaliser formulaires,Negative,1,frais
3,Avis La Banque Postale ,"2,0 sur 5 étoiles",11/07/2022,"après 20 ans à la banque postale, je ne peux pas utiliser mon argent sur mon compte courant. je dois virer 20 mille € à un notaire pour acheter un bien et là, surprise, c'est impossible depuis mon compte internet. c'est limité à 4000 € par jour. je dois donc aller à mon agence, pas une autre, où un employé me fait des difficultés : justificatif du notaire, avis d'imposition, déclaration papier de je ne sais plus quoi, pièce d'identité pour finalement me dire qu'il doit attendre que mon conseiller personnel valide l´opération. deux jours après la banque postale m'enlevait 4 euros pour ""virement occasionnel"".",après 20 ans banque postale peux utiliser argent compte courant dois virer 20 mille notaire acheter bien là surprise impossible depuis compte internet limité 4000 jour dois donc aller agence autre où employé fait difficultés justificatif notaire avis imposition déclaration papier sais plus quoi pièce identité finalement dire doit attendre conseiller personnel valide opération deux jours après banque postale enlevait euros virement occasionnel,Positive,6,accueil
4,Avis La Banque Postale ,"2,8 sur 5 étoiles",09/07/2022,"la banque postale a transféré un total de 60 000 € de mon compte courant. elle a ensuite reversé 40 000 € sur le compte. un total de 6 transactions, sans aucune référence à moi - ni aucune explication. j'avais autorisé un transfert de 10 000 €.j'ai utilisé mon espace client il y a 2 semaines pour demander une explication. aucune réponse. j'ai envoyé un autre message il y a une semaine - toujours pas de réponse. cela aurait pu être très embarrassant pour moi. pourquoi aucune réponse ? je suppose qu'ils n'ont pas vraiment de personnel au service des clients.",banque postale transféré total 60 000 compte courant ensuite reversé 40 000 compte total transactions sans aucune référence ni aucune explication autorisé transfert 10 000 utilisé espace client semaines demander explication aucune réponse envoyé autre message semaine toujours réponse cela pu être très embarrassant pourquoi aucune réponse suppose vraiment personnel service clients,Negative,6,accueil
5,Avis La Banque Postale ,5 sur 5 étoiles,09/07/2022,"la réponse à christine; tu as eu 5000 euros de carte visa prélevés sur ton compte bancaire. sache que tu peux bloquer tes achats sur internet si tu n en fais pas, donc pas de possibilité de te prendre ton argent. maintenant faites comme moi, j ai un compte hello one (bnp) quand j´achète sur interne, je dépose en 15 secondes la somme sur hello one, et si on veut me faire 20 ou 30 prélèvement carte bleue, ce n´est pas possible. donc il faut apprendre à gérer tout cela. les banques ne peuvent pas assumer les fautes des clients, restez donc très vigilant.",réponse christine 5000 euros carte visa prélevés compte bancaire sache peux bloquer achats internet si fais donc possibilité prendre argent maintenant faites comme compte hello one bnp quand achète interne dépose 15 secondes somme hello one si veut faire 20 30 prélèvement carte bleue possible donc faut apprendre gérer tout cela banques peuvent assumer fautes clients restez donc très vigilant,Positive,0,service
6,Avis La Banque Postale ,"2,0 sur 5 étoiles",06/07/2022,"j'ai été l'objet d'opérations d'hameçonage suite à un faux message du site netflix auquel je venais de m'abonner. a la suite de cette opération, j'ai fait l'objet de 35 opérations de débit à la carte bancaire en une seule journée sans avoir eu un seul message de la banque même automatique me demandant si j'étais à l'origine de ces opérations. le préjiudice s'élève à plus de 5 000 euros et malgré mes oppositions et recours, à ce jour la banque refuse de me rembourser sans prouver la négligence grave de ma part ou la fraude. je déplore la réaction de la banque, réaction qui est d'ailleurs montrée du doigt dans les médias par ufc que choisir qui a décidé d'attaquer plusieurs banques pour ce genre de refus de remboursement.",objet opérations hameçonage suite faux message site netflix auquel venais abonner suite cette opération fait objet 35 opérations débit carte bancaire seule journée sans avoir seul message banque automatique demandant si origine opérations préjiudice élève plus 000 euros malgré oppositions recours jour banque refuse rembourser sans prouver négligence grave part fraude déplore réaction banque réaction ailleurs montrée doigt médias ufc choisir décidé attaquer plusieurs banques genre refus remboursement,Positive,2,frais
7,Avis La Banque Postale ,"2,2 sur 5 étoiles",05/07/2022,"j'essaie de faire un virement à l'étranger depuis une semaine, on me le bloque car la signature ne correspond pas à celle que j'ai fait lors de l'ouverture du compte, aucune solution à m'apporter sauf me rendre au guichet pour la modifier. je pose donc une après-midi, car ils sont ouverts un jour sur deux de 9h à 17h max .la dame du guichet est dans l'incapacité de trouver le papier que je dois remplir pour modifier ma signature. 6000€ bloqués pour rien avec aucune solution apportée.",essaie faire virement étranger depuis semaine bloque car signature correspond celle fait lors ouverture compte aucune solution apporter sauf rendre guichet modifier pose donc après midi car ouverts jour deux 9h 17h max dame guichet incapacité trouver papier dois remplir modifier signature 6000 bloqués rien aucune solution apportée,Positive,6,accueil
8,Avis La Banque Postale ,"2,6 sur 5 étoiles",05/07/2022,"si comme moi et beaucoup d'autres, vous n'avez que survolé la documentation tarifaire de la banque postale mise à jour au premier janvier de cette année, et bien comme moi vous avez loupé l'augmentation tarifaire de la gestion du découvert autorisé de votre compte bancaire. ces frais de 6,00€ seront prélevés directement sur votre compte entre septembre et décembre 2022. pour moi qui n'utilise jamais cette possibilité de découvert (trop chère) c'est un scandale. le montant du découvert accordé est établi par l'établissement bancaire en fonction du fonctionnement de votre compte et le découvert autorisé est souvent supérieur à la somme de 300.00€ accordée, somme plancher pour la mise en œuvre de cette nouvelle taxe de gestion, que vous utilisiez ou pas ce droit à découvert (non spécifié dans la brochure d'explication).je téléphone de suite à mon conseiller la banque postale qui m'informe que si j'utilise la possibilité de baisser, en ligne, et directement à partir de mon compte, mon droit à découvert sous le plafond fatidique des 300.00€, et bien je me verrais facturé la somme de 6.00€ pour la gestion de ce plafond. courrier au service clients et au centre de gestion pour leur notifier mon refus des nouvelles conditions tarifaires.",si comme beaucoup autres survolé documentation tarifaire banque postale mise jour premier janvier cette année bien comme loupé augmentation tarifaire gestion découvert autorisé compte bancaire frais 00 prélevés directement compte entre septembre décembre 2022 utilise jamais cette possibilité découvert trop chère scandale montant découvert accordé établi établissement bancaire fonction fonctionnement compte découvert autorisé souvent supérieur somme 300 00 accordée somme plancher mise œuvre cette nouvelle taxe gestion utilisiez droit découvert non spécifié brochure explication téléphone suite conseiller banque postale informe si utilise possibilité baisser ligne directement partir compte droit découvert sous plafond fatidique 300 00 bien verrais facturé somme 00 gestion plafond courrier service clients centre gestion notifier refus nouvelles conditions tarifaires,Positive,6,accueil
9,Avis La Banque Postale ,"2,3 sur 5 étoiles",04/07/2022,"le service client est déplorable, les interlocuteurs en ligne n'ont aucune compétence et nous baladent d'un service vers l'autre à 0.15€/minute, pour finir à ne pas avoir de réponse. par contre pour encaisser les frais de compte et se servir sur le compte, là il n'y a pas de souci, ça sort plus vite que le temps pour le dire. bref: pour avoir expérimenté plusieurs banques en ligne, la banque postale a du souci à se faire, vis à vis de la concurrence, j'ai quitté cet établissement médiéval pour une banque moderne et efficace.",service client déplorable interlocuteurs ligne aucune compétence baladent service vers autre 15 minute finir avoir réponse contre encaisser frais compte servir compte là souci ça sort plus vite temps dire bref avoir expérimenté plusieurs banques ligne banque postale souci faire vis vis concurrence quitté cet établissement médiéval banque moderne efficace,Positive,4,service
