,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
895,Avis Lydia ,"2,8 sur 5 étoiles",15/07/2022,"pas si facile l'ouverture de la cagnotte lydia, il faut montrer patte blanche de façon abusive. d´innombrables procédures et modes de reconnaissance très lourdes qui bloquent tout le temps. pour ma part mauvaise expérience. le site internet ne fonctionne pas toujours bien et on est sans arrêt obligés de justifier son identité par des moyens archaïques. j'ai dû récupérer ma cagnotte avec beaucoup de difficulté car ils n'avaient soi disant pas le bon numéro de compte bancaire.",si facile ouverture cagnotte lydia faut montrer patte blanche façon abusive innombrables procédures modes reconnaissance très lourdes bloquent tout temps part mauvaise expérience site internet fonctionne toujours bien sans arrêt obligés justifier identité moyens archaïques dû récupérer cagnotte beaucoup difficulté car soi disant bon numéro compte bancaire,Positive,6,accueil
896,Avis Lydia ,"3,0 sur 5 étoiles",13/07/2022,tout se passe bien jusqu'à ce qu'on doive contacter le service client. j'étais très satisfait jusqu'au jour où j'ai dû avoir à contacter le service client.j'ai envoyé 5 mails en 4 jours sans aucune réponse de leur part pour pouvoir débloquer mon compte suite à la perte du téléphone.,tout passe bien jusqu doive contacter service client très satisfait jusqu jour où dû avoir contacter service client envoyé mails jours sans aucune réponse part pouvoir débloquer compte suite perte téléphone,Positive,4,service
897,Avis Lydia ,"2,4 sur 5 étoiles",08/07/2022,"derrière une apparente simplicité bon marché, des coûts cachés exorbitants. pas d'informations claires à propos de ces coûts.difficile d'accéder à un recourt, au service client. je pensais investir dans de la crypto, après quelques recherches, ""non n'achetons pas vraiment de la crypto, mais des produits dérivés"". gros flou sur la gestion des ces produits.",derrière apparente simplicité bon marché coûts cachés exorbitants informations claires propos coûts difficile accéder recourt service client pensais investir crypto après quelques recherches non achetons vraiment crypto produits dérivés gros flou gestion produits,Positive,6,accueil
898,Avis Lydia ,"1,6 sur 5 étoiles",01/07/2022,"j'ai le compte lydia noire, je me suis fait dérober une bonne somme d´argent de mon compte sans mon consentement et lydia refuse de prendre ses responsabilités.service client absent qui ne sert qu'à faire l'opposition à vos frais en plus même en cas de fraude sur votre compte.",compte lydia noire fait dérober bonne somme argent compte sans consentement lydia refuse prendre responsabilités service client absent sert faire opposition frais plus cas fraude compte,Positive,4,service
899,Avis Lydia ,"1,8 sur 5 étoiles",23/06/2022,"la façon de procéder de lydia est scandaleuse, suite à la vente de mon véhicule j’ai reçu une partie des fonds par virement sur mon compte lydia, j’en ai reversé une partie en virement sur un autre compte et c’est là que la mascarade commence. lydia me contacte et veut mon accord pour faire de mon compte lydia mon compte principal ( depuis qu’il y a beaucoup d’argent dessus), tout y passe, bloquage du virement, demande de justificatif hors de tout cadre légal et pour finir, suppression définitive de mon compte lydia puisque j’ai refusé de souscrire à leur carte bancaire et d’en faire mon compte principal.",façon procéder lydia scandaleuse suite vente véhicule reçu partie fonds virement compte lydia reversé partie virement autre compte là mascarade commence lydia contacte veut accord faire compte lydia compte principal depuis beaucoup argent dessus tout passe bloquage virement demande justificatif hors tout cadre légal finir suppression définitive compte lydia puisque refusé souscrire carte bancaire faire compte principal,Negative,1,frais
900,Avis Lydia ,5 sur 5 étoiles,22/06/2022,"parfait, fiable, jamais aucun souci pour payer ou recevoir des paiements personnels ou professionnels. les liens pour se faire régler par carte bleue peuvent être envoyés par mail ou sms, super pratique et rapide. mes clients étaient un peu frileux au début de ce nouveau mode de paiement, dur de faire confiance ces temps-ci mais au final ils étaient ravis!",parfait fiable jamais aucun souci payer recevoir paiements personnels professionnels liens faire régler carte bleue peuvent être envoyés mail sms super pratique rapide clients peu frileux début nouveau mode paiement dur faire confiance temps ci final ravis,Positive,0,service
901,Avis Lydia ,"2,0 sur 5 étoiles",26/05/2022,"un prélèvement frauduleux de 400 € a été exécuté sur mon compte courant (la poste) lié à ma carte bleue. heureusement j´ai été remboursé par la banque postale. je ne comprends pas comment de tels virements puissent s'effectuer à l'insu du titulaire du compte, et sans certification/validation de code sms ou quoi que ce soit..",prélèvement frauduleux 400 exécuté compte courant poste lié carte bleue heureusement remboursé banque postale comprends comment tels virements puissent effectuer insu titulaire compte sans certification validation code sms quoi,Positive,1,frais
902,Avis Lydia ,"1,8 sur 5 étoiles",24/05/2022,"lydia était une application pratique au début mais elle est devenue difficile. impossible de contacter qui que ce soit quand on a des problèmes et donc on reste une à deux semaines sans retour. un virement ne met jamais un à trois jours, mais trois jours à se faire. des demandes de crédits qui prennent maintenant des jours sans retour. enfin les vérifications de paiements en ligne marchent une fois sur trois.",lydia application pratique début devenue difficile impossible contacter quand problèmes donc reste deux semaines sans retour virement met jamais trois jours trois jours faire demandes crédits prennent maintenant jours sans retour enfin vérifications paiements ligne marchent fois trois,Negative,6,accueil
903,Avis Lydia ,"1,4 sur 5 étoiles",17/05/2022,"voilà ce que je lis comme commentaire :""lydia est la banque favorite des arnaqueurs sur internet. j'ai eu cette expérience ce matin même avec un escroc qui prétendait suspendre un virement de mon compte vers l'étranger.""j'ai également été arnaqué par une personne ayant un compte lydia. le vendeur a bien reçu son argent, le produit n'a jamais été envoyé.j'ai donc fait opposition auprès de ma banque qui a ouvert un litige et m'a remboursé après 3 mois. un an plus tard, le service lydia me harcèle afin que je leur rembourse la somme qu'ils ont virée à mon arnaqueur et pour laquelle j'ai obtenu un remboursement de ma banque.je trouve inadmissible d'harceler les gens qui se sont fait arnaqué au lieu de voir avec l'arnaqueur lui même, à qui on ne demande aucun compte.",voilà lis comme commentaire lydia banque favorite arnaqueurs internet cette expérience matin escroc prétendait suspendre virement compte vers étranger également arnaqué personne compte lydia vendeur bien reçu argent produit jamais envoyé donc fait opposition auprès banque ouvert litige remboursé après mois an plus tard service lydia harcèle afin rembourse somme virée arnaqueur laquelle obtenu remboursement banque trouve inadmissible harceler gens fait arnaqué lieu voir arnaqueur demande aucun compte,Positive,6,accueil
904,Avis Lydia ,"2,0 sur 5 étoiles",09/05/2022,"mon compte a été bloqué avec mes fonds sur le compte suite un à virement sur une « cagnotte lydia ». lydia me demandant des informations personnelles sur cette transaction pour débloquer mon compte et récupérer l’accès à cet argent. malgré mon mécontentement, je m’exécute de leur envoyer un message écrit confirmant les raisons de ce virement. depuis ce jour, plus aucune réponse de lydia, compte bloqué avec l’argent dessus, service client déplorable, plus aucune réponse depuis que je leur ai envoyé les justificatifs et plus aucun moyen d’accéder à mon argent.",compte bloqué fonds compte suite virement cagnotte lydia lydia demandant informations personnelles cette transaction débloquer compte récupérer accès cet argent malgré mécontentement exécute envoyer message écrit confirmant raisons virement depuis jour plus aucune réponse lydia compte bloqué argent dessus service client déplorable plus aucune réponse depuis envoyé justificatifs plus aucun moyen accéder argent,Positive,6,accueil
