,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
669,Avis Ma French Bank ,"2,4 sur 5 étoiles",06/07/2022,j'ai un compte de french bank depuis 2 mois tout fonctionne à merveille; et là ils me disent qu'ils vont clôturer le compte sans motif. mon compte est approvisionné en positif tout le temps. déja c’était un gros problème pour l'ouvrir depuis internet il fallait que je me rende dans un bureau de la poste pour le faire. merci à la poste de la la réunion.,compte french bank depuis mois tout fonctionne merveille là disent vont clôturer compte sans motif compte approvisionné positif tout temps déja gros problème ouvrir depuis internet fallait rende bureau poste faire merci poste réunion,Positive,3,service
670,Avis Ma French Bank ,"3,2 sur 5 étoiles",05/07/2022,"tellement difficile d'obtenir le service client, juste rien que pour changer mon numéro de téléphone sur l'application et leur expliquer que je n'ai plus l'ancien numéro.ca va sur 2 mois que j'appelle sans suite, parfois ça raccroche subitement.",tellement difficile obtenir service client juste rien changer numéro téléphone application expliquer plus ancien numéro ca va mois appelle sans suite parfois ça raccroche subitement,Positive,4,service
671,Avis Ma French Bank ,"2,2 sur 5 étoiles",03/07/2022,"je pensais souscrire à un service moderne mais non, c'est nul. si la souscription c'est avéré moyennement facile, il s'avère qu'à l'usage c'est compliqué.effectivement un seul parent peut avoir accès à l'application et je ne peux plus faire de virements instantanés à mes enfants, il faut tout prévoir.",pensais souscrire service moderne non nul si souscription avéré moyennement facile avère usage compliqué effectivement seul parent peut avoir accès application peux plus faire virements instantanés enfants faut tout prévoir,Positive,0,service
672,Avis Ma French Bank ,"2,6 sur 5 étoiles",27/06/2022,"j'ai ouvert très facilement mon compte par internet jeudi dernier. mon identité numérique étant vérifiée,french bank me demande d'effectuer un virement de 50 euros ce que je fais immédiatement. mon virement est crédité sur la french bank. on me dit que ma carte bancaire est en fabrication. je ne m'inquiète donc pas. aujourd'hui, lundi , je reçois un mail m'indiquant que le virement que j'ai fait sur mon compte n'est pas valide car il n'a pas été envoyé d'un compte à mon nom mais c'est un compte commun donc mon nom figure sur le libellé.je suis donc coincée car j'ai 50 euros bloqués que je ne peux pas utiliser, ni même virer sur un autre compte puisque mon compte n'est pas totalement ouvert. je vais donc envoyer un courrier recommandé pour clôturer ce compte.",ouvert très facilement compte internet jeudi dernier identité numérique vérifiée french bank demande effectuer virement 50 euros fais immédiatement virement crédité french bank dit carte bancaire fabrication inquiète donc aujourd hui lundi reçois mail indiquant virement fait compte valide car envoyé compte nom compte commun donc nom figure libellé donc coincée car 50 euros bloqués peux utiliser ni virer autre compte puisque compte totalement ouvert vais donc envoyer courrier recommandé clôturer compte,Positive,3,service
673,Avis Ma French Bank ,"3,0 sur 5 étoiles",22/06/2022,"un virement qui vient de l'étranger, c'est 24h en général, 48h rarement. chez ma french bank 96h sans aucune explication. je travaille avc une entreprise basée à barcelone, je reçois des virements constamment. finalement les plus rapides sont n26 malgré des charges elevées.",virement vient étranger 24h général 48h rarement chez french bank 96h sans aucune explication travaille avc entreprise basée barcelone reçois virements constamment finalement plus rapides n26 malgré charges elevées,Positive,6,accueil
674,Avis Ma French Bank ,"4,3 sur 5 étoiles",17/06/2022,"j'ai ouvert un compte chez ma french bank pour préparer un voyage, en effet, je souhaitais profiter de la gratuité des retraits et des paiements hors zone euro. pour ce voyage, j'ai fait le choix du compte classique proposé à 2€90 par mois. l'enregistrement sur la plateforme de ma french bank se réalise assez rapidement, après le premier virement, la carte arrive sous une semaine, accompagnée du code secret.la carte est simple, et elle n'est pas en relief. cela m'a posé problème lorsque j'étais à l'étranger (au brésil), car elle n'était pas acceptée partout. en ce qui concerne son utilisation, la carte dispose d'une double authentification en ligne sur l'application pour les paiements par internet, ce qui est pratique pour les voyages à l'étranger, à l'inverse de certaines banques qui utilisent encore la confirmation par sms. j'ai beaucoup apprécié le fait que les dépenses soient débitées en direct, c'est très pratique pour gérer son budget.j'ai beaucoup aimé le fait de pouvoir alimenter son compte avec une autre carte bancaire, cela est pratique et rapide.ma french bank n'innove pas beaucoup dans les produits qu'elle propose, la fonction tirelire n'est pas très intéressante, en ce qui concerne le micro-crédit rapide, ses conditions d'obtentions ne sont pas transparentes, j'ai essayé d'en demander un, et le refus était systématique et sans justifications.je regrette également le fait qu'il faille payer 90 centimes par retrait s'il est effectué dans une autre banque que la poste, en 2022, ce n'est pas acceptable.le service client est assez réactif, et je n'ai eu que des expériences positives, ils répondent rapidement au téléphone. cependant le chat de l'application bug souvent.",ouvert compte chez french bank préparer voyage effet souhaitais profiter gratuité retraits paiements hors zone euro voyage fait choix compte classique proposé 90 mois enregistrement plateforme french bank réalise assez rapidement après premier virement carte arrive sous semaine accompagnée code secret carte simple relief cela posé problème lorsque étranger brésil car acceptée partout concerne utilisation carte dispose double authentification ligne application paiements internet pratique voyages étranger inverse certaines banques utilisent encore confirmation sms beaucoup apprécié fait dépenses débitées direct très pratique gérer budget beaucoup aimé fait pouvoir alimenter compte autre carte bancaire cela pratique rapide french bank innove beaucoup produits propose fonction tirelire très intéressante concerne micro crédit rapide conditions obtentions transparentes essayé demander refus systématique sans justifications regrette également fait faille payer 90 centimes retrait effectué autre banque poste 2022 acceptable service client assez réactif expériences positives répondent rapidement téléphone cependant chat application bug souvent,Positive,0,service
675,Avis Ma French Bank ,"1,8 sur 5 étoiles",17/06/2022,"1ere tentative d'ouverture de compte clôturée car les justificatifs ne sont pas demandés à la banque mais par un mail ressemblant à un spam que nous n'avions pas vu.passe encore.2ème tentative: le service de finalisation de l'ouverture à qui on envoie les justificatifs par mail dans les temps cette fois-ci nous renvoie un mail menaçant de clôturer le compte car le nom sur le justificatif de domicile ne correspond à celui qui a signé l'attestation d'hébergement. pourtant, le nom sur l'attestation apparaît bien dans le corps du justificatif en tant que co-titulaire du compte.bref, cela semble simple mais c'est très prise de tête et chronophage. cherchez ailleurs si vous pouvez. c'est ce que je ferai si le compte est à nouveau clôturé arbitrairement.",1ere tentative ouverture compte clôturée car justificatifs demandés banque mail ressemblant spam vu passe encore 2ème tentative service finalisation ouverture envoie justificatifs mail temps cette fois ci renvoie mail menaçant clôturer compte car nom justificatif domicile correspond celui signé attestation hébergement pourtant nom attestation apparaît bien corps justificatif tant co titulaire compte bref cela semble simple très prise tête chronophage cherchez ailleurs si pouvez ferai si compte nouveau clôturé arbitrairement,Positive,4,service
676,Avis Ma French Bank ,"2,0 sur 5 étoiles",03/06/2022,"déçu de ma french bank. ouverture du compte avec ma conseillère. ce que proposait cette banque en ligne m’avait charmé : pas de découvert, pouvoir économiser une certaine somme dans sa tirelire à chaque achat, s’il y avait un quelconque souci pouvoir contacter directement un conseiller. plus d’une semaine plus tard sans nouvelle de ma carte, je décide de contacter le service client (en ligne) : j’explique que je n’ai toujours pas reçu ma carte bancaire et donc je souhaite savoir combien de temps je devais encore attendre ? le conseiller virtuel me remercie et surprise me dit que j’allais recevoir un mail concernant la clôture de mon compte. ayant lu tous ces avis négatifs concernant cette banque, je ne suis même pas surpris au final. j’attends les remboursements de mes 50€ de l’ouverture de mon compte.",déçu french bank ouverture compte conseillère proposait cette banque ligne charmé découvert pouvoir économiser certaine somme tirelire chaque achat quelconque souci pouvoir contacter directement conseiller plus semaine plus tard sans nouvelle carte décide contacter service client ligne explique toujours reçu carte bancaire donc souhaite savoir combien temps devais encore attendre conseiller virtuel remercie surprise dit allais recevoir mail concernant clôture compte lu tous avis négatifs concernant cette banque surpris final attends remboursements 50 ouverture compte,Positive,6,accueil
677,Avis Ma French Bank ,"2,3 sur 5 étoiles",26/05/2022,"j'ai souscrit un compte we start à mes 2 enfants. a l'usage, cela s'est révélé compliqué au quotidien :1. seul un des parents peut avoir l'application de suivi des comptes des enfants;2. pour alimenter leur compte, il faut faire un paiement cb et l'application n'enregistre pas les coordonnées de la carte. il faut resaisir à chaque fois.",souscrit compte we start enfants usage cela révélé compliqué quotidien seul parents peut avoir application suivi comptes enfants alimenter compte faut faire paiement cb application enregistre coordonnées carte faut resaisir chaque fois,Negative,0,service
678,Avis Ma French Bank ,"4,6 sur 5 étoiles",06/05/2022,"j´en suis très contente. mon argent arrive en temps et en heure. l´application est très simple. nous sommes informés de chaque transaction, c´est vraiment sécurisant.",très contente argent arrive temps heure application très simple informés chaque transaction vraiment sécurisant,Positive,0,service
