,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
970,Avis Macif ,"2,0 sur 5 étoiles",07/07/2022,"plusieurs fois que je déclare un sinistre automobile dont une crevaison. il a fallu 2h pour que le dépanneur arrive. alors que l’entreprise se situe à 15 min de chez moi. soit disant « bug de logiciel ». sauf que lorsque vous téléphonez à l’assistance: « toutes les lignes sont chargées il faut déclarer le sinistre en ligne ». il faut arrêter la technologie et décrocher son téléphone. réponse : je vous ai trouvé un dépanneur qui arrivera à 10h15 au lieu de 10h10, si vous le souhaitez vous pouvez faire une réclamation.",plusieurs fois déclare sinistre automobile dont crevaison fallu 2h dépanneur arrive alors entreprise situe 15 min chez disant bug logiciel sauf lorsque téléphonez assistance toutes lignes chargées faut déclarer sinistre ligne faut arrêter technologie décrocher téléphone réponse trouvé dépanneur arrivera 10h15 lieu 10h10 si souhaitez pouvez faire réclamation,Negative,4,service
971,Avis Macif ,"1,6 sur 5 étoiles",30/06/2022,"comme depuis 10 ans, je paie ma cotisation annuelle d'assurance habitation à la macif par chèque. cette année apparemment ils n'ont pas reçu mon chèque malgré le débit sur mon compte bancaire de ce dernier. je contacte le service client qui me dit qu'il s'agit d'une erreur de lettrage en comptabilité et que tout est réglé.2 semaines plus tard je continue de me faire harceler, mails, sms, appels, lrar me menaçant de supprimer mes droits à assurance. selon eux la seule solution est d'obtenir de la part de ma banque la copie du chèque encaissé. ma banque fait cette démarche, elle contacte la banque de la macif pour recevoir la photocopie du chèque. j'envoie le justificatif (provenant de la banque de la macif) qui prouve que c'est eux qui ont débité mon chèque et pourtant ils continuent à dire que je n'ai pas payé et refuse de me rembourser (j'ai du souscrire ailleurs ne pouvant pas rester sans assurance).",comme depuis 10 ans paie cotisation annuelle assurance habitation macif chèque cette année apparemment reçu chèque malgré débit compte bancaire dernier contacte service client dit agit erreur lettrage comptabilité tout réglé semaines plus tard continue faire harceler mails sms appels lrar menaçant supprimer droits assurance selon seule solution obtenir part banque copie chèque encaissé banque fait cette démarche contacte banque macif recevoir photocopie chèque envoie justificatif provenant banque macif prouve débité chèque pourtant continuent dire payé refuse rembourser souscrire ailleurs pouvant rester sans assurance,Negative,5,personnel
972,Avis Macif ,"2,6 sur 5 étoiles",28/06/2022,"20 ans de cotisations et le jour où on a besoin d'une aide pour louer un véhicule car panne de notre véhicule personnel, on nous répond ""m. il y a 20 ans, vous n'avez pas souscrit l'option prêt de véhicule"" et qu'ils ne peuvent pas vous aider car nous n'avons qu'une assurance chez eux.",20 ans cotisations jour où besoin aide louer véhicule car panne véhicule personnel répond 20 ans souscrit option prêt véhicule peuvent aider car assurance chez,Positive,5,personnel
973,Avis Macif ,"2,0 sur 5 étoiles",27/06/2022,"ils n'hésitent pas à facturer très chers leurs services et à mettre fin au contrat purement et simplement. et en cas d'accrochage, ils vous considèrent immédiatement comme responsable sans même vous poser de questions. suite à un accrochage sur un parking, qui a abouti à un pare-chocs juste déboîté, perte immédiate de bonus, application du malus et refus de nouveau contrat !",hésitent facturer très chers leurs services mettre fin contrat purement simplement cas accrochage considèrent immédiatement comme responsable sans poser questions suite accrochage parking abouti pare chocs juste déboîté perte immédiate bonus application malus refus nouveau contrat,Positive,2,frais
974,Avis Macif ,"1,8 sur 5 étoiles",07/06/2022,"nous déplorons la mauvaise foi et la mauvaise gestion de notre assurance macif. suite à un accident de la route de notre fils, nous sommes en litige depuis un an.assurés sur tous nos équipements depuis 25 ans! notre fils a subi un accident sérieux avec de la rééducation longue, aucune prise en charge n'est acceptée jusqu'à ce jour. nous tenons à vous signaler de rester très vigilants sur les dates de vos courriers.seulement deux semaines après l'accident, notre fils en réanimation, nous avions reçu un courrier nous indiquant que le dossier ""sinistre"", serait clôturé dans les 72 heures sans réponse de notre part. choquant. ce même courrier indiquait également une date erronée. dans un moment de lucidité, si nous n'avions pas appelé le service, notre dossier était clos.d'autre part, dans un contrat tout conducteur devrait, par induction, être assuré de la garantie sécurité du conducteur, or il semblerait que cette obligation ne soit pas prise en compte. en effet cela pourrait justifier d'une indemnisation au vu des préjudices subis pour notre enfant de 16 ans.les services et la gestion juridique posent question à notre avocate, elle dénonce leurs incompétences et leur manque de transparence avec rétention avérée des informations sur nos contrats. les pièces dont nous avons besoin pour nous porter partie civile sont trop longs à nous parvenir. leurs intérêts sont beaucoup plus importants que les notres. nous ne sommes pas soutenus comme dans leurs très belles, et très chères, publicités mensongères.",déplorons mauvaise foi mauvaise gestion assurance macif suite accident route fils litige depuis an assurés tous équipements depuis 25 ans fils subi accident sérieux rééducation longue aucune prise charge acceptée jusqu jour tenons signaler rester très vigilants dates courriers seulement deux semaines après accident fils réanimation reçu courrier indiquant dossier sinistre clôturé 72 heures sans réponse part choquant courrier indiquait également date erronée moment lucidité si appelé service dossier clos autre part contrat tout conducteur devrait induction être assuré garantie sécurité conducteur or semblerait cette obligation prise compte effet cela pourrait justifier indemnisation vu préjudices subis enfant 16 ans services gestion juridique posent question avocate dénonce leurs incompétences manque transparence rétention avérée informations contrats pièces dont besoin porter partie civile trop longs parvenir leurs intérêts beaucoup plus importants notres soutenus comme leurs très belles très chères publicités mensongères,Positive,3,service
975,Avis Macif ,"1,6 sur 5 étoiles",03/06/2022,"chaque conseiller se renvoie la balle et personne n'est pas capable de traiter une demande de remboursement qui date de plus de 3 mois. à chaque fois que j'appelle ou que je me déplace directement en agence (même en ayant pris rendez-vous) ils re découvrent le dossier et me disent : ""il faut attendre, je vais envoyer un mail mais moi à mon niveau je ne peux rien faire"". donc depuis plus de 3 mois, après de multiples appels, mails, courriers postaux et déplacements en agence, je suis toujours dans la même situation et j'attends toujours mon remboursement. la situation est plus que burlesque et personne (pas de responsable, pas de directio) ne prend en charge mon dossier. j'ai fait un signalement ce jour à la répression des fraudes (dgccrf) et transmis mes différents échanges à plusieurs agences de défense de consommateurs en espérant que ce problème se résolve au plus vite.",chaque conseiller renvoie balle personne capable traiter demande remboursement date plus mois chaque fois appelle déplace directement agence pris rendez re découvrent dossier disent faut attendre vais envoyer mail niveau peux rien faire donc depuis plus mois après multiples appels mails courriers postaux déplacements agence toujours situation attends toujours remboursement situation plus burlesque personne responsable directio prend charge dossier fait signalement jour répression fraudes dgccrf transmis différents échanges plusieurs agences défense consommateurs espérant problème résolve plus vite,Positive,6,accueil
976,Avis Macif ,"4,3 sur 5 étoiles",28/05/2022,"assurée à la macif depuis bientôt 1 an, je n’ai jamais été déçue par mon assurance auto tous risques, qui offre tous les services dont j'ai besoin.j’ai pu très rapidement assurer ma voiture, après un rendez-vous et la procédure a été rapide.  depuis que je suis assurée, je trouve l’interface de l’application macif et du site très pratique et facile d’utilisation avec les documents utiles dans mon espace. cela me permet de retrouver toutes les informations nécessaires sur les devis et factures rapidement et facilement sur mon espace.  de plus, le fait de pouvoir prendre rendez-vous ou de contacter des conseillers directement sur l’application est agréable et pratique.j’ai été plusieurs fois en relation avec le service clientèle qui a répondu rapidement et de façon bienveillante à mes questions. lors de mes demandes d'attestations, elles m'ont été envoyées très rapidement par la macif.",assurée macif depuis bientôt an jamais déçue assurance auto tous risques offre tous services dont besoin pu très rapidement assurer voiture après rendez procédure rapide depuis assurée trouve interface application macif site très pratique facile utilisation documents utiles espace cela permet retrouver toutes informations nécessaires devis factures rapidement facilement espace plus fait pouvoir prendre rendez contacter conseillers directement application agréable pratique plusieurs fois relation service clientèle répondu rapidement façon bienveillante questions lors demandes attestations elles envoyées très rapidement macif,Positive,0,service
977,Avis Macif ,"2,8 sur 5 étoiles",25/05/2022,"pour des conseils on ne me donne que des numéros à appeler, car le conseiller ne daigne pas se renseigner, juste pour savoir si j ai droit à un taxi, pour aller rechercher ma voiture. on me rend une carte pour l assistance, pour le juridique, vagues explications, vu que je cotise pas pour cette option. pourquoi avoir un conseiller? juste pour souscrire de nouveaux contrats.",conseils donne numéros appeler car conseiller daigne renseigner juste savoir si droit taxi aller rechercher voiture rend carte assistance juridique vagues explications vu cotise cette option pourquoi avoir conseiller juste souscrire nouveaux contrats,Positive,2,frais
978,Avis Macif ,"1,8 sur 5 étoiles",16/05/2022,"maison assurée chez macif depuis 40 ans. aucune demande de remboursement donc très bon client. en 2021 dégâts des eaux 1500€. devis fait auprès d'un artisan plâtrier conseillé par la macif. appel d'un pseudo expert imh qui nous dit que le devis est trop cher et ils proposent 950 € de remboursement. j'ai envoyé nombre de lettres recommandées avec ar, aucune réponse par écrit de la macif. 6 mois plus tard, avant de transmettre mon dossier au médiateur j'appelle la macif qui, 6 mois après, nous envoie leur société pour un devis. après enquête je constate que l'entrepreneur avait une entreprise de kebab! et aucune compétence en plâtrerie, mais seulement plaque de plâtre ! la macif fait appel à des entreprises bas de gamme afin de minimiser leur remboursement. conclusion: vu que nous refusons leur pseudo entreprise du bâtiment nous allons y être de notre poche de 200€. enfin c'est déjà mieux que 950€ proposé dès le début.",maison assurée chez macif depuis 40 ans aucune demande remboursement donc très bon client 2021 dégâts eaux 1500 devis fait auprès artisan plâtrier conseillé macif appel pseudo expert imh dit devis trop cher proposent 950 remboursement envoyé nombre lettres recommandées ar aucune réponse écrit macif mois plus tard avant transmettre dossier médiateur appelle macif mois après envoie société devis après enquête constate entrepreneur entreprise kebab aucune compétence plâtrerie seulement plaque plâtre macif fait appel entreprises bas gamme afin minimiser remboursement conclusion vu refusons pseudo entreprise bâtiment allons être poche 200 enfin déjà mieux 950 proposé dès début,Positive,6,accueil
979,Avis Macif ,"3,3 sur 5 étoiles",26/04/2022,"je suis cliente à la macif depuis plus de vingt ans où je possède des assurances habitation et voiture, plus une mutuelle. en janvier 2022, j'ai eu un accident auto non responsable et grâce à mon contrat tous risques, la macif m'a promis le remboursement d'une voiture de location en attendant la réparation de ma voiture. elle m'a envoyé un courrier en ce sens, me précisant que la location est limitée à cinq jours et à trente euros par jour, et que je dois avancer les frais, que je serai remboursée par la suite. j'ai donc loué une voiture dans la limite du remboursement prévu (jours et prix) et après la semaine de réparation, j'ai envoyé la facture de location à la macif. trois mois après, je n'ai toujours rien perçu de ce remboursement.",cliente macif depuis plus vingt ans où possède assurances habitation voiture plus mutuelle janvier 2022 accident auto non responsable grâce contrat tous risques macif promis remboursement voiture location attendant réparation voiture envoyé courrier sens précisant location limitée cinq jours trente euros jour dois avancer frais remboursée suite donc loué voiture limite remboursement prévu jours prix après semaine réparation envoyé facture location macif trois mois après toujours rien perçu remboursement,Positive,6,accueil
