,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
399,Avis Milleis Banque ,"2,0 sur 5 étoiles",15/07/2022,"milleis a essayé d'imposer une prestation de 100€ par trimestre à ses détenteurs de compte courant par des nouvelles conditions en février 2022. mais comme c'est illégal de forcer l'adhésion à un nouveau service, distinct de la tenue de compte (15€ par trimestre), ils ont refait des conditions en juillet 2022 avec cette fois la tenue de compte et cette prestation pour 115€ par trimestre !",milleis essayé imposer prestation 100 trimestre détenteurs compte courant nouvelles conditions février 2022 comme illégal forcer adhésion nouveau service distinct tenue compte 15 trimestre refait conditions juillet 2022 cette fois tenue compte cette prestation 115 trimestre,Positive,3,service
400,Avis Milleis Banque ,"1,8 sur 5 étoiles",05/07/2022,"client de chez barclays depuis 35 ans, avant que ça devient milleis. chez barclays ça a fonctionne très bien, mais maintenant, très mauvaise expérience avec milleis. ils ne répondent pas ni mails, ni au téléphone. ils semblent perdre vos documents confidentials (justificatif de domicile, photocopie passeport) et ensuite disent qu’ils vont bloquer votre compte par manque de ces mêmes documents.",client chez barclays depuis 35 ans avant ça devient milleis chez barclays ça fonctionne très bien maintenant très mauvaise expérience milleis répondent ni mails ni téléphone semblent perdre documents confidentials justificatif domicile photocopie passeport ensuite disent vont bloquer compte manque mêmes documents,Negative,4,service
401,Avis Milleis Banque ,"1,8 sur 5 étoiles",06/06/2022,"dans le cadre de la reprise de gestion d'un compte de société, j'ai pu constaté la dégradation de la banque milleis. j'avais entendu par l'ancienne personne qui gérait ce compte des difficultés existantes déjà sous barclays. la reprise de ce compte fut et reste très compliquée pour différentes raisons et le peu de soutien de milleis.d'une agence physique il y a des années, on passe à une agence en ligne effectuée avant le changement de gérant de l'entreprise. on avait au départ un numéro de téléphone, un extranet, et une adresse email. impossible d'avoir quelqu'un sur ce numéro. on nous redirigeait tout le temps sur un standard réservé aux particuliers qui ne pouvait pas aider les sociétés. ce téléphone n'existe plus depuis quelques mois. j'ai demandé l'accès à l'extranet mais suite à la reprise du compte de la société cela reste difficile à obtenir et milleis ne m'a pas beaucoup aidé malgré mes explications. les courriels ne sont répondus que plusieurs jours plus tard et ne sont que parcourus. maintenant, ils veulent pousser la société à partir car elle ne leur rapporte pas assez dans leur changement de positionnement. ils m'ont dit plusieurs fois au téléphone qu'il serait bien que la société change de banque.j'ignore ce que valent les agences physiques de milleis mais l'agence en ligne de milleis est une source de problèmes pour moi. c'est extrêmement chronophage et je trouve les réponses par courriels pas à la hauteur de mes demandes.lorsque je leur demande l'état du compte, ils peuvent mettre un certain moment à me répondre. a la plupart de mes demandes, ils trouvent une raison pour ne pas le faire ou expliquer pourquoi cela ne marche pas.si la banque vous propose de passer par l'agence en ligne mymilleis, je vous invite à refuser. cela vous évitera bien des tracasseries. sans compter qu'à moins d'avoir un gros capital, c'est un sens unique où vous ne pourrez pas rebrousser chemin.",cadre reprise gestion compte société pu constaté dégradation banque milleis entendu ancienne personne gérait compte difficultés existantes déjà sous barclays reprise compte reste très compliquée différentes raisons peu soutien milleis agence physique années passe agence ligne effectuée avant changement gérant entreprise départ numéro téléphone extranet adresse email impossible avoir quelqu numéro redirigeait tout temps standard réservé particuliers pouvait aider sociétés téléphone existe plus depuis quelques mois demandé accès extranet suite reprise compte société cela reste difficile obtenir milleis beaucoup aidé malgré explications courriels répondus plusieurs jours plus tard parcourus maintenant veulent pousser société partir car rapporte assez changement positionnement dit plusieurs fois téléphone bien société change banque ignore valent agences physiques milleis agence ligne milleis source problèmes extrêmement chronophage trouve réponses courriels hauteur demandes lorsque demande état compte peuvent mettre certain moment répondre plupart demandes trouvent raison faire expliquer pourquoi cela marche si banque propose passer agence ligne mymilleis invite refuser cela évitera bien tracasseries sans compter moins avoir gros capital sens unique où pourrez rebrousser chemin,Positive,4,service
402,Avis Milleis Banque ,"2,5 sur 5 étoiles",30/05/2022,"j'ai été cliente barclays avant que la banque ne devienne milleis. après une baisse de revenus importante j'ai été transférée d'office sur un compte en ligne et le service n'a fait que se dégrader depuis. j'ai lu une grande partie des avis sur cette banque et me reconnais quasi dans tous les témoignages. service client inexistant, réponse aux mails parfois avec des délais de plusieurs semaines même quand il s'agit d'un problème très gênant (problème d'accès au compte en ligne, carte bleue bloquée sans raison, ancienne carte expirée et nouvelle non reçue, etc.) et je ne parle pas des frais bancaires débités de façon abusive, et l'impossibilité de connaitre les raisons car aucune réponse aux messages..j'ai récemment pris un autre compte à la banque populaire et je ne le regrette pas : un conseiller personnel disponible et concerné, des frais moins élevés et des conseils sérieux qui tiennent compte de votre situation personnelle. je n'ai pas connu ça depuis bientôt 20 ans!",cliente barclays avant banque devienne milleis après baisse revenus importante transférée office compte ligne service fait dégrader depuis lu grande partie avis cette banque reconnais quasi tous témoignages service client inexistant réponse mails parfois délais plusieurs semaines quand agit problème très gênant problème accès compte ligne carte bleue bloquée sans raison ancienne carte expirée nouvelle non reçue etc parle frais bancaires débités façon abusive impossibilité connaitre raisons car aucune réponse messages récemment pris autre compte banque populaire regrette conseiller personnel disponible concerné frais moins élevés conseils sérieux tiennent compte situation personnelle connu ça depuis bientôt 20 ans,Positive,6,accueil
403,Avis Milleis Banque ,"1,8 sur 5 étoiles",30/05/2022,"barclays était une banque presque parfaite. puis le brexit et la france n’étaient plus leur priorité, anacap a racheté et crée milleis. depuis, une catastrophe : suivi clientèle exécrable, mon banquier privé incompétent, problèmes informatiques tous les jours, la banque en ligne, surtout le système bourse, offre un service minable, une fraude sur ma carte de crédit non traité malgré mes nombreuses relances. en tous les cas si vous avez moins de 100 keur de patrimoine chez eux, ils vous feront partir grâce à leur mal service au quotidien.",barclays banque presque parfaite puis brexit france plus priorité anacap racheté crée milleis depuis catastrophe suivi clientèle exécrable banquier privé incompétent problèmes informatiques tous jours banque ligne surtout système bourse offre service minable fraude carte crédit non traité malgré nombreuses relances tous cas si moins 100 keur patrimoine chez feront partir grâce mal service quotidien,Negative,6,accueil
404,Avis Milleis Banque ,"2,0 sur 5 étoiles",22/05/2022,"client de la barclays depuis 1995, je suis devenu par la force des choses client de milleis. depuis que milleis est aux commandes, si vous n’avez besoin de rien c’est parfait. contentez vous de payer des frais plus élevés que dans les autres banques pour les services par contre, même les plus basiques comme le renouvellement d’un chéquier il faut être patient. vous voulez investir dans un appartement, pas de problème on va vous diriger vers « un soi-disant expert » qui va vous faire deux propositions inintéressantes et non optimales pour l’investissement souhaité. la raison est que l’on ne travaille chez milleis qu’avec des promoteurs haut de gamme. kaufman and broad, eiffage immobilier sont ils des promoteurs bas de gamme? en réalité je connaissais mieux le marché local que le pseudo expert !on décrète que si vous n’avez pas d’avoirs chez milleis on va vous facturer des frais de banque privée à hauteur de 100€ par trimestre mais par contre on ne vous fait aucune proposition pour vous inciter à déposer des avoirs chez eux. le conseiller ne vous rappelle pas. en clair, le service est très inférieur à celui d’une banque classique malgré des frais plus importants.",client barclays depuis 1995 devenu force choses client milleis depuis milleis commandes si besoin rien parfait contentez payer frais plus élevés autres banques services contre plus basiques comme renouvellement chéquier faut être patient voulez investir appartement problème va diriger vers soi disant expert va faire deux propositions inintéressantes non optimales investissement souhaité raison travaille chez milleis promoteurs haut gamme kaufman and broad eiffage immobilier promoteurs bas gamme réalité connaissais mieux marché local pseudo expert décrète si avoirs chez milleis va facturer frais banque privée hauteur 100 trimestre contre fait aucune proposition inciter déposer avoirs chez conseiller rappelle clair service très inférieur celui banque classique malgré frais plus importants,Positive,4,service
405,Avis Milleis Banque ,"1,8 sur 5 étoiles",06/05/2022,"je confirme le précédent avis de christian. historiquement client à la barclays puis milléis, jamais aucun problème à signaler. je viens de découvrir que milleis prélevait désormais un forfait de 100€ par trimestre au titre d'un ""accompagnement client"". ce forfait ne m'a jamais été présenté par mon conseiller et on découvre cela du jour au lendemain en consultant son compte. on passe donc en frais de 15€ (tenue de compte) par trimestre à 100+15=115€ soit 766% d'augmentation ! vive l'inflation ! on ne comprend même pas ce qu'on paye et en quoi consiste cet accompagnement. je suis un client sans problème et sans aucun découvert depuis mes débuts, c'est ainsi qu'on me remercie. je trouve les méthodes de milléis déloyales et la moindre des choses aurait été d'informer sur ses changements tarifaires extrêmement brutaux.je vous passe pour les problèmes du site qui fonctionne très mal depuis plusieurs mois : la moindre opération devient une vraie galère.en résumé : dégradation du service et explosion des tarifs. et ce n'est pas fini ! a partir de juillet, le forfait passe de 100€ à 115€.",confirme précédent avis christian historiquement client barclays puis milléis jamais aucun problème signaler viens découvrir milleis prélevait désormais forfait 100 trimestre titre accompagnement client forfait jamais présenté conseiller découvre cela jour lendemain consultant compte passe donc frais 15 tenue compte trimestre 100 15 115 766 augmentation vive inflation comprend paye quoi consiste cet accompagnement client sans problème sans aucun découvert depuis débuts ainsi remercie trouve méthodes milléis déloyales moindre choses informer changements tarifaires extrêmement brutaux passe problèmes site fonctionne très mal depuis plusieurs mois moindre opération devient vraie galère résumé dégradation service explosion tarifs fini partir juillet forfait passe 100 115,Negative,6,accueil
406,Avis Milleis Banque ,"1,8 sur 5 étoiles",02/05/2022,"j’étais client à barclays et toujours satisfait. avec milleis, c’est tout le contraire surtout si on est un client peu fortuné. et pour le savoir, ils nous font remplir un questionnaire où l’on doit indiquer toutes nos liquidités et patrimoine. si vous n y répondez pas, la banque bloque.les frais sont énormes si vous n’avez pas au moins 100.000 € sur votre compte, milleis vous prend 100€ tous les trimestres! je voudrais fermer mon compte mais j’ai un crédit en cours chez eux et je suis coincé.",client barclays toujours satisfait milleis tout contraire surtout si client peu fortuné savoir font remplir questionnaire où doit indiquer toutes liquidités patrimoine si répondez banque bloque frais énormes si moins 100 000 compte milleis prend 100 tous trimestres voudrais fermer compte crédit cours chez coincé,Positive,4,service
407,Avis Milleis Banque ,"1,8 sur 5 étoiles",17/04/2022,"ancien client de la barclays, j'étais très satisfait. les ennuis ont commencé avec milleis. la croix et la banniere pour exécuter certains ordres. question support, ils ne répondent même plus.",ancien client barclays très satisfait ennuis commencé milleis croix banniere exécuter certains ordres question support répondent plus,Positive,4,service
408,Avis Milleis Banque ,"2,0 sur 5 étoiles",01/04/2022,"ma mère, titulaire de deux contrats chez milleis-vie, est décédée début décembre 2021. à ce jour, début avril 2022, nous (héritiers) n'avons toujours reçu aucune nouvelle de l'organisme, qui est indépendant de milleis-banque, même pas un accusé de réception. pas de n° de téléphone. ils ne répondent pas aux mails, même quand c'est une réclamation en bonne et due forme. l'agence ""banque"" nous dit avoir transmis le nécessaire : certificat d'hérédité, dévolution successorale etc.",mère titulaire deux contrats chez milleis vie décédée début décembre 2021 jour début avril 2022 héritiers toujours reçu aucune nouvelle organisme indépendant milleis banque accusé réception téléphone répondent mails quand réclamation bonne due forme agence banque dit avoir transmis nécessaire certificat hérédité dévolution successorale etc,Positive,1,frais
