,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1243,Avis Monabanq ,5 sur 5 étoiles,26/04/2022,"j’ai rejoint monabanq en septembre 2019. j’avais prévu un voyage de plusieurs mois en asie et les offres de cette banque en ligne répondaient parfaitement à mes besoins. j’ai donc ouvert un compte tout compris premium pour bénéficier des 50 paiements et 25 retraits par an sans frais à l’étranger. j’ai aussi choisi une carte visa premier pour profiter des assurances incluses comme la garantie véhicule de location ou la garantie retard de bagages. à mon retour en france, j’ai voulu changer d’offre et passer à un compte pratiq+, mieux adapté à ma situation actuelle. j’ai consulté la faq pour connaître la démarche à suivre. conformément aux indications, j’ai contacté un conseiller via la messagerie client et un avenant à mon compte courant m’a été envoyé quatre jours plus tard. je recommande vivement monabanq pour les voyageurs.",rejoint monabanq septembre 2019 prévu voyage plusieurs mois asie offres cette banque ligne répondaient parfaitement besoins donc ouvert compte tout compris premium bénéficier 50 paiements 25 retraits an sans frais étranger aussi choisi carte visa premier profiter assurances incluses comme garantie véhicule location garantie retard bagages retour france voulu changer offre passer compte pratiq mieux adapté situation actuelle consulté faq connaître démarche suivre conformément indications contacté conseiller via messagerie client avenant compte courant envoyé quatre jours plus tard recommande vivement monabanq voyageurs,Positive,2,frais
1244,Avis Monabanq ,5 sur 5 étoiles,01/04/2022,"je suis client chez monabanq depuis aout 2019. j’ai ouvert un compte tout compris premium quelques mois avant mon départ à l’étranger. je bénéficiais de 25 retraits d'espèces et 50 paiements par an sans frais supplémentaires pour voyager hors de l’union européenne. je n’ai eu aucune mauvaise surprise lors de mes différentes transactions. depuis mon retour en france, j’utilise cette carte fréquemment pour mes achats sur internet. en effet, l’assurance incluse me couvre en cas de litige. j’apprécie également le découvert possible de 200 € sans aucun agio. de plus, je n’ai pas eu besoin de joindre le service client de monabanq pour un quelconque problème. ils m’ont appelé une fois pour prendre des nouvelles concernant ma satisfaction. la personne au téléphone était très cordiale et la démarche de cet appel n’était en aucun cas la vente d’une prestation supplémentaire. je recommande cette banque à distance.",client chez monabanq depuis aout 2019 ouvert compte tout compris premium quelques mois avant départ étranger bénéficiais 25 retraits espèces 50 paiements an sans frais supplémentaires voyager hors union européenne aucune mauvaise surprise lors différentes transactions depuis retour france utilise cette carte fréquemment achats internet effet assurance incluse couvre cas litige apprécie également découvert possible 200 sans aucun agio plus besoin joindre service client monabanq quelconque problème appelé fois prendre nouvelles concernant satisfaction personne téléphone très cordiale démarche cet appel aucun cas vente prestation supplémentaire recommande cette banque distance,Positive,6,accueil
1245,Avis Monabanq ,"4,5 sur 5 étoiles",10/02/2022,"j’ai ouvert mon compte monabanq en un peu moins d’un mois. l’ouverture aurait pu être plus courte, car les conseillers m’ont certainement oublié. mais tout c’est finalement bien passé. j’ai souscrit à l’offre uniq+ qui me permet de payer sans frais et en illimité quand je vais à l’étranger. l’application fonctionne bien et les promesses sont tenues. le service client est impeccable. ils répondent rapidement et aimablement au téléphone. j’arrive à les joindre par chat quand je suis à l’étranger. les réponses sont adaptées et parviennent en 24h.",ouvert compte monabanq peu moins mois ouverture pu être plus courte car conseillers certainement oublié tout finalement bien passé souscrit offre uniq permet payer sans frais illimité quand vais étranger application fonctionne bien promesses tenues service client impeccable répondent rapidement aimablement téléphone arrive joindre chat quand étranger réponses adaptées parviennent 24h,Negative,6,accueil
1246,Avis Monabanq ,"3,0 sur 5 étoiles",07/02/2022,"pour avoir été une ancienne cliente déçue de monabanq, je ne la recommande pas. en effet, j'ai souscrit à cette néobanque près de 12 ans (covefi à l'époque) et j'en étais satisfaite. mais depuis cinq ans environ, monabanq devient de moins en moins crédible et efficace. le suivi de la situation financière des clients n'existe presque plus. le service à la clientèle est composé de personnes qui manquent de savoir-faire. à croire que leur slogan, ''les gens avant l´argent'' n'est devenu qu'une publicité marketing. mon plus grand incident fâcheux était lorsque j'avais un problème financier ponctuel et que le virement programmé ne s'est pas fait dans les délais ; j'en étais sidérée. pire, j'ai remarqué un prélèvement de frais exorbitants de mon compte.",avoir ancienne cliente déçue monabanq recommande effet souscrit cette néobanque près 12 ans covefi époque satisfaite depuis cinq ans environ monabanq devient moins moins crédible efficace suivi situation financière clients existe presque plus service clientèle composé personnes manquent savoir faire croire slogan gens avant argent devenu publicité marketing plus grand incident fâcheux lorsque problème financier ponctuel virement programmé fait délais sidérée pire remarqué prélèvement frais exorbitants compte,Positive,2,frais
1247,Avis Monabanq ,"2,3 sur 5 étoiles",04/02/2022,"suite à un premier incident de trésorerie entre décembre et janvier 2021-2022 (-600€ de découvert sur 150€ autorisés, deux demandes d'extension provisoire du découvert autorisé le temps de traverser la période restées sans réponses), qui aura duré en tout et pour tout 3 semaines, je reçois un mail m'invitant à renvoyer ma visa sous peine d'être déclaré client abusif auprès de la bdf. j'ai décidé de ne pas contester cette décision, n'ayant pas envie de ce genre de traitement de la part de ma banque! je leur ai rappelé tout de même que leur slogan ""les gens avant l'argent"" avait une résonnance particulière pour moi. un mail qui là non plus n'aura pas trouvé de réponse.",suite premier incident trésorerie entre décembre janvier 2021 2022 600 découvert 150 autorisés deux demandes extension provisoire découvert autorisé temps traverser période restées sans réponses duré tout tout semaines reçois mail invitant renvoyer visa sous peine être déclaré client abusif auprès bdf décidé contester cette décision envie genre traitement part banque rappelé tout slogan gens avant argent résonnance particulière mail là non plus trouvé réponse,Positive,6,accueil
1248,Avis Monabanq ,"3,8 sur 5 étoiles",11/01/2022,"banque plutôt satisfaisante ! mon ouverture de compte à été rapide et facile comparé à d’autres banques. monabanq m’a même autorisé à un découvert alors que je n’avais que la caf comme entrée monétaire à ce moment-là, alors que mon ancienne banque me l’avait refusé. j’ai également été conquise par le fait que cette banque propose des cartes visa classic au lieu des cartes à autorisation systématique. de plus, je trouve vraiment super l’idée de la carte qui épargne. le seul point noir serait peut-être plus de réactivité concernant la communication. j’ai peiné à pouvoir contacter un conseillé au téléphone pour m’aider à augmenter mes fonds bancaires. l’application monabanq sur android fonctionne vraiment bien, l’accès aux fonctions de base est très simple et intuitif !",banque plutôt satisfaisante ouverture compte rapide facile comparé autres banques monabanq autorisé découvert alors caf comme entrée monétaire moment là alors ancienne banque refusé également conquise fait cette banque propose cartes visa classic lieu cartes autorisation systématique plus trouve vraiment super idée carte épargne seul point noir peut être plus réactivité concernant communication peiné pouvoir contacter conseillé téléphone aider augmenter fonds bancaires application monabanq android fonctionne vraiment bien accès fonctions base très simple intuitif,Positive,0,service
1249,Avis Monabanq ,5 sur 5 étoiles,21/12/2021,"cliente chez monabanq depuis le commencement, j'ai toujours été satisfaite de leurs services. j'avais à l'époque des revenus irréguliers et ils ont accepté mon dossier sans problème, contrairement à un concurrent qui refusait les clients aux revenus trop bas. il est possible de gérer ses comptes totalement en ligne (ouverture de compte épargne, virements, changement d'options sur le compte courant). ils proposent un livret d'épargne fidélité dont les intérêts augmentent au fil des ans et d'autres placements qui semblent intéressants mais plus risqués. le compte courant que j'ai est à 2€ par mois avec la carte bleue incluse, c'est bien suffisant pour mon utilisation.en cas de difficultés, on peut les contacter par mail ou téléphone. les conseillers sont réactifs et attentifs aux mouvements. il m'est déjà arrivé d'être appelée suite à un gros virement pour vérifier que j'étais bien à l'origine de l'opération. enfin, un point très important pour moi : monabanq nous laisse gérer notre argent tranquillement. pas de conseiller qui tente de placer un produit tous les 2 mois, pas d'appel pour vérifier pourquoi on à fait ou reçu un gros virement (suite à une offre sur un livret d'épargne concurrent par exemple).",cliente chez monabanq depuis commencement toujours satisfaite leurs services époque revenus irréguliers accepté dossier sans problème contrairement concurrent refusait clients revenus trop bas possible gérer comptes totalement ligne ouverture compte épargne virements changement options compte courant proposent livret épargne fidélité dont intérêts augmentent fil ans autres placements semblent intéressants plus risqués compte courant mois carte bleue incluse bien suffisant utilisation cas difficultés peut contacter mail téléphone conseillers réactifs attentifs mouvements déjà arrivé être appelée suite gros virement vérifier bien origine opération enfin point très important monabanq laisse gérer argent tranquillement conseiller tente placer produit tous mois appel vérifier pourquoi fait reçu gros virement suite offre livret épargne concurrent exemple,Positive,0,service
1250,Avis Monabanq ,5 sur 5 étoiles,27/11/2021,"cliente chez monabanq depuis le mois de juillet 2020, je suis tout à fait ravie.étant auto-entrepreneuse et à la recherche d’une banque en ligne, j’ai choisi cette banque. le site internet de monabanq est clair et facile d’utilisation. personnellement, j’ai choisi l’offre pratiqpro qui convient parfaitement à la gestion d’une micro-entreprise. en effet, les formalités administratives sont simplissimes et la cotisation financière mensuelle est idéale pour les personnes qui lancent tout juste leur entreprise. lorsque j’ai eu une question à poser à un conseiller, j’ai obtenu une réponse en un peu moins de 5 heures ! la réponse m’a beaucoup aidée et j’ai trouvé que le conseiller était à mon écoute, clair dans ses explications et en plus de ça, très sympathique. je ne saurais recommander que fortement cette banque.si vous cherchez une banque facile au quotidien, transparente et qui vous considère, foncez chez monabanq.",cliente chez monabanq depuis mois juillet 2020 tout fait ravie auto entrepreneuse recherche banque ligne choisi cette banque site internet monabanq clair facile utilisation personnellement choisi offre pratiqpro convient parfaitement gestion micro entreprise effet formalités administratives simplissimes cotisation financière mensuelle idéale personnes lancent tout juste entreprise lorsque question poser conseiller obtenu réponse peu moins heures réponse beaucoup aidée trouvé conseiller écoute clair explications plus ça très sympathique saurais recommander fortement cette banque si cherchez banque facile quotidien transparente considère foncez chez monabanq,Positive,2,frais
1251,Avis Monabanq ,"4,8 sur 5 étoiles",19/11/2021,"je suis cliente auprès de monabanq depuis plusieurs années, j’y ai à la fois mon compte personnel et mon compte auto-entrepreneur, ainsi que mes livrets d’épargne. l’ouverture et la modification des produits bancaires est très facile depuis l’application mobile. c’est l’idéal pour les personnes qui ont l’habitude de faire toutes leurs transactions en ligne !j'apprécie aussi le suivi de budget depuis l'application.il y a néanmoins un service client avec des personnes humaines et non des répondeurs, ce qui est très appréciable. quand ma carte a été avalée par un distributeur et quand j’ai eu un souci de plafond pour retirer des espèces hors de l’union européenne, les conseillers monabanq ont été très réactifs, aimables et efficaces depuis le chat de l’application.je regrette l’absence de pel dans les produits d’épargne. pour le reste, monabanq correspond à mes besoins.",cliente auprès monabanq depuis plusieurs années fois compte personnel compte auto entrepreneur ainsi livrets épargne ouverture modification produits bancaires très facile depuis application mobile idéal personnes habitude faire toutes leurs transactions ligne apprécie aussi suivi budget depuis application néanmoins service client personnes humaines non répondeurs très appréciable quand carte avalée distributeur quand souci plafond retirer espèces hors union européenne conseillers monabanq très réactifs aimables efficaces depuis chat application regrette absence pel produits épargne reste monabanq correspond besoins,Positive,0,service
1252,Avis Monabanq ,"1,5 sur 5 étoiles",26/10/2021,j'ai désiré ouvrir un compte chez eux.je gagne correctement ma vie. j'ai envoyé tous les documents et effectué le virement de 150 euros nécessaire à l'ouverture d'un compte. on m'annonce que je vais recevoir un mot de passe provisoire que je reçois quelques jours après ainsi que la cb et le code pin de la carte bancaire. au moment de m'identifier l´accès est refusé. on m'annonce que je ne suis pas accepté et cela sans raison. coût de l'opération 39 euros de frais de fermeture de compte et un service client qui fait l'autruche en stipulant que c'est ainsi et précisé dans leurs conditions générales de vente. aucun recours possible. je suis choqué et outré par cette pratique.,désiré ouvrir compte chez gagne correctement vie envoyé tous documents effectué virement 150 euros nécessaire ouverture compte annonce vais recevoir mot passe provisoire reçois quelques jours après ainsi cb code pin carte bancaire moment identifier accès refusé annonce accepté cela sans raison coût opération 39 euros frais fermeture compte service client fait autruche stipulant ainsi précisé leurs conditions générales vente aucun recours possible choqué outré cette pratique,Positive,6,accueil
