,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1346,Avis Monese ,"4,5 sur 5 étoiles",18/06/2022,"facile à souscrire, pas cher voire gratuit. génial! seul bémol, le service client est trop lent.mais si vous cherchez une banque économique en ligne, monese est parfait. pour ma part, je recommande",facile souscrire cher voire gratuit génial seul bémol service client trop lent si cherchez banque économique ligne monese parfait part recommande,Positive,0,service
1347,Avis Monese ,"2,6 sur 5 étoiles",18/04/2022,"monese à la base est une neobanque assez agréable. en revanche lorsque j'ai reçu 20 k sur mon compte, monese m'a bloqué mon compte directement en me disant qu'il me recontacterai par mail pour me demander des justificatifs des fonds reçus. hors cela fait déjà 10 jours que je n'ai reçu aucun mail de leur part. prenant mon mal en patience j'ai fais parvenir moi même au support monese le justificatif de cette somme mais toujours rien, toujours bloqué et sans raison. donc cb inutilisable, virement impossible à effectuer et compte totalement bloqué et pas d´interlocuteur à l´écoute ou pour répondre.",monese base neobanque assez agréable revanche lorsque reçu 20 compte monese bloqué compte directement disant recontacterai mail demander justificatifs fonds reçus hors cela fait déjà 10 jours reçu aucun mail part prenant mal patience fais parvenir support monese justificatif cette somme toujours rien toujours bloqué sans raison donc cb inutilisable virement impossible effectuer compte totalement bloqué interlocuteur écoute répondre,Negative,6,accueil
1348,Avis Monese ,"2,0 sur 5 étoiles",06/04/2022,"monese à la base est une néobanque assez agréable. en revanche lorsque j'ai reçu 20 k sur mon compte, monese m'a bloqué mon compte directement en me disant qu'ils me recontacteraient par mail pour me demander des justificatifs des fonds reçus. hors cela fait déjà 10 jours que je n'ai reçu aucun mail. prenant mon mal en patience, j'ai fais parvenir moi même au support monese le justificatif de cette somme reçue mais toujours rien, toujours bloqué et sans raison donc cb inutilisable, virement impossible à effectuer et compte totalement bloqué. cela est totalement surprenant, il n'y pas d'interlocuteur et la somme reste bloquée alors que c'est une somme importante. ils ne répondent pas et ne débloquent pas les fonds pour l´instant. je vous déconseille d'utiliser cette néobanque si vous recevez de grosses sommes.",monese base néobanque assez agréable revanche lorsque reçu 20 compte monese bloqué compte directement disant recontacteraient mail demander justificatifs fonds reçus hors cela fait déjà 10 jours reçu aucun mail prenant mal patience fais parvenir support monese justificatif cette somme reçue toujours rien toujours bloqué sans raison donc cb inutilisable virement impossible effectuer compte totalement bloqué cela totalement surprenant interlocuteur somme reste bloquée alors somme importante répondent débloquent fonds instant déconseille utiliser cette néobanque si recevez grosses,Positive,2,frais
1349,Avis Monese ,"2,0 sur 5 étoiles",08/01/2022,"compte monese ouvert, suite à la préparation d'un voyage à l'étranger en 2020. le compte a été approvisionné en euros par virement bancaire et le solde n'a pas bougé pendant un an. le voyage prévu n'ayant pu se faire, j'ai décidé de fermer ce compte en novembre 2021. depuis novembre, monese ne procède toujours pas à la clôture de ce compte.",compte monese ouvert suite préparation voyage étranger 2020 compte approvisionné euros virement bancaire solde bougé pendant an voyage prévu pu faire décidé fermer compte novembre 2021 depuis novembre monese procède toujours clôture compte,Positive,6,accueil
1350,Avis Monese ,"2,6 sur 5 étoiles",22/12/2021,"j'ai envoyé au moins 20 mails pour clôturer mon compte et à chaque fois j'ai une réponse toute faite que je dois le faire moi-même sur mon application ou demander au service client de le clôturer. finalement, après voir réussi à envoyer les documents demandés au service, j'ai eu une réponse positive que je serai remboursé sous 3 à 5jours ouvrables. il y a de cela 3 semaines et toujours pas remboursement malgré 2 nouvelles relances restées sans réponse.",envoyé moins 20 mails clôturer compte chaque fois réponse toute faite dois faire application demander service client clôturer finalement après voir réussi envoyer documents demandés service réponse positive remboursé sous 5jours ouvrables cela semaines toujours remboursement malgré nouvelles relances restées sans réponse,Positive,4,service
1351,Avis Monese ,"1,6 sur 5 étoiles",02/12/2021,"mon compte bancaire monese est bloqué depuis des semaines et le service client est injoignable, j'ai bien peur que mon argent ne soit parti en fumée. aucune réponse après de nombreuses tentatives infructueuses de mails. aucun numéro de téléphone pour joindre une personne compétente. c'est très frustrant comme situation. je pensais mettre quelques économies à l'abri.",compte bancaire monese bloqué depuis semaines service client injoignable bien peur argent parti fumée aucune réponse après nombreuses tentatives infructueuses mails aucun numéro téléphone joindre personne compétente très frustrant comme situation pensais mettre quelques économies abri,Negative,6,accueil
1352,Avis Monese ,"1,8 sur 5 étoiles",30/10/2021,"cliente de monese depuis presque deux ans tout allait bien jusqu'à ce qu'ils décident de changer mon iban en français. lorque j'ai voulu donner les documents, ils m'ont bloqué mon compte et impossible de retourner sur mon compte.le service après vente est injoignable et si on le joint, ils ne font rien.ils ont tous mes documents mais je continue à attendre le déblocage de mon compte - heureusement que ce n'est pas le compte dont je me sers tous les jours-.",cliente monese depuis presque deux ans tout allait bien jusqu décident changer iban français lorque voulu donner documents bloqué compte impossible retourner compte service après vente injoignable si joint font rien tous documents continue attendre déblocage compte heureusement compte dont sers tous jours,Positive,6,accueil
1353,Avis Monese ,"2,0 sur 5 étoiles",19/08/2021,"a éviter absolument !!!!vider les comptes avant qu'il ne soit trop tard !!! 9 mois que j'ai 4000€ de bloqué et aucune nouvelle, évidemment impossible de joindre le sav ! une procédure judiciaire va être entamé en belgique, puisque c'est là qu'ils ont déplacé leur siège sociale.si des personnes sont dans la même situation nous devons nous unir contre eux, ce n'est pas possible de voler des millions d'euros ainsi en toute impunité !!",éviter absolument vider comptes avant trop tard mois 4000 bloqué aucune nouvelle évidemment impossible joindre sav procédure judiciaire va être entamé belgique puisque là déplacé siège sociale si personnes situation devons unir contre possible voler millions euros ainsi toute impunité,Negative,2,frais
1354,Avis Monese ,"1,2 sur 5 étoiles",30/07/2021,"j’ai toujours reçu mon salaire à l’heure.ils ne répondent jamais, ils nous sortent l’excuse covid à tout bout de champs.je quitte cette banque dès que je récupère mon salaire. marre de ces pseudos banque qui n’ont aucun respect pour les clients et qui ne sont jamais là quand on a besoin de récupérer son salaire. je ne vous conseille pas cette banque factice.",toujours reçu salaire heure répondent jamais sortent excuse covid tout bout champs quitte cette banque dès récupère salaire marre pseudos banque aucun respect clients jamais là quand besoin récupérer salaire conseille cette banque factice,Positive,2,frais
1355,Avis Monese ,"1,0 sur 5 étoiles",30/03/2021,"une banque voleuse.7000 euros sont bloqué depuis 9 mois sans raison. i̇mpossible de les joindres que ce soit par mail ou tel. je veux récupérer mon argent.plusieurs personnes se sont fait avoir avec la banque monese. a éviter à tout prix. la banque va pêter à un moment donner, récuperez vos sous avant qu'il ne soit trop tard. de vrais voleurs...",banque voleuse 7000 euros bloqué depuis mois sans raison mpossible joindres mail tel veux récupérer argent plusieurs personnes fait avoir banque monese éviter tout prix banque va pêter moment donner récuperez sous avant trop tard vrais voleurs,Positive,6,accueil
