,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1174,Avis Moneygram ,"2,8 sur 5 étoiles",14/06/2022,"le nouveau système de sécurisation par photo de carte d'identité est vraiment pénible. les photos ne sont jamais acceptées, il faut à chaque fois les refaire sans arrêt. vraiment c'est un problème. normalement une fois que la carte d'identité est enregistrée, pas la peine de la demander à chaque transaction. c'est vraiment dommage. jusque ici j'étais satisfait de moneygram que j'utilise au moins une fois par mois.j'espère qu'il vont faire quelque chose pour corriger ce problème.",nouveau système sécurisation photo carte identité vraiment pénible photos jamais acceptées faut chaque fois refaire sans arrêt vraiment problème normalement fois carte identité enregistrée peine demander chaque transaction vraiment dommage jusque ici satisfait moneygram utilise moins fois mois espère vont faire quelque chose corriger problème,Negative,3,service
1175,Avis Moneygram ,"2,4 sur 5 étoiles",01/06/2022,"moneygram vient d'instaurer un service de sécurisation par photo de pièces d'identité. c'est un fiasco, la photo n'est jamais acceptée malgré tous les efforts. jusqu'à présent j'étais très satisfait de mon application, rapide et simple, depuis hier soir j'essaie d'envoyer de l'argent à l´étranger pour un membre de ma famille hospitalisé mais impossible. je suis passé par un autre moyen de paiement, j'attends une réaction rapide et une solution à ce problème.",moneygram vient instaurer service sécurisation photo pièces identité fiasco photo jamais acceptée malgré tous efforts jusqu présent très satisfait application rapide simple depuis hier soir essaie envoyer argent étranger membre famille hospitalisé impossible passé autre moyen paiement attends réaction rapide solution problème,Positive,0,service
1176,Avis Moneygram ,"1,6 sur 5 étoiles",23/05/2022,ma famille a effectué un transfert vers la turquie. au moment où je souhaite le récupérer on me dit que l'argent a été encaissé.money gram refuse de donner le lieu du retrait. aucune coopération pour élucider cette affaire.,famille effectué transfert vers turquie moment où souhaite récupérer dit argent encaissé money gram refuse donner lieu retrait aucune coopération élucider cette affaire,Positive,3,service
1177,Avis Moneygram ,"2,0 sur 5 étoiles",29/04/2022,"j'ai fait un transfert d'argent pour la rd congo. j'ai reçu par la suite un mail qui me dit que l'agent a été récupéré. problème, le destinataire qui est mon oncle affirme qu'il n'a pas récupéré l'argent car il y a un problème sur son nom de famille ( j'ai fait une erreur d'orthographe). après réclamation moneygram me répond qu'après enquête le destinataire a bien récupéré mes fonds et qu´il ne peuvent rien faire!je demande par la suite une preuve de ce qu'ils me disent, on me répond que je dois attendre 30jours pour avoir les preuves de paiement et qu'ils ne peuvent pas me donner le nom de l'agence.",fait transfert argent rd congo reçu suite mail dit agent récupéré problème destinataire oncle affirme récupéré argent car problème nom famille fait erreur orthographe après réclamation moneygram répond après enquête destinataire bien récupéré fonds peuvent rien faire demande suite preuve disent répond dois attendre 30jours avoir preuves paiement peuvent donner nom agence,Neutral,6,accueil
1178,Avis Moneygram ,"2,6 sur 5 étoiles",23/02/2022,"transferts refusés par moneygram, alors qu´accord bancaire sécurisé. fonctionne un jour, et depuis, plusieurs essais négatifs avec 3 cartes bancaires différentes, toujours refusé. la seule réponse reçue est fonds non disponible sur compte ou problème banque, alors que les vérifications sont bonnes. problème chez moneygram non reconnu. pas de service clients efficace.",transferts refusés moneygram alors accord bancaire sécurisé fonctionne jour depuis plusieurs essais négatifs cartes bancaires différentes toujours refusé seule réponse reçue fonds non disponible compte problème banque alors vérifications bonnes problème chez moneygram non reconnu service clients efficace,Positive,6,accueil
1179,Avis Moneygram ,"2,0 sur 5 étoiles",31/01/2022,"j'ai fait des dizaines de transferts vers l'afrique, aucun problème mais alors vers la france, quel dégoût, je me suis rendu à ma banque 4 fois pour changer l'emplacement des noms et prénons, sans succès, toujours quelque chose qui n'allait pas.",fait dizaines transferts vers afrique aucun problème alors vers france quel dégoût rendu banque fois changer emplacement noms prénons sans succès toujours quelque chose allait,Neutral,4,service
1180,Avis Moneygram ,"1,6 sur 5 étoiles",30/01/2022,"j'ai voulu envoyé un virement en urgence à ma belle-mère qui venait d'arriver en thaïlande, et devait être confinée 10 jours. moneygram a récupéré toutes mes informations personnelles, enregistré ma carte bancaire, demandé le paiement (paiement validé par 3d secure) et une copie de la pièces d'identité. puis, comme de nombreuses personnes, j'ai reçu un mail indiquant que mon ""compte moneygram, ainsi que les activités qui lui sont associées représentent un risque élevé de fraude ou d'autres éléments qui constituent une violation des conditions générales de moneygram"". impossibilité d'accéder à mon compte pour retirer mes informations personnelles. ainsi, moneygram détient toutes les informations permettant une usurpation d'identité ou l'utilisation de ma carte bancaire. cela représente un risque très élevé, d'autant que des hackers pourraient s'en saisir.",voulu envoyé virement urgence belle mère venait arriver thaïlande devait être confinée 10 jours moneygram récupéré toutes informations personnelles enregistré carte bancaire demandé paiement paiement validé 3d secure copie pièces identité puis comme nombreuses personnes reçu mail indiquant compte moneygram ainsi activités associées représentent risque élevé fraude autres éléments constituent violation conditions générales moneygram impossibilité accéder compte retirer informations personnelles ainsi moneygram détient toutes informations permettant usurpation identité utilisation carte bancaire cela représente risque très élevé autant hackers pourraient saisir,Positive,6,accueil
1181,Avis Moneygram ,"2,0 sur 5 étoiles",24/12/2021,"j'ai essayé moneygram parce que je pensais que c'était facile.loin de là, lors de l'inscription ma pièce d'identité est refusée plusieurs fois (photo avec un téléphone, scan, ...), rien ne fonctionne.suite à cela mon compte a été bloqué et je ne peux ni le supprimer, ni y accéder pour le moment.",essayé moneygram parce pensais facile loin là lors inscription pièce identité refusée plusieurs fois photo téléphone scan rien fonctionne suite cela compte bloqué peux ni supprimer ni accéder moment,Positive,6,accueil
1182,Avis Moneygram ,"1,6 sur 5 étoiles",12/12/2021,"j'effectue habituellement les transferts d'argent via un prestataire de moneygram. lors du dernier transfert, je reçois de moneygram un mail me disant que mon transfert a été réceptionné par une personne inconnue se trouvant au maroc, alors que mon transfert était à destination du cameroun. je les contacte pour leur demander de bloquer la transaction. réponse de money gram; c'est impossible, nous ne pouvons rien faire, elle a déjà collecté l'argent. j'ai beau leur expliqué que le montant qu'elle a collecté n'est pas le bon et que la transaction est illégale, rien n'y fait. ce qui m'a sauvée est le fait d'avoir fait opposition à la carte bancaire utilisée pour effectuer l'envoi. vous parlez d'un service nul chez money gram, vous êtes servi.",effectue habituellement transferts argent via prestataire moneygram lors dernier transfert reçois moneygram mail disant transfert réceptionné personne inconnue trouvant maroc alors transfert destination cameroun contacte demander bloquer transaction réponse money gram impossible pouvons rien faire déjà collecté argent beau expliqué montant collecté bon transaction illégale rien fait sauvée fait avoir fait opposition carte bancaire utilisée effectuer envoi parlez service nul chez money gram servi,Positive,6,accueil
1183,Avis Moneygram ,"1,6 sur 5 étoiles",15/11/2021,"client sur le site de transfert monegram pendant au moins 2 ans, mes transferts par internet n'ont jamais posé des soucis, sauf que de temps en temps, pour certains je devais solliciter le service client pour autoriser au destinataire à retirer l'argent envoyé car des fois il n'était pas disponible à destination.un jour lors d'un transfert, je reçois le message que moneygram n'est pas à l'aise avec mon profil, et depuis, comme par hasard, mon compte avait été bloqué. mes appels au service client n'ont jamais réussi à faire débloquer ce compte.j'ai attendu presque 2 ans avant d'utiliser moneygram et lors d'une ultime tentative, je n'étais plus connu du système il a fallu une nouvelle inscription; un nouveau numéro de téléphone( d'après la notification reçu de moneygram), une nouvelle adresse mail; mais bien sûr l'adresse domicile et ma cdi n'ont pas changé.au moment de la transaction suivant cette nouvelle"" heureuse"" inscription apparemment réussie, je reçois un message que pour ma sécurité, il est impossible de faire aboutir la transaction ni par internet, ni à aucun guichet local. en fait aucune de mes 2 cartes bancaires n'a abouti, tout comme celle de mon épouse. je n'ai pas eu à faire une possible transaction ce jour là. bizarre non?franchement, ce site n'est pas conscient de la présence de plus en plus importante de la concurrence.des plateformes tels que wu, worldremit, moneytrans font le même boulot, un peu cher peut-être, mais très efficace et sans chichis.désolé, mais le site moneygram n'est plus à recommander à l'heure actuelle. les gestionnaires de ce site doivent changer leur logiciel s'ils veulent survivre dans ce monde qui va si vite. le temps des acquis est révolu.",client site transfert monegram pendant moins ans transferts internet jamais posé soucis sauf temps temps certains devais solliciter service client autoriser destinataire retirer argent envoyé car fois disponible destination jour lors transfert reçois message moneygram aise profil depuis comme hasard compte bloqué appels service client jamais réussi faire débloquer compte attendu presque ans avant utiliser moneygram lors ultime tentative plus connu système fallu nouvelle inscription nouveau numéro téléphone après notification reçu moneygram nouvelle adresse mail bien sûr adresse domicile cdi changé moment transaction suivant cette nouvelle heureuse inscription apparemment réussie reçois message sécurité impossible faire aboutir transaction ni internet ni aucun guichet local fait aucune cartes bancaires abouti tout comme celle épouse faire possible transaction jour là bizarre non franchement site conscient présence plus plus importante concurrence plateformes tels wu worldremit moneytrans font boulot peu cher peut être très efficace sans chichis désolé site moneygram plus recommander heure actuelle gestionnaires site doivent changer logiciel veulent survivre monde va si vite temps acquis révolu,Positive,6,accueil
