,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1062,Avis N26 ,"4,8 sur 5 étoiles",15/06/2022,"je suis étudiante et travaille à mi-temps. je n'ai donc déjà pas beaucoup de temps pour moi alors je cherchais une banque facile et accessible à tous. à mon sens, c'est le cas de n26. on m'a seulement demandé un justificatif (ma carte d'identité) comme condition à la création d'un compte. il existe plusieurs tarifs selon vos besoins. c'est clair et bien expliqué.les conditions d'ouvertures de mon compte ont été minimes. il ne demande que ce que toute personne de 18 ans possède déjà (carte d'identité, téléphone, avoir 18 ans etc).l'application est facile d'utilisation. je peux voir toutes mes dépenses et mes frais listés. je peux aussi organiser mes dépenses en ""étiquetant"" mes virements. j'ai rermarqué aussi de réels économies sur mes frais bancaires. cependant, je trouve ça dommage de réserver les virements instantanés seulement aux utilisateurs n26.j'ai eu affaire au service client une seule fois et ça s'est très bien passé. c'est une personne qui parle français qui m'a répondu et j'ai pu appeler plutôt tard puisque le service ferme à 23 heures.",étudiante travaille mi temps donc déjà beaucoup temps alors cherchais banque facile accessible tous sens cas n26 seulement demandé justificatif carte identité comme condition création compte existe plusieurs tarifs selon besoins clair bien expliqué conditions ouvertures compte minimes demande toute personne 18 ans possède déjà carte identité téléphone avoir 18 ans etc application facile utilisation peux voir toutes dépenses frais listés peux aussi organiser dépenses étiquetant virements rermarqué aussi réels économies frais bancaires cependant trouve ça dommage réserver virements instantanés seulement utilisateurs n26 affaire service client seule fois ça très bien passé personne parle français répondu pu appeler plutôt tard puisque service ferme 23 heures,Positive,0,service
1063,Avis N26 ,"4,0 sur 5 étoiles",26/04/2022,"je suis cliente chez n26 depuis déjà près de 5 ans. je cherchais une banque dont les démarches étaient simplifiées, car je ne voulais pas trop de papiers et de formalités à remplir, et je n'ai pas été déçue par leurs services. le choix lors de l'ouverture du compte est vaste, les offres sont multiples. j'ai choisi un compte n26 standard, qui permet déjà de nombreuses possibilités : notifications en temps réel lors des prélèvements ou achats en carte bancaire (très utiles pour suivre ses dépenses), paramètres personnalisables (choix du code pin et des plafonds de retrait), etc. l'ouverture du compte a été rapide : moins de 2 jours a suffi pour que je reçoive une confirmation et j'avais ma mastercard dans la semaine. le site internet est complet, et permet d'avoir accès à toutes ses informations et même plus. l'application mobile est elle aussi très riche et très fluide : tout est à portée de main. le service client est rapide : lorsque je les avais contacté car je ne trouvais pas mon rib, j'avais obtenu une réponse en quelques minutes. tout se fait par le tchat en ligne, n26 ne disposant pas de locaux en france.",cliente chez n26 depuis déjà près ans cherchais banque dont démarches simplifiées car voulais trop papiers formalités remplir déçue leurs services choix lors ouverture compte vaste offres multiples choisi compte n26 standard permet déjà nombreuses possibilités notifications temps réel lors prélèvements achats carte bancaire très utiles suivre dépenses paramètres personnalisables choix code pin plafonds retrait etc ouverture compte rapide moins jours suffi reçoive confirmation mastercard semaine site internet complet permet avoir accès toutes informations plus application mobile aussi très riche très fluide tout portée main service client rapide lorsque contacté car trouvais rib obtenu réponse quelques minutes tout fait tchat ligne n26 disposant locaux france,Positive,0,service
1064,Avis N26 ,"4,0 sur 5 étoiles",26/04/2022,"mon expérience avec n26 a été globalement satisfaisante. le fait qu’il s’agisse d’une banque en ligne procure de nombreux avantages. en premier lieu, la rapidité d’enregistrement : j’ai rempli les différents formulaires en moins de cinq minutes. toutes les opérations classiques peuvent s’effectuer sur l’application. je reçois également les notifications de mes dépenses quasiment en temps réel. quant au service client, il s’est révélé réactif lorsque ma carte bancaire a été volée. les sommes qui avaient disparu ont été remboursées en quelques jours. en choisissant la formule de base, le compte est gratuit et n’est pas conditionné à un revenu minimal.malgré tous ces bons points, j’ai néanmoins quelques réserves. il est d’abord impossible de renflouer son compte en liquide : la fonctionnalité cash26 n’est pour l’instant pas disponible en france. par ailleurs, l’authentification à double facteur est obligatoire pour n’importe quelle opération, même pour simplement consulter ses comptes. il faut donc disposer de son smartphone en permanence. et en cas de perte de la carte sim, bonne chance pour récupérer facilement l'accès. enfin, le service client automatique peut manquer de chaleur humaine.",expérience n26 globalement satisfaisante fait agisse banque ligne procure nombreux avantages premier lieu rapidité enregistrement rempli différents formulaires moins cinq minutes toutes opérations classiques peuvent effectuer application reçois également notifications dépenses quasiment temps réel quant service client révélé réactif lorsque carte bancaire volée disparu remboursées quelques jours choisissant formule base compte gratuit conditionné revenu minimal malgré tous bons points néanmoins quelques réserves abord impossible renflouer compte liquide fonctionnalité cash26 instant disponible france ailleurs authentification double facteur obligatoire importe quelle opération simplement consulter comptes faut donc disposer smartphone permanence cas perte carte sim bonne chance récupérer facilement accès enfin service client automatique peut manquer chaleur humaine,Positive,0,service
1065,Avis N26 ,"4,0 sur 5 étoiles",01/04/2022,"n26 est une banque très réactive ! mon enregistrement a été confirmé le jour même de ma demande d'information. j'ai ensuite immédiatement eu accès à mon compte et mes informations en ligne grâce à leur application qui est facile d'utilisation. ils m'ont également envoyé une carte bancaire la semaine qui a suivi. à l'heure où presque toutes nos opérations bancaires se font en ligne, l'absence d'agence physique ne me pose aucun problème. n26 répond à tous mes besoins quotidiens, qui se résument seulement à des paiements ou versements, réalisables directement avec mon téléphone. seul petit bémol, beaucoup d'organismes français refusent mon iban car il est étranger. je dois donc avoir un autre compte dans une banque française lorsque l'on me demande ce document.",n26 banque très réactive enregistrement confirmé jour demande information ensuite immédiatement accès compte informations ligne grâce application facile utilisation également envoyé carte bancaire semaine suivi heure où presque toutes opérations bancaires font ligne absence agence physique pose aucun problème n26 répond tous besoins quotidiens résument seulement paiements versements réalisables directement téléphone seul petit bémol beaucoup organismes français refusent iban car étranger dois donc avoir autre compte banque française lorsque demande document,Positive,0,service
1066,Avis N26 ,"4,8 sur 5 étoiles",18/02/2022,"cela fonctionne bien. cela risque de faire bondir certains, mais n26 est ma banque principale depuis plusieurs années. j'ai eu quelques déboires, sur le carte bancaire en particulier : carte qui ne fonctionne plus, et qui est à remplacer au frais du client, la carte étant valable genre 5 ans. aucune carte utilisée quotidiennement ne tient le coup sur une telle durée, donc petite astuce pour faire payer le changement de carte par le client. d'autre part j'ai eu une fois une fraude évidente, cela a été bien pris en charge, il a fallu 2 semaines au réseau mastercard pour me rembourser. tout le support se fait par chat, cela fonctionne correctement. j'aime beaucoup les plafonds variables, la capacité de faire de gros virements sans avoir de questions et limitations. bonne appli. attention les services sont très limités, c'est une carte, un compte, des virements, et c'est tout en gros. aucun livret a et autres frioritures. le rib est en allemagne, attention donc quelques entreprises en france le refusent (genre sfr, engie, etc...).",cela fonctionne bien cela risque faire bondir certains n26 banque principale depuis plusieurs années quelques déboires carte bancaire particulier carte fonctionne plus remplacer frais client carte valable genre ans aucune carte utilisée quotidiennement tient coup telle durée donc petite astuce faire payer changement carte client autre part fois fraude évidente cela bien pris charge fallu semaines réseau mastercard rembourser tout support fait chat cela fonctionne correctement aime beaucoup plafonds variables capacité faire gros virements sans avoir questions limitations bonne appli attention services très limités carte compte virements tout gros aucun livret autres frioritures rib allemagne attention donc quelques entreprises france refusent genre sfr engie etc,Positive,6,accueil
1067,Avis N26 ,5 sur 5 étoiles,08/02/2022,"lorsque j'ai dû ouvrir un compte professionnel pour mon auto-entreprise, j'ai fait appel à un comparateur en ligne afin de savoir quelle serait la banque la plus adaptée à mes besoins. rapidement, n26 est sortie du lot car elle correspondait à tous mes critères. je cherchais une banque en ligne, avec une application mobile qui me permettrait d'avoir un suivi de mes comptes bancaires au jour le jour.j'ai donc commencé la procédure d'inscription à n26, elle fut rapide et a duré une dizaine de minutes. j'ai dû envoyer les documents classiques (carte d'identité, justificatif de domicile). une fois ces documents reçus, l'équipe de n26 m'a fait parvenir ma carte bancaire (j'ai pris la première formule de compte, la moins chère) et j'ai pu directement payer avec mon service bancaire.",lorsque dû ouvrir compte professionnel auto entreprise fait appel comparateur ligne afin savoir quelle banque plus adaptée besoins rapidement n26 sortie lot car correspondait tous critères cherchais banque ligne application mobile permettrait avoir suivi comptes bancaires jour jour donc commencé procédure inscription n26 rapide duré dizaine minutes dû envoyer documents classiques carte identité justificatif domicile fois documents reçus équipe n26 fait parvenir carte bancaire pris première formule compte moins chère pu directement payer service bancaire,Positive,0,service
1068,Avis N26 ,5 sur 5 étoiles,04/02/2022,"j'ai ouvert en juillet dernier un compte bancaire chez n26 après avoir longuement cherché la meilleure banque en ligne. la procédure d'inscription est relativement facile et l'envoi des documents est entièrement digitalisé. n26 accepte chaque nouvel adhérent, fiché ficp ou non. une fois l'enregistrement de votre compte terminé, vous recevez votre carte bancaire dans des délais très serrés (comptez de quelques jours à une semaine). pour ma part, j'ai ouvert un compte simple, la première formule, bien qu'il en existe d'autres avec plus de fonctionnalités.une application mobile est disponible pour ceux qui aiment gérer leur compte depuis un smartphone. il existe une fonctionnalité pour créer différents espaces de comptes, afin de mettre de l'argent de côté par exemple. chaque dépense est consultable sur un relevé de compte digital sur lequel toutes les transactions sont triées en fonction de leur domaine.",ouvert juillet dernier compte bancaire chez n26 après avoir longuement cherché meilleure banque ligne procédure inscription relativement facile envoi documents entièrement digitalisé n26 accepte chaque nouvel adhérent fiché ficp non fois enregistrement compte terminé recevez carte bancaire délais très serrés comptez quelques jours semaine part ouvert compte simple première formule bien existe autres plus fonctionnalités application mobile disponible ceux aiment gérer compte depuis smartphone existe fonctionnalité créer différents espaces comptes afin mettre argent côté exemple chaque dépense consultable relevé compte digital lequel toutes transactions triées fonction domaine,Positive,0,service
1069,Avis N26 ,"1,6 sur 5 étoiles",02/01/2022,"après plus de 2 ans de service, la banque n26 ferme mon compte sans raison évidente. depuis 3 mois je n'ai plus aucune nouvelle de mon argent et n26 ne répond pas à mes sollicitations. depuis 2 semaines, d'autres voix s'élèvent, médias et anciens clients pour dénoncer cette pratique de n26 qui n'est visiblement pas isolée.",après plus ans service banque n26 ferme compte sans raison évidente depuis mois plus aucune nouvelle argent n26 répond sollicitations depuis semaines autres voix élèvent médias anciens clients dénoncer cette pratique n26 visiblement isolée,Positive,6,accueil
1070,Avis N26 ,"4,8 sur 5 étoiles",22/12/2021,"je suis entièrement satisfait. l'utilisation de l'application est très facile et rapide. le fait de pouvoir agir en direct sur l'autorisation du montant des dépenses quotidiennes est un plus contre la fraude. il suffit de mettre le minimum et personne ne peut ""se servir"". j'ai plusieurs fois eu à contacter le chat en ligne et très rapidement j'ai eu des réponses et solutions adaptées.",entièrement satisfait utilisation application très facile rapide fait pouvoir agir direct autorisation montant dépenses quotidiennes plus contre fraude suffit mettre minimum personne peut servir plusieurs fois contacter chat ligne très rapidement réponses solutions adaptées,Positive,0,service
1071,Avis N26 ,"4,0 sur 5 étoiles",14/12/2021,"très belle expérience avec cette néobanque.j'avais ouvert le compte en prévision d'un voyage à l'étranger, histoire d'avoir plusieurs cartes bancaires si besoin. l'ouverture, comme la clôture du compte d'ailleurs, est assez simple et rapide. j'ai rapidement reçu ma cb à la maison. le suivi des dépenses est clair, toujours un sms à chaque passage du cb. le compte peut être géré depuis l'application ou le site internet. il y a toutes les fonctionnalités d'une banque physique, bien sûr, hormis les chèques. pas chéquier, pas de dépôt de chèque possible.le seul point négatif c'est le service client joignable uniquement par mail ou tchat. un contact par téléphone n'est pas possible. en tout cas, je ne les ai jamais eus en ligne. en revanche, les agents sur le tchat sont assez réactifs et arrivent en général à résoudre les incidents. la possibilité de créer des tirelires est un plus, qui permet d'économiser pour plusieurs objectifs. depuis quelques temps le tirelire à plusieurs est possible, il me semble. je n'ai pas testé la tirelire commune. je recommande, c'est parfait pour un second compte !",très belle expérience cette néobanque ouvert compte prévision voyage étranger histoire avoir plusieurs cartes bancaires si besoin ouverture comme clôture compte ailleurs assez simple rapide rapidement reçu cb maison suivi dépenses clair toujours sms chaque passage cb compte peut être géré depuis application site internet toutes fonctionnalités banque physique bien sûr hormis chèques chéquier dépôt chèque possible seul point négatif service client joignable uniquement mail tchat contact téléphone possible tout cas jamais ligne revanche agents tchat assez réactifs arrivent général résoudre incidents possibilité créer tirelires plus permet économiser plusieurs objectifs depuis quelques temps tirelire plusieurs possible semble testé tirelire commune recommande parfait second compte,Positive,0,service
