,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1091,Avis Neosurf ,"2,5 sur 5 étoiles",16/06/2022,"impossible de payer sur 2 de mes sites. j´ai chargé sur mon compte neosurf en espérant débloquer la situation, mais ça me met toujours ""délai expiré"". en plus ils m’ont pris 2€50 de frais et aucun service client.",impossible payer sites chargé compte neosurf espérant débloquer situation ça met toujours délai expiré plus pris 50 frais aucun service client,Negative,6,accueil
1092,Avis Neosurf ,"2,0 sur 5 étoiles",07/04/2022,"depuis quelques jours, impossible de payer avec des coupons sur certains sites, de plus mon compte myneosurf a été bloqué sans que je comprenne pourquoi. après plusieurs mails et demandes, aucune réponse de leur part, j'ai spammé leur boite au lettre pour recevoir une réponse standard mais depuis plus aucune nouvelle. le produit est bien et pratique mais le service client et le suivi sont beaucoup moins bien.",depuis quelques jours impossible payer coupons certains sites plus compte myneosurf bloqué sans comprenne pourquoi après plusieurs mails demandes aucune réponse part spammé boite lettre recevoir réponse standard depuis plus aucune nouvelle produit bien pratique service client suivi beaucoup moins bien,Positive,6,accueil
1093,Avis Neosurf ,"2,5 sur 5 étoiles",21/03/2022,"j'ai acheté il y a quelques jours un coupon néosurf de 100€, qui sans que je l'ai transmis à un tiers a été utilisé sans mon autorisation. le service client a été très réactif avec un retour détaillé, prouvant bien que mon coupon a été utilisé sur plusieurs sites sans mon autorisation. malheureusement le service client n'a pu m'apporter aucune solution du fait de leurs règles internes. pas de remboursement donc, ni aucune autre solution.",acheté quelques jours coupon néosurf 100 sans transmis tiers utilisé sans autorisation service client très réactif retour détaillé prouvant bien coupon utilisé plusieurs sites sans autorisation malheureusement service client pu apporter aucune solution fait leurs règles internes remboursement donc ni aucune autre solution,Negative,6,accueil
1094,Avis Neosurf ,"1,8 sur 5 étoiles",05/03/2022,"j’ai acheté une recharge de 50€ neosurf plus les frais. cela m´a fait 54€. tout s´est bien passé ensuite. j’ai pu valider les 50€ sur mon compte neosurf. ils m´ont pris 3€ de frais lorsque j’ai retransfé le reste de mon argent sur mon compte bancaire. l’argent a disparu comme par magie, plus de nouvelles de ce virement depuis déjà 1 mois. j´ai contacté le service client par mail, il vous envoie juste un mail automatique et vous laisse sans réponse.",acheté recharge 50 neosurf plus frais cela fait 54 tout bien passé ensuite pu valider 50 compte neosurf pris frais lorsque retransfé reste argent compte bancaire argent disparu comme magie plus nouvelles virement depuis déjà mois contacté service client mail envoie juste mail automatique laisse sans réponse,Positive,4,service
1095,Avis Neosurf ,"1,8 sur 5 étoiles",01/03/2022,j'ai acheté 2 tickets prépayés dans un bureau de presse. a peine acheté que mes codes avaient déjà été piratés. j'ai contacté neosurf qui ne veut pas me rembourser car les codes ont été utilisés avant que je les contacte pour les prévenir. le pire c'est qu´ils savent me dire que ça a été utilisé au pakistan.,acheté tickets prépayés bureau presse peine acheté codes déjà piratés contacté neosurf veut rembourser car codes utilisés avant contacte prévenir pire savent dire ça utilisé pakistan,Negative,4,service
1096,Avis Neosurf ,"2,0 sur 5 étoiles",03/02/2022,"j'ai acheté 4 tickets pour 400€ au total. j'ai pu déposer les deux premiers sans souci sur mon compte neosurf, pour les deux autres impossible.pensant à un bug j'ai tenté de les redéposer et la carte est vide. donc les 200€ ont disparu et n'apparaissent pas dans mon solde. heureusement que j'ai pu sauver les deux premiers tickets, j'ai demandé le virement sur mon compte bancaire mais toujours rien. j'ai contacté le service client par mail: avec un rapport détail du compte des dépôts et des suivis des tickets. j'attends un retour.",acheté tickets 400 total pu déposer deux premiers sans souci compte neosurf deux autres impossible pensant bug tenté redéposer carte vide donc 200 disparu apparaissent solde heureusement pu sauver deux premiers tickets demandé virement compte bancaire toujours rien contacté service client mail rapport détail compte dépôts suivis tickets attends retour,Positive,4,service
1097,Avis Neosurf ,"1,4 sur 5 étoiles",15/11/2021,première et dernière fois que j'achète une recharge neosurf !j'ai acheté en tabac une recharge de 100 € et quand je rentre le code il me dit que mon solde est nul. j'ai fait appel au service client qui veut bien me rembourser ma somme à la seule condition que je rachete une nouvelle recharge du même montant pour ensuite me rembourser 200 € sur mon compte bancaire (et bien sûr me demande mes coordonnées bancaires) j'invite vivement les sites marchands à ne plus proposer leurs services au risque de nuire à leur image.,première dernière fois achète recharge neosurf acheté tabac recharge 100 quand rentre code dit solde nul fait appel service client veut bien rembourser somme seule condition rachete nouvelle recharge montant ensuite rembourser 200 compte bancaire bien sûr demande coordonnées bancaires invite vivement sites marchands plus proposer leurs services risque nuire image,Positive,6,accueil
1098,Avis Neosurf ,"1,0 sur 5 étoiles",21/10/2021,"mon code a été désactivé du jour au lendemain et évidemment leur support ne répond jamais. 150,00 € !de plus, pour accéder au compte premium, je leur ai envoyé les documents nécessaires et ceux-ci ne sont toujours pas traités (plus de 3 mois que c'est en attente de validation).une plainte a été déposée au tribunal administratif de paris, avec deux plaintes deposées au commissariat.",code désactivé jour lendemain évidemment support répond jamais 150 00 plus accéder compte premium envoyé documents nécessaires ceux ci toujours traités plus mois attente validation plainte déposée tribunal administratif paris deux plaintes deposées commissariat,Positive,6,accueil
1099,Avis Neosurf ,"1,0 sur 5 étoiles",18/10/2021,"bonjour,depuis fin avril 2021, je leur ai écrit plusieurs fois et toujours pas de retour de leur part part. j'ai gentiment patienté car ils précisaient de ne pas les relancer.en effet, j'ai réalisé 2 opérations de crédit sur mon compte et je ne peux pas les utiliser : dépôt d'une carte de 100 € (il ne me reste plus que 95,5 €) et versement avec ma carte bleue de 4,5 €.malgré que ces 2 versement se retrouvent dans mon historique, mon compte est toujours bloqué à 0 €. il affiche un solde disponible à 0,00 €. j'ai donc 100 € qui dorment quelque part et que je ne retrouverai certainement pas.je ne peux donc ni les utiliser ni les retirer.de plus, pour accéder au compte premium, je leur ai envoyé les documents nécessaires et ceux-ci ne sont toujours pas traités (plus de 3 mois que c'est en attente de validation).c'est une honte et il ne faut surtout pas utiliser ce moyen de paiement. je ne suis pas dans le besoin à 100 € près mais je pense que tout le monde n'est pas comme moi et que cela peut mettre en péril des familles.a bon entendeur.",bonjour depuis fin avril 2021 écrit plusieurs fois toujours retour part part gentiment patienté car précisaient relancer effet réalisé opérations crédit compte peux utiliser dépôt carte 100 reste plus 95 versement carte bleue malgré versement retrouvent historique compte toujours bloqué affiche solde disponible 00 donc 100 dorment quelque part retrouverai certainement peux donc ni utiliser ni retirer plus accéder compte premium envoyé documents nécessaires ceux ci toujours traités plus mois attente validation honte faut surtout utiliser moyen paiement besoin 100 près pense tout monde comme cela peut mettre péril familles bon entendeur,Positive,6,accueil
1100,Avis Neosurf ,"3,0 sur 5 étoiles",11/10/2021,j’ai été victime d’une arnaque suite à laquelle je me suis retrouvé avec plus de 1000€ de recharge neosurf avec 0€ en solde et 300€ de recharge non utilisée.je n’avais jamais utilisé ce service donc je ne savais pas quoi en faire.mais il y a quelques jours j’ai contacté le service neosurf et j´ai pu récupérer la totalité de mon argent directement sur mon compte.je tenais à revenir sur tous ces avis négatif que j’ai laissés sur les sites.j’espère que vous pourrez aussi récupérer votre argent.,victime arnaque suite laquelle retrouvé plus 1000 recharge neosurf solde 300 recharge non utilisée jamais utilisé service donc savais quoi faire quelques jours contacté service neosurf pu récupérer totalité argent directement compte tenais revenir tous avis négatif laissés sites espère pourrez aussi récupérer argent,Positive,6,accueil
