,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
810,Avis Nickel ,"2,3 sur 5 étoiles",08/07/2022,"banque de plus en plus incompétante, ils font passer des paiements par cartes internet frauduleuses alors que l´option paiements internet est bloqué. impossible de les joindre et impossible de faire quoi que ce soit. je n ai fait aucun paiement internet vu que celui ci est bloqué. je ne suis pas là seule dans ce cas là, depuis hier plusieurs personnes ont eu la même chose que moi et nickel ne s´en occupe pas.",banque plus plus incompétante font passer paiements cartes internet frauduleuses alors option paiements internet bloqué impossible joindre impossible faire quoi fait aucun paiement internet vu celui ci bloqué là seule cas là depuis hier plusieurs personnes chose nickel occupe,Negative,4,service
811,Avis Nickel ,"3,6 sur 5 étoiles",01/07/2022,"l'ouverture du compte est pratique et rapide. par contre pour le reste, tout est à revoir. les frais sont exorbitants. par exemple pour les chèques, j'étais content de voir qu'ils acceptaient enfin le dépôt de chèque, mais il faut attendre 5 semaines avant que le chèque ne soit encaissé une fois qu'ils l'ont reçu, et je ne parle pas des frais, 3 € pour une remise de chèque !",ouverture compte pratique rapide contre reste tout revoir frais exorbitants exemple chèques content voir acceptaient enfin dépôt chèque faut attendre semaines avant chèque encaissé fois reçu parle frais remise chèque,Positive,4,service
812,Avis Nickel ,"2,4 sur 5 étoiles",16/06/2022,j'ai effectué un virement le 10 de ce compte nickel et aujourd'hui il n'est toujours pas arrivé sur mon autre compte. pas de service client disponible qui m'envoie que des mails standard. aucune explication sinon que je dois patienter. je déconseille cette banque q,effectué virement 10 compte nickel aujourd hui toujours arrivé autre compte service client disponible envoie mails standard aucune explication sinon dois patienter déconseille cette banque,Positive,6,accueil
813,Avis Nickel ,"2,5 sur 5 étoiles",14/06/2022,"virement fait dans l’urgence via un autre compte bancaire. fait le vendredi toujours pas sur le compte le mercredi suivant. alors que dans les autres banques banques, cela est fait bien plus rapidement.",virement fait urgence via autre compte bancaire fait vendredi toujours compte mercredi suivant alors autres banques banques cela fait bien plus rapidement,Negative,6,accueil
814,Avis Nickel ,"4,8 sur 5 étoiles",23/05/2022,"je suis client nickel depuis 6 ans et ing depuis 5 ans. je suis très satisfaite de nickel, rien à dire. jamais de problème. j'ai du prendre contact par téléphone une dizaine de fois et toujours bien servie.ing déçue suite à un montant conteste de débit sur mon compte et la fermeture avec proposition de boursorama qui en trois jours m'ont prouvé leur incapacité.",client nickel depuis ans ing depuis ans très satisfaite nickel rien dire jamais problème prendre contact téléphone dizaine fois toujours bien servie ing déçue suite montant conteste débit compte fermeture proposition boursorama trois jours prouvé incapacité,Negative,5,personnel
815,Avis Nickel ,"2,4 sur 5 étoiles",12/05/2022,"compte ouvert le 9 mai 2022 : facile bravo super nous avons les félicitations de nickel pour avoir choisi cette carte! nous allons la retirer au tabac en donnant 20 euros : pour le moment nous sommes satisfaits!le 10 mai 2022 un mail annonce que le compte a été clôturé sans autre explication, je téléphone sans grand résultat. donc j'écris à sos contact, la réponse arrive le lendemain pour dire que le compte est clôturé définitivement! je renvoie un mail dans la foulée car j'aimerais bien comprendre le pourquoi. finalement pour un compte que nous avons gardé même pas 24 heures, 20 euros c'est cher payé!",compte ouvert mai 2022 facile bravo super félicitations nickel avoir choisi cette carte allons retirer tabac donnant 20 euros moment satisfaits 10 mai 2022 mail annonce compte clôturé sans autre explication téléphone sans grand résultat donc écris sos contact réponse arrive lendemain dire compte clôturé définitivement renvoie mail foulée car aimerais bien comprendre pourquoi finalement compte gardé 24 heures 20 euros cher payé,Positive,6,accueil
816,Avis Nickel ,"3,0 sur 5 étoiles",27/04/2022,"plus jamais je ne mettrai de chèque bancaire de salaire sur le compte nickel, j ai mis un chèque de mon employeur le 05/04/22, ce fameux chèque ne sera seulement disponible le 2 mai 2022, publicité mensongère concernant le délai de traitement de 15 jours.",plus jamais mettrai chèque bancaire salaire compte nickel mis chèque employeur 05 04 22 fameux chèque seulement disponible mai 2022 publicité mensongère concernant délai traitement 15 jours,Positive,5,personnel
817,Avis Nickel ,"3,2 sur 5 étoiles",23/04/2022,"cela fait 2 ans que je suis chez nickel je recommande vivement. maintenant qu'on peut déposer un chèque c'est un plus mais les délais sont longs il faudrait raccourcir le délai,15 jours c'est long. j'espère qu'il aura une mise à jour pour mettre la carte sur apple pay, là ce serait le top. continuez comme vous êtes.",cela fait ans chez nickel recommande vivement maintenant peut déposer chèque plus délais longs faudrait raccourcir délai 15 jours long espère mise jour mettre carte apple pay là top continuez comme,Negative,0,service
818,Avis Nickel ,"2,4 sur 5 étoiles",20/04/2022,"je suis cliente depuis 4 ans et jamais de problème. et là, je me suis fait pirater ma carte et après avoir fait opposition et renvoyé les documents demandés, on me dit que j'ai trop tardé à faire opposition, alors pas de remboursement. même en leur montrant la preuve que c'est une arnaque car on essaie encore de prélever sur mon ancienne carte. très déçue.",cliente depuis ans jamais problème là fait pirater carte après avoir fait opposition renvoyé documents demandés dit trop tardé faire opposition alors remboursement montrant preuve arnaque car essaie encore prélever ancienne carte très déçue,Negative,6,accueil
819,Avis Nickel ,"2,6 sur 5 étoiles",19/04/2022,"pas mal dans l'ensemble, de toute façon, dans n'importe quelle banque ça va toujours tant qu'il y a de l'argent sur votre compte. le bon vieux temps nickel est révolu, maintenant c'est bnp parisbas qui tire les ficelles avec de plus en plus de frais. surtout en ce qui concerne les frais pour chaque dépôt de chèque ( 3€ ) mais le plus scandaleux, c'est que l'on vous annonce 15 jours de traitement en jours ouvrés. j'ai déposé un chèque le 23 mars 2022 il sera crédité sur mon compte que le 25 avril 2022, soit pratiquement un mois d'attente et en plus des 3€ de frais nickel.",mal ensemble toute façon importe quelle banque ça va toujours tant argent compte bon vieux temps nickel révolu maintenant bnp parisbas tire ficelles plus plus frais surtout concerne frais chaque dépôt chèque plus scandaleux annonce 15 jours traitement jours ouvrés déposé chèque 23 mars 2022 crédité compte 25 avril 2022 pratiquement mois attente plus frais nickel,Positive,4,service
