,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
552,Avis Oney ,"2,5 sur 5 étoiles",12/07/2022,"nouveau fonctionnement des achats comptant en paiements différés. on vous explique que désormais une somme dépensée le 6 juin sera disponible le 6 juillet prochain, ""30 jours glissants"" et que votre disponible est de 1000€. résultat vous devez vous munir d'un calendrier pour faire vos achats. il n'y a jamais de disponible, je ne sais pas où trouver les 1000€ disponibles, je vais changer d'enseigne (auchan) et me défaire peu à peu d'oney et de ses explications nébuleuses.",nouveau fonctionnement achats comptant paiements différés explique désormais somme dépensée juin disponible juillet prochain 30 jours glissants disponible 1000 résultat devez munir calendrier faire achats jamais disponible sais où trouver 1000 disponibles vais changer enseigne auchan défaire peu peu oney explications nébuleuses,Positive,5,personnel
553,Avis Oney ,"1,2 sur 5 étoiles",07/07/2022,"il y a bien des années, j´ai souscrit un crédit à la consommation mais alors avec les intérêts dont je n avais pas prêté attention, je ne remboursais que la moitié de mon prélèvement. ma banque a racheté ce crédit, j ai demandé par la même occasion la fermeture de mon compte ainsi que dans leur base de données. ok pour cela. mais pour le remboursement par ma banque aucune nouvelle, ni même un mail. j ai dû faire des pieds et des mains et j ai enfin reçu un mail, puis 2. me disant:bla bla vous êtes retirée de nos bases, je demande parce qu il me semble qu il y a un trop perçu. que je contacte ma protection juridique. et là par magie un mail me disant effectivement que le trop perçu me sera transmis sur mon compte en banque telle date. montant 166,06 quand même. et puis à la date rien et le lendemain non plus. donc moi je n attends plus. ils n avaient que faire de me prélever à tout va. donc aujourd'hui je me lance dans une affaire qui va me prendre je ne sais combien de temps mais je ne lâcherai pas l´affaire. ils me doivent de l argent, ils me le donneront. je viens de recevoir un mail de menace pour la carte (cotisation) de 2 euros.je vous déconseille à tous d aller chez oney. les taux sont horribles, le service client zéro et quand vous voulez partir, vous êtes embourbés.",bien années souscrit crédit consommation alors intérêts dont prêté attention remboursais moitié prélèvement banque racheté crédit demandé occasion fermeture compte ainsi base données ok cela remboursement banque aucune nouvelle ni mail dû faire pieds mains enfin reçu mail puis disant bla bla retirée bases demande parce semble trop perçu contacte protection juridique là magie mail disant effectivement trop perçu transmis compte banque telle date montant 166 06 quand puis date rien lendemain non plus donc attends plus faire prélever tout va donc aujourd hui lance affaire va prendre sais combien temps lâcherai affaire doivent argent donneront viens recevoir mail menace carte cotisation euros déconseille tous aller chez oney taux horribles service client zéro quand voulez partir embourbés,Negative,1,frais
554,Avis Oney ,"2,2 sur 5 étoiles",05/07/2022,"j'ai acheté un article en plusieurs paiement. ma carte est arrivée à expiration pendant les remboursements. j'ai reçu une lettre d'oney me disant que malgré les relances, ils constataient à ce jour un incident de paiement. sauf que je n'ai reçu aucune relance de leur part. ils ne vous proposent même pas de faire un virement et ils vous menacent de vous inscrire directement sur au ficp. j'ai appelé et demandé quel était leur moyen de relance. le conseiller m'a répondu que c'était des appels automatiques. les appels ressemblent à un démarchage téléphonique et je ne réponds pas à ce genre d'appel...",acheté article plusieurs paiement carte arrivée expiration pendant remboursements reçu lettre oney disant malgré relances constataient jour incident paiement sauf reçu aucune relance part proposent faire virement menacent inscrire directement ficp appelé demandé quel moyen relance conseiller répondu appels automatiques appels ressemblent démarchage téléphonique réponds genre appel,Positive,5,personnel
555,Avis Oney ,"1,6 sur 5 étoiles",04/07/2022,"pas fiable, pas transparent, pas recommandable. paiement en 4x sur un site marchand, commande annulée, le remboursement est annoncé mais n'arrive pas. mon identifiant n'est pas reconnu, donc impossible de se connecter. depuis 3 jours, après 10 minutes d'attente -payante- on m'indique qu'il y a trop d'appels pour répondre.",fiable transparent recommandable paiement 4x site marchand commande annulée remboursement annoncé arrive identifiant reconnu donc impossible connecter depuis jours après 10 minutes attente payante indique trop appels répondre,Negative,5,personnel
556,Avis Oney ,"1,8 sur 5 étoiles",01/07/2022,"je suis passé par une prestataire qui utilise cette ""banque"" pour un paiement en 4fois, nous nous mettons d'accord pour un prélèvement tous les 29 du mois, oney m'envoie un mail pour confirmer la date du prélèvement qui est le 29 et ils se permettent des essais de prélèvements avant la date. tous les mois à partir du 25 ils essaient de prélever tous les jours avant la date butoir.",passé prestataire utilise cette banque paiement 4fois mettons accord prélèvement tous 29 mois oney envoie mail confirmer date prélèvement 29 permettent essais prélèvements avant date tous mois partir 25 essaient prélever tous jours avant date butoir,Positive,5,personnel
557,Avis Oney ,"1,8 sur 5 étoiles",25/06/2022,"pour mon cas, un prélèvement d'une mensualité a été fait en doublon. oney me propose le remboursement par chèque, hors ma banque (n26) ne prend pas le chèque car c'est une banque 100% en ligne.la conseillère de chez oney m'impose un remboursement par chèque qui n'arrive pas. en 2022 oney veut me faire croire que c'est impossible pour eux de rembourser une somme sur la carte bleue qui a effectué le paiement.",cas prélèvement mensualité fait doublon oney propose remboursement chèque hors banque n26 prend chèque car banque 100 ligne conseillère chez oney impose remboursement chèque arrive 2022 oney veut faire croire impossible rembourser somme carte bleue effectué paiement,Negative,5,personnel
558,Avis Oney ,"2,4 sur 5 étoiles",15/06/2022,"paiement en 3 fois d'un achat. le deuxieme prélèvement n'a pas fonctionné correctement. pour deux jours de retards 82€ facturés.j'ai envoyé un chèque pour le troisieme et dernier prélèvement, qui a été tout de même fonctionné. résultat, depuis plus d'un mois oney me doit 1.030 €. aucune réponse aux différents mails envoyés, et lignes téléphoniques saturées.",paiement fois achat deuxieme prélèvement fonctionné correctement deux jours retards 82 facturés envoyé chèque troisieme dernier prélèvement tout fonctionné résultat depuis plus mois oney doit 030 aucune réponse différents mails envoyés lignes téléphoniques saturées,Positive,5,personnel
559,Avis Oney ,"2,0 sur 5 étoiles",10/06/2022,"produit acheté sur backmarket en passant par oney. il se trouve que le produit était défectueux donc j’ai été remboursé par backmarket mais l’argent devait être versé par l’oney banque. depuis 1 mois rien du tout. je les appelle plusieurs fois, toujours des excuses. je ne sais pas ce que je peux faire de plus.",produit acheté backmarket passant oney trouve produit défectueux donc remboursé backmarket argent devait être versé oney banque depuis mois rien tout appelle plusieurs fois toujours excuses sais peux faire plus,Positive,6,accueil
560,Avis Oney ,"3,0 sur 5 étoiles",09/06/2022,oney octroi une carte de crédit avec possibilité de fractionner en 3 ou 4 fois vos achats. après quelques utilisations ils vous supriment cette fonction sans prévenir donc vous vous retrouvez à payez tout comptant. pourtant il n´y avait aucun incident sur mon compte.,oney octroi carte crédit possibilité fractionner fois achats après quelques utilisations supriment cette fonction sans prévenir donc retrouvez payez tout comptant pourtant aucun incident compte,Positive,6,accueil
561,Avis Oney ,"1,6 sur 5 étoiles",08/06/2022,"en premier lieu, spliter les paiements en 3 ou 4 fois, top. peu de temps après, plus possible, pourquoi ? alors que à chaque fois (et peu de fois) tout ok. maintenant, voilà 2 semaines que j'ai demandé la clôture de ce compte et le virement de mon solde positif. seule réponse par mail, nous accusons réception de votre mail. un service client d'une rare inefficacité basée certainement dans une contrée lointaine. service déplorable, à tel point que je vais mandater mon avocat pour récupérer mes fonds.",premier lieu spliter paiements fois top peu temps après plus possible pourquoi alors chaque fois peu fois tout ok maintenant voilà semaines demandé clôture compte virement solde positif seule réponse mail accusons réception mail service client rare inefficacité basée certainement contrée lointaine service déplorable tel point vais mandater avocat récupérer fonds,Positive,4,service
