,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
936,Avis Orange Bank ,"4,5 sur 5 étoiles",17/06/2022,"client orange bank depuis quelques mois, je n’ai, pour l’instant, aucune raison de m’en plaindre. l’ouverture d'un compte orange bank m’avait été gentiment proposée en boutique lors du renouvellement de mon abonnement orange open (téléphone + internet). l'enregistrement s’est fait rapidement et le conseiller s’est montré aimable et clair dans ses explications. il m’avait fourni toutes les informations dont je pouvais avoir besoin. globalement, je suis satisfait de ce que m’apporte orange bank. néanmoins, je préfère patienter encore quelques semaines avant d’en faire ma banque principale.",client orange bank depuis quelques mois instant aucune raison plaindre ouverture compte orange bank gentiment proposée boutique lors renouvellement abonnement orange open téléphone internet enregistrement fait rapidement conseiller montré aimable clair explications fourni toutes informations dont pouvais avoir besoin globalement satisfait apporte orange bank néanmoins préfère patienter encore quelques semaines avant faire banque principale,Positive,0,service
937,Avis Orange Bank ,"4,3 sur 5 étoiles",02/06/2022,"prélèvement rejeté alors que le compte était crédité de la somme. oui c est une erreur de notre part, on va vous contacter pour plus de renseignements, répondent-ils. ,j´étais obligé de payer avec une autre carte. c´est le première fois que je vois une banque qui rejette un prélèvement alors que la compte avait largement de quoi payer la traite.",prélèvement rejeté alors compte crédité somme oui erreur part va contacter plus renseignements répondent obligé payer autre carte première fois vois banque rejette prélèvement alors compte largement quoi payer traite,Positive,4,service
938,Avis Orange Bank ,"2,6 sur 5 étoiles",23/05/2022,"j'ai ouvert un compte ob il y a deux ans environ. pas de problème particulier, sauf que les contacts sont impossibles. un chat s'ouvre, mais vous tournez en rond dans les questions. dernièrement j'ai été à découvert, normalement, mais à un moment j'ai reçu un courrier (15 €) car j'avais dépassé les 30 jours autorisés. soit, j'ai essayé de communiquer que j'allais revenir positif dans quelques jours. impossible de contacter qui que ce soit.le compte revenu positif depuis 5 jours, je vais pour payer avec la carte, (40 €) refusé. je consulte mon compte sur mon mobile, positif (100 €). j'essaye un autre magasin, idem. je m'en étonne et deux jours après j'ai la réponse, un des chèques déposés est crédité, mais les vérifications ne sont pas faites (10 jours). comme j'ai un découvert autorisé de 300 €, je ne comprends pas. à la suite de moult manipulations je m'aperçois que je n'ai plus de découvert ! rien, pas un mail, pas un sms, pas un courrier à 15 €, ils n'ont pas à me prévenir me dit djingo le chat.",ouvert compte ob deux ans environ problème particulier sauf contacts impossibles chat ouvre tournez rond questions dernièrement découvert normalement moment reçu courrier 15 car dépassé 30 jours autorisés essayé communiquer allais revenir positif quelques jours impossible contacter compte revenu positif depuis jours vais payer carte 40 refusé consulte compte mobile positif 100 essaye autre magasin idem étonne deux jours après réponse chèques déposés crédité vérifications faites 10 jours comme découvert autorisé 300 comprends suite moult manipulations aperçois plus découvert rien mail sms courrier 15 prévenir dit djingo chat,Negative,6,accueil
939,Avis Orange Bank ,"2,0 sur 5 étoiles",02/05/2022,"chez orange bank le service client est quasiment inexistant : très difficile de joindre un conseiller par chat (impossible par téléphone si ce n'est pas à leur initiative). vos virements externes sont désormais plafonnés à 6.000€ et orange bank se réserve le droit de le bloquer pour soit disant effectuer des vérifications. problème : si vous ne rentrez pas en contact avec un humain, votre virement ne sera jamais exécuté. par contre, pas de problème lorsque vous faites un virement externe conséquent vers votre compte orange bank (10.000e). préférez boursorama qui est une vrai banque!",chez orange bank service client quasiment inexistant très difficile joindre conseiller chat impossible téléphone si initiative virements externes désormais plafonnés 000 orange bank réserve droit bloquer disant effectuer vérifications problème si rentrez contact humain virement jamais exécuté contre problème lorsque faites virement externe conséquent vers compte orange bank 10 000e préférez boursorama vrai banque,Negative,6,accueil
940,Avis Orange Bank ,"4,3 sur 5 étoiles",25/04/2022,"il y a trois ans, j'ai signé un contrat d'abonnement avec orange bank. j’étais à la recherche d’un compte secondaire avec une carte de crédit moderne et gratuite pour couvrir mes dépenses quotidiennes. j'ai donc eu l'occasion de créer un compte courant chez orange bank. l'inscription est relativement simple et la procédure s'est déroulée sur leur site web. je n'ai rencontré aucun souci pour créer ce compte et seules les informations classiques m’ont été demandées : confirmation de l'identité, preuve de résidence et type de compte que je voulais acquérir. je suis satisfait du fonctionnement du compte et de l'application orange bank. aussi, contrairement à une carte bancaire traditionnelle, la carte orange bank est assez moderne. toutes mes dépenses me sont communiquées par sms et l'application me montre le solde de mon compte en temps réel. j'ai été en contact avec le service clientèle dans une situation stressante d'annulation d'une transaction. le contact s'est fait par chat, puis ils m'ont rappelé presque immédiatement et le conseiller était très sympa.",trois ans signé contrat abonnement orange bank recherche compte secondaire carte crédit moderne gratuite couvrir dépenses quotidiennes donc occasion créer compte courant chez orange bank inscription relativement simple procédure déroulée site web rencontré aucun souci créer compte seules informations classiques demandées confirmation identité preuve résidence type compte voulais acquérir satisfait fonctionnement compte application orange bank aussi contrairement carte bancaire traditionnelle carte orange bank assez moderne toutes dépenses communiquées sms application montre solde compte temps réel contact service clientèle situation stressante annulation transaction contact fait chat puis rappelé presque immédiatement conseiller très sympa,Positive,0,service
941,Avis Orange Bank ,"2,8 sur 5 étoiles",13/04/2022,"en raison d’un problème technique, il m’est impossible d’accéder à mon compte avec l’application. je ne suis parvenue à joindre le service clients qu’aux alentours de 18h, le support informatique n’était plus présent. mais le problème serait résolu dès le lendemain matin m ’ a-t’on assurée. pour contourner le souci, nous convenons de l’envoi par email de demandes de virements à traiter en urgence. aucune nouvelle le lendemain matin, il m’a fallu relancer pour qu’une nouvelle fois on m’assure de la prise en charge du problème et surtout du traitement des virements en « haute importance ». trois heures plus tard, nouvelle relance et même réponse du service clients qui a bien insisté auprès du service virements. deux heures après, nouvelle relance sauf que face à mon insistance pour que les engagements soient tenus pour les virements, la conseillère est très hésitante à répondre. elle s’engage sur la prise en compte du signalement d’importance et m’assure que j’aurai une confirmation ultérieure et voilà!il est impensable qu’une banque en ligne avec accès limite à une application puisse être en situation de ne pas débloquer un problème technique.",raison problème technique impossible accéder compte application parvenue joindre service clients alentours 18h support informatique plus présent problème résolu dès lendemain matin assurée contourner souci convenons envoi email demandes virements traiter urgence aucune nouvelle lendemain matin fallu relancer nouvelle fois assure prise charge problème surtout traitement virements haute importance trois heures plus tard nouvelle relance réponse service clients bien insisté auprès service virements deux heures après nouvelle relance sauf face insistance engagements tenus virements conseillère très hésitante répondre engage prise compte signalement importance assure confirmation ultérieure voilà impensable banque ligne accès limite application puisse être situation débloquer problème technique,Positive,6,accueil
942,Avis Orange Bank ,"4,5 sur 5 étoiles",04/04/2022,"j’ai souscrit au service orange bank il y a trois ans. je cherchais un compte secondaire avec une carte bancaire moderne et gratuite pour gérer mes dépenses du quotidien. au début, le parcours d’inscription a été un peu long et fastidieux : une vingtaine de minutes avec beaucoup de questions indiscrètes ! mais, par la suite, j’ai été très satisfait du fonctionnement du compte et de l’appli orange bank. par rapport à une carte de banque traditionnelle, la carte orange bank est réellement moderne. chaque dépense est signalée par un sms et l’appli me donne mon solde en temps réel. c’est mieux pour contrôler mon budget et la carte est vraiment gratuite, car je fais chaque mois sans effort le minimum requis de trois paiements. j’ai également eu affaire au service client dans le cadre stressant d’une annulation de transaction. le contact s’est fait par chat puis j’ai été rappelé quasi immédiatement. le conseiller s’est montré très pédagogue, il m’a rassuré et l’annulation de la transaction s’est faite comme annoncée dans les 5 jours.",souscrit service orange bank trois ans cherchais compte secondaire carte bancaire moderne gratuite gérer dépenses quotidien début parcours inscription peu long fastidieux vingtaine minutes beaucoup questions indiscrètes suite très satisfait fonctionnement compte appli orange bank rapport carte banque traditionnelle carte orange bank réellement moderne chaque dépense signalée sms appli donne solde temps réel mieux contrôler budget carte vraiment gratuite car fais chaque mois sans effort minimum requis trois paiements également affaire service client cadre stressant annulation transaction contact fait chat puis rappelé quasi immédiatement conseiller montré très pédagogue rassuré annulation transaction faite comme annoncée jours,Positive,0,service
943,Avis Orange Bank ,"4,7 sur 5 étoiles",07/02/2022,"j’ai eu l’occasion d’ouvrir un compte bancaire chez orange bank car je me suis enregistré en tant que micro-entrepreneur et qu’il me fallait acquérir un compte professionnel. l’inscription dure une dizaine de minutes et nécessite les documents habituels que chaque banque pourrait exiger d’un nouveau client (carte d’identité, formule de compte choisie). j’ai sélectionné la formule de compte professionnel spécialisée pour la gestion de formules bancaires à destination des micro-entrepreneurs. je n’ai pas eu à contacter le service client car le conseiller virtuel (chatbot) m’a aidé tout au long de mon parcours d’inscription.",occasion ouvrir compte bancaire chez orange bank car enregistré tant micro entrepreneur fallait acquérir compte professionnel inscription dure dizaine minutes nécessite documents habituels chaque banque pourrait exiger nouveau client carte identité formule compte choisie sélectionné formule compte professionnel spécialisée gestion formules bancaires destination micro entrepreneurs contacter service client car conseiller virtuel chatbot aidé tout long parcours inscription,Positive,0,service
944,Avis Orange Bank ,5 sur 5 étoiles,21/01/2022,"etant un fan des néo banques et des applications mobiles toutes aussi pratiques les unes que les autres, j'ai ouvert un compte personnel chez orange bank il y a un an. l'inscription y est relativement rapide, et tout se fait sur leur site. je n'ai eu aucun problème à créer mon compte, et les informations demandées sont classiques : vérification des papiers d'identité, un justificatif de domicile et la formule de compte que vous souhaitez acquérir. aucun justificatif de revenu ne vous sera demandé. après les vérifications de sécurité habituelles, orange bank m'a transmis ma carte bancaire personnelle et un livret d'accueil moins d'une semaine après mon inscription. le suivi des comptes se fait facilement grâce à l'application mobile disponible sur ios et android.",etant fan néo banques applications mobiles toutes aussi pratiques unes autres ouvert compte personnel chez orange bank an inscription relativement rapide tout fait site aucun problème créer compte informations demandées classiques vérification papiers identité justificatif domicile formule compte souhaitez acquérir aucun justificatif revenu demandé après vérifications sécurité habituelles orange bank transmis carte bancaire personnelle livret accueil moins semaine après inscription suivi comptes fait facilement grâce application mobile disponible ios android,Positive,0,service
945,Avis Orange Bank ,"1,8 sur 5 étoiles",20/01/2022,"je possède un compte bancaire chez axa banque depuis 20 ans et décide d'en ouvrir un chez orange bank. je remplis les papiers, etc et effectue le 1er virement exigé de 50€. rien ne se passe et j'appelle orange bank qui m'explique alors qu'ils ne peuvent finaliser l'ouverture car mon virement ne vient pas d'une banque ""traditionnelle"" - c'est-à-dire une banque avec guichets sur rue. je lui explique que pourtant oui, axa banque a des agences bancaires sur rue. pour orange bank, axa banque reste une ""banque en ligne"". qu'une soi-disant néo-banque - orange bank - ait besoin d'un virement d'une banque ""traditionnelle"" pour s'assurer qu'un nouveau client soit accepté comme fiable, on voit que la vieille culture des banques ""traditionnelles"" continue à se reproduire tranquillement. j'ai toujours détesté comment celles-ci nous considèrent, nous sommes les clients, nous leur apportons notre argent et combien de fois un banquier m'a fait comprendre que je lui étais redevable. ça n´a pas l´air de changer avec orange bank. ps : quand j'ai ouvert un compte chez n26 il y un an, tout était réglé en un 1/4h, sans virement à faire, sans montrer patte blanche. est-ce que parce que c’est une banque allemande ?",possède compte bancaire chez axa banque depuis 20 ans décide ouvrir chez orange bank remplis papiers etc effectue 1er virement exigé 50 rien passe appelle orange bank explique alors peuvent finaliser ouverture car virement vient banque traditionnelle dire banque guichets rue explique pourtant oui axa banque agences bancaires rue orange bank axa banque reste banque ligne soi disant néo banque orange bank besoin virement banque traditionnelle assurer nouveau client accepté comme fiable voit vieille culture banques traditionnelles continue reproduire tranquillement toujours détesté comment celles ci considèrent clients apportons argent combien fois banquier fait comprendre redevable ça air changer orange bank ps quand ouvert compte chez n26 an tout réglé 4h sans virement faire sans montrer patte blanche parce banque allemande,Positive,1,frais
