,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
765,Avis PayPal ,"3,0 sur 5 étoiles",14/07/2022,"le règlement de litiges en cas d'achats sur ebay, par exemple en cas de double facturation de la tva sur un article acheté hors de l'union européenne, est un parcours du combattant qui se termine en général par un rejet de la demande de remboursement, à l'avantage du plus puissant.",règlement litiges cas achats ebay exemple cas double facturation tva article acheté hors union européenne parcours combattant termine général rejet demande remboursement avantage plus puissant,Positive,6,accueil
766,Avis PayPal ,"1,8 sur 5 étoiles",11/07/2022,"depuis 2 mois tous les payments sont suspendus, ce qui fait que mon fond de roulement arrive à la fin et que je ne peux plus commander à temps la matière première pour justement préparer les commandes et mettre un numéro de suivi pour débloquer mes fonds, par contre, eux ils ont déjà pris leur commission.les virements à mon compte sont plafonnés à 500€, je les appelle et ils me disent qu’il n’y a aucune restriction de leur côté. génial.je n’ai eu aucun litige depuis 5 mois et mon paypal est ouvert depuis 3 ans, alors pourquoi suspendre tous les payements à chaque fois? oui, il y a pas eu une croissance importante dun coup, mais on vit à l’air des réseaux : une vidéo qui buzz et c’est la hausse des ventes, mais bloquer plus de 6000€ sans raison vu qu’aucun client se plaint et qu’ils m’ont demandé des justificatifs 2 fois en 1 mois (en bloquant le compte bien évidemment).malheureusement, paypal perd des utilisateurs, car je préfère avoir moins de ventes mais des clients satisfaits que beaucoup de clients mais pas contents à cause de paypal qui abuse dans la sécurité. si j’ai un compte pro paypal c’est pas pour voir mes fonds suspendus à chaque transaction.",depuis mois tous payments suspendus fait fond roulement arrive fin peux plus commander temps matière première justement préparer commandes mettre numéro suivi débloquer fonds contre déjà pris commission virements compte plafonnés 500 appelle disent aucune restriction côté génial aucun litige depuis mois paypal ouvert depuis ans alors pourquoi suspendre tous payements chaque fois oui croissance importante dun coup vit air réseaux vidéo buzz hausse ventes bloquer plus 6000 sans raison vu aucun client plaint demandé justificatifs fois mois bloquant compte bien évidemment malheureusement paypal perd utilisateurs car préfère avoir moins ventes clients satisfaits beaucoup clients contents cause paypal abuse sécurité si compte pro paypal voir fonds suspendus chaque transaction,Positive,4,service
767,Avis PayPal ,"2,0 sur 5 étoiles",07/07/2022,"pendant 15 ans, j'ai utilisé paypal sans problème. depuis 3 mais c'est devenu un casse-tête. des paiements systématiquement mis en attente ou annulés et sans explication, des bugs avec des paiements effectués en doublons.",pendant 15 ans utilisé paypal sans problème depuis devenu casse tête paiements systématiquement mis attente annulés sans explication bugs paiements effectués doublons,Neutral,6,accueil
768,Avis PayPal ,"2,6 sur 5 étoiles",27/06/2022,"client fidèle de paypal depuis 2005, j'étais un sponsor convaincu de cette société (facilité de création de compte, facilité de paiement) mais j'ai vécu une mésaventure qui m'a montré que lorsqu'on avait réellement besoin d'eux (et de leur ""soit-disante"" protection de l'acheteur), il n'y avait plus personne. je ne les ai jamais sollicité en 17 ans de clientèle.1) 2020 : j'avais acheté une licence annuelle pour un logiciel en 2020 pour 119€ auprès de jetbrains, puis j'ai supprimé la licence m'appartenant car je n'utilisais pas la licence (phpstorm).2) 2021 : le vendeur m'a quand même prélevé pour l'année 2021 car je n'avais pas supprimé la licence sur leur site web : ok, c'est limite, mais je veux bien car j'aurais du le faire, bilan j'accepte de repayer 119€ pour rien.3) 2022 : je reçois un email automatique du vendeur m'indiquant qu'ils vont me prélever à nouveau 119€, je les contacte capture d'écran à l'appui prouvant que je n'ai plus aucune licence depuis 2020. pas de réponse de leur part, mais le prélèvement est fait.je contacte paypal pour leur dire que je viens de payer 3 années pour 1 seule année d'utilisation avec capture d'écran du site de l'éditeur prouvant que je n'ai plus aucune licence depuis 2020, et mon email envoyé à l'éditeur en juin 2022.réponse, je les cite : ""après avoir étudié ces transactions, nous avons décidé de rejeter vos réclamations. cette décision a été prise car le litige a été signalé avec des informations et documents insuffisants pour appuyer la réclamation"". que fournir de plus que les captures d'écran de leur site web et des emails?",client fidèle paypal depuis 2005 sponsor convaincu cette société facilité création compte facilité paiement vécu mésaventure montré lorsqu réellement besoin disante protection acheteur plus personne jamais sollicité 17 ans clientèle 2020 acheté licence annuelle logiciel 2020 119 auprès jetbrains puis supprimé licence appartenant car utilisais licence phpstorm 2021 vendeur quand prélevé année 2021 car supprimé licence site web ok limite veux bien car faire bilan accepte repayer 119 rien 2022 reçois email automatique vendeur indiquant vont prélever nouveau 119 contacte capture écran appui prouvant plus aucune licence depuis 2020 réponse part prélèvement fait contacte paypal dire viens payer années seule année utilisation capture écran site éditeur prouvant plus aucune licence depuis 2020 email envoyé éditeur juin 2022 réponse cite après avoir étudié transactions décidé rejeter réclamations cette décision prise car litige signalé informations documents insuffisants appuyer réclamation fournir plus captures écran site web emails,Positive,1,frais
769,Avis PayPal ,"4,6 sur 5 étoiles",27/06/2022,"paiement en 4 fois sans frais, mon avis, pourquoi paypal le fait gratuitement ? chez paypal depuis avril 2021 le paiement fractionné jusqu'à 2000 € est désormais sans frais. paypal par rapport aux crédis à la consommation des banques peut proposer du taux 0 sans intérêts. le paiement fractionné ne correspond pas exactement à un crédit mais à une facilité de paiement car inférieur à 90 jours, c’est un mode de règlement alternatif. le paiement fractionné, facilité de paiement échappe à la réglementation sur le crédit à la consommation (loi lagarde). l’établissement financier n’est pas tenu de faire une analyse préalable de la capacité de remboursement de l’emprunteur.marchand, vous bénéficiez donc d’un avantage concurrentiel si votre site est éligible au 4 x sans frais de paypal et si le client aussi est éligible au 4x sans frais.mais c’est l’algorithme paypal qui calcule si le crédit de paiement en 4 fois sans frais chez paypal sera accepté ou pas.",paiement fois sans frais avis pourquoi paypal fait gratuitement chez paypal depuis avril 2021 paiement fractionné jusqu 2000 désormais sans frais paypal rapport crédis consommation banques peut proposer taux sans intérêts paiement fractionné correspond exactement crédit facilité paiement car inférieur 90 jours mode règlement alternatif paiement fractionné facilité paiement échappe réglementation crédit consommation loi lagarde établissement financier tenu faire analyse préalable capacité remboursement emprunteur marchand bénéficiez donc avantage concurrentiel si site éligible sans frais paypal si client aussi éligible 4x sans frais algorithme paypal calcule si crédit paiement fois sans frais chez paypal accepté,Negative,4,service
770,Avis PayPal ,"1,8 sur 5 étoiles",18/06/2022,"vous êtes persuadés que les paiements par paypal sont garantis en cas de non livraison? eh bien, c’est totalement faux entre particuliers, seulement avec un commerçant. ainsi, un arnaqueur a réussi à me faire payer par paypal en m’assurant de la garantie remboursement si objet non livré et en me proposant une remise par rapport au « bon coin » ! dès le paiement, j’ai senti l’arnaque. j’ai immédiatement prévenu paypal qui refuse de ne pas transmettre le paiement ( et pourtant paypal conserve l’argent pendant 7 jours et j’ai appelé le 1° jour ). l’objet n’est jamais arrivé, le paiement a eu lieu !l’annonce est reparue dès le lendemain et cela fait déjà 3 personnes qui se sont fait escroquer par cet individu qui a bien compris comment fonctionnait paypal. paypal est devenu le repère des arnaqueurs. méfiez-vous. la garantie ne fonctionne pas entre particuliers et pourtant tout le monde reste persuadé que paypal c’est une garantie.",persuadés paiements paypal garantis cas non livraison eh bien totalement faux entre particuliers seulement commerçant ainsi arnaqueur réussi faire payer paypal assurant garantie remboursement si objet non livré proposant remise rapport bon coin dès paiement senti arnaque immédiatement prévenu paypal refuse transmettre paiement pourtant paypal conserve argent pendant jours appelé jour objet jamais arrivé paiement lieu annonce reparue dès lendemain cela fait déjà personnes fait escroquer cet individu bien compris comment fonctionnait paypal paypal devenu repère arnaqueurs méfiez garantie fonctionne entre particuliers pourtant tout monde reste persuadé paypal garantie,Negative,4,service
771,Avis PayPal ,5 sur 5 étoiles,16/06/2022,"je suis très content de paypal, ils m´ont sauvé la mise sur des conflits où je croyais avoir perdu mon argent. avec paypal j'ai été remboursé entièrement. je suis satisfait et le service client est à l'écoute de vos problème et font le nécessaire.",très content paypal sauvé mise conflits où croyais avoir perdu argent paypal remboursé entièrement satisfait service client écoute problème font nécessaire,Positive,4,service
772,Avis PayPal ,"1,8 sur 5 étoiles",30/05/2022,"la commerciale n'a pas présenté son produit dans tous ses aspects, or les fonds sont bloqués lorsque vous êtes nouveau client. ils vous obligent à faire plus de transactions pour pouvoir avoir accès à vos fonds. plus des commissions excessives de 2.9% et 0.35 de fixe, je ne recommande pas en tant que professionnel.",commerciale présenté produit tous aspects or fonds bloqués lorsque nouveau client obligent faire plus transactions pouvoir avoir accès fonds plus commissions excessives 35 fixe recommande tant professionnel,Positive,4,service
773,Avis PayPal ,"2,2 sur 5 étoiles",22/05/2022,"paypal a une grande qualité : ils n'ont pas d'équivalent.pour le reste nous avons droit à tous les désavantages d'un monopole. le service client est absent. les conditions d'utilisation changent sans arrêt et on nous invite régulièrement à prendre connaissance de textes ennuyeux et abscons. leur site internet dysfonctionne constamment et c'est une plaie de l'utiliser. il faut s'y prendre à plusieurs fois pour chaque opération. leur service de réclamation ne marche pas.bref, un calvaire à l'utilisation. pour le reste le service est rendu (au moins pour mon cas).",paypal grande qualité équivalent reste droit tous désavantages monopole service client absent conditions utilisation changent sans arrêt invite régulièrement prendre connaissance textes ennuyeux abscons site internet dysfonctionne constamment plaie utiliser faut prendre plusieurs fois chaque opération service réclamation marche bref calvaire utilisation reste service rendu moins cas,Positive,4,service
774,Avis PayPal ,"2,4 sur 5 étoiles",20/05/2022,"service client quasi inexistant. une société souhaite me rembourser et oaypal bloque le remboursement. en même temps, je reçois des messages de menace de mise en recouvrement. il leur suffit d'envoyer un justificatif par mail mais paypal en est incapable. cela fait presque 2 mois que cela dure et j'y passe beaucoup trop de temps chaque jour.",service client quasi inexistant société souhaite rembourser oaypal bloque remboursement temps reçois messages menace mise recouvrement suffit envoyer justificatif mail paypal incapable cela fait presque mois cela dure passe beaucoup trop temps chaque jour,Negative,6,accueil
