,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1264,Avis Qonto ,"4,8 sur 5 étoiles",17/06/2022,"j'ai ouvert ma société et j'ai fait appel aux services de qonto. la banque est top et propose une bonne interface de gestion du compte bancaire. l'assistance clientèle en ligne par chat est pratique, moi qui déteste être au téléphone c'est plutôt simple et en plus le délai de réponse est rapide. j'avais une question sur un changement à faire dans mon dossier et on m'a répondu en quelques minutes. bref, qonto est une banque fiable avec une plateforme fluide et simple d'utilisation.",ouvert société fait appel services qonto banque top propose bonne interface gestion compte bancaire assistance clientèle ligne chat pratique déteste être téléphone plutôt simple plus délai réponse rapide question changement faire dossier répondu quelques minutes bref qonto banque fiable plateforme fluide simple utilisation,Positive,0,service
1265,Avis Qonto ,"4,3 sur 5 étoiles",05/04/2022,"depuis près de deux ans maintenant, j'utilise qonto et je ne peux que recommander cette nouvelle néobanque. après avoir téléchargé l'application, je n'ai eu qu'à saisir mon numéro de téléphone portable, mon nom, ma date de naissance et mon adresse électronique. j'ai ensuite présenté mon passeport pour vérifier mon compte. enfin, il était temps de faire mon premier dépôt. la première chose qui m'a impressionnée lorsque je me suis inscrite, c'est la facilité de navigation de l'application. la conception est bien pensée et bien structurée. depuis que je suis utilisateur de qonto, je paie en euros et en dollars américains dans de nombreux magasins en ligne. j'ai différentes devises sur mon compte et je peux envoyer de l'argent à ma famille en italie. de plus, si j'ai des problèmes pour recevoir de l'argent, le personnel du service clientèle m'aide toujours.",depuis près deux ans maintenant utilise qonto peux recommander cette nouvelle néobanque après avoir téléchargé application saisir numéro téléphone portable nom date naissance adresse électronique ensuite présenté passeport vérifier compte enfin temps faire premier dépôt première chose impressionnée lorsque inscrite facilité navigation application conception bien pensée bien structurée depuis utilisateur qonto paie euros dollars américains nombreux magasins ligne différentes devises compte peux envoyer argent famille italie plus si problèmes recevoir argent personnel service clientèle aide toujours,Positive,6,accueil
1266,Avis Qonto ,"4,8 sur 5 étoiles",08/03/2022,vraiment très satisfait de qonto malgré quelques limites : les encaissement de chèques sont un peu longs et fastidieux; on ne peux pas transférer le liquide de la caisse vers le compte. globalement c'est une banque simple efficace et pas chère.,vraiment très satisfait qonto malgré quelques limites encaissement chèques peu longs fastidieux peux transférer liquide caisse vers compte globalement banque simple efficace chère,Positive,0,service
1267,Avis Qonto ,"4,8 sur 5 étoiles",07/03/2022,je suis chez qonto pour mon entreprise : c'est très bien. il faut connaitre les limites : la gestion des chèques est un peu contraignante mais rapide. la gestion du liquide n'existe pas.,chez qonto entreprise très bien faut connaitre limites gestion chèques peu contraignante rapide gestion liquide existe,Positive,0,service
1268,Avis Qonto ,"2,6 sur 5 étoiles",14/02/2022,"je suis client chez quonto depuis 05/2020. le délai des chèques est trop long pour les artisans des métiers manuels (couvreur, maçon, plombier....) généralement payés par chèque à 80% et 26 jours d'attente pour l'encaissement selon la date d'envoi. c'est vrai quonto ne coûte pas cher mais ralentit votre entreprise.",client chez quonto depuis 05 2020 délai chèques trop long artisans métiers manuels couvreur maçon plombier généralement payés chèque 80 26 jours attente encaissement selon date envoi vrai quonto coûte cher ralentit entreprise,Negative,5,personnel
1269,Avis Qonto ,"4,3 sur 5 étoiles",04/02/2022,"j'ai eu l'occasion d'ouvrir un compte bancaire chez qonto car ma fille venant d'être majeure, elle a souhaité posséder sa propre carte bancaire. j'ai fait appel à un comparateur bancaire sur internet pour trouver la meilleure offre commerciale. c'est grâce à ce comparateur que je suis tombé sur l'organisme qonto qui propose des comptes bancaires pour les jeunes. je lui ai donc souscrit un compte bancaire simple avec la carte bancaire black, qui est un compte sécurisé pour lequel une application mobile est disponible. l'ouverture du compte bancaire m'a pris une quinzaine de minutes et elle a nécessité les documents d'identité habituels demandés par les organismes bancaires. je n'ai contacté le service client qu'une seule fois pour obtenir des précisions sur les autres offres qonto. le seul bémol que j'ai pu constater était le délai d'attente, légèrement long.",occasion ouvrir compte bancaire chez qonto car fille venant être majeure souhaité posséder propre carte bancaire fait appel comparateur bancaire internet trouver meilleure offre commerciale grâce comparateur tombé organisme qonto propose comptes bancaires jeunes donc souscrit compte bancaire simple carte bancaire black compte sécurisé lequel application mobile disponible ouverture compte bancaire pris quinzaine minutes nécessité documents identité habituels demandés organismes bancaires contacté service client seule fois obtenir précisions autres offres qonto seul bémol pu constater délai attente légèrement long,Positive,0,service
1270,Avis Qonto ,5 sur 5 étoiles,21/01/2022,"lors du choix de ma néo banque, j'ai eu l'occasion de comparer les différents services qui se présentaient à moi sur le web. ma décision s'est portée vers qonto, pour leur sérieux et la bonne réputation de leur service. je possède aujourd'hui un compte professionnel qonto ( aussi disponible pour les particuliers ) et j'en suis pleinement satisfait. la rapidité d'ouverture de mon compte bancaire qonto m'a satisfait, car j'y ai passé moins d'une dizaine de minutes, et j'ai par la suite pu recevoir dans un délai rapide ma carte bancaire "" black édition "" ainsi qu'un livret d'accueil et d'accompagnement.toutes les fonctionnalités d'une néo banque sont disponibles, ainsi qu'une application web pour vous permettre de gérer vos comptes et vos virements depuis votre téléphone mobile. le prix d'un compte bancaire se situe aux alentours d'une dizaine d'euros par an. le service client qonto à la réputation d'être très réactif, bien que, à ce jour je n'ai pas eu l'occasion de les contacter.",lors choix néo banque occasion comparer différents services présentaient web décision portée vers qonto sérieux bonne réputation service possède aujourd hui compte professionnel qonto aussi disponible particuliers pleinement satisfait rapidité ouverture compte bancaire qonto satisfait car passé moins dizaine minutes suite pu recevoir délai rapide carte bancaire black édition ainsi livret accueil accompagnement toutes fonctionnalités néo banque disponibles ainsi application web permettre gérer comptes virements depuis téléphone mobile prix compte bancaire situe alentours dizaine euros an service client qonto réputation être très réactif bien jour occasion contacter,Positive,0,service
1271,Avis Qonto ,5 sur 5 étoiles,16/12/2021,"je suis cliente chez qonto depuis près d'un an, dans le cadre de mon activité professionnelle indépendante. l'adhésion à ce service bancaire est très simple. tout se fait grâce à son smartphone. ce qui représente un gain de temps indéniable. les frais mensuels sont raisonnables.au niveau de la gestion quotidienne de mes comptes, l'interface web est très intuitive et conviviale. j'apprécie également le fait de recevoir des notifications sur mon mobile lorsque que je programme un virement ou lorsque je reçois une somme d'argent. autre bonus : le système de parrainage. j'ai dernièrement recommandé qonto à une connaissance. en résumé, je recommande fortement cette néo-banque pour sa simplicité d'utilisation, ses coûts modérés et ses offres commerciales intéressantes.",cliente chez qonto depuis près an cadre activité professionnelle indépendante adhésion service bancaire très simple tout fait grâce smartphone représente gain temps indéniable frais mensuels raisonnables niveau gestion quotidienne comptes interface web très intuitive conviviale apprécie également fait recevoir notifications mobile lorsque programme virement lorsque reçois somme argent autre bonus système parrainage dernièrement recommandé qonto connaissance résumé recommande fortement cette néo banque simplicité utilisation coûts modérés offres commerciales intéressantes,Positive,0,service
1272,Avis Qonto ,5 sur 5 étoiles,21/11/2021,"si comme moi vous êtes un entrepreneur pressé, en quête de simplicité, de clarté et de transparence, je vous conseille de vous intéresser à la banque en ligne qonto.tout d’abord, l’interface du site est très intuitive. elle permet d’ouvrir un compte professionnel en quelques clics sans aucune difficulté.ensuite, en tant que créateur d’une sarl, je trouve très appréciable la possibilité de déposer son capital social en ligne. de plus, recevoir le certificat de dépôt en à peine 3 jours, permet de finaliser l’immatriculation de son entreprise en un temps record. et au niveau du coût, qonto se positionne bien en dessous des comptables que j’avais interrogés. l’application mobile est quant à elle très facile à utiliser. elle permet notamment de numériser les factures, et cerise sur le gâteau, de détecter automatiquement la tva. pour finir, j’ajouterai que le service clientèle est extrêmement réactif. que cela soit par mail ou par chat, j’ai obtenu en un temps record toutes les réponses à mes questions.",si comme entrepreneur pressé quête simplicité clarté transparence conseille intéresser banque ligne qonto tout abord interface site très intuitive permet ouvrir compte professionnel quelques clics sans aucune difficulté ensuite tant créateur sarl trouve très appréciable possibilité déposer capital social ligne plus recevoir certificat dépôt peine jours permet finaliser immatriculation entreprise temps record niveau coût qonto positionne bien dessous comptables interrogés application mobile quant très facile utiliser permet notamment numériser factures cerise gâteau détecter automatiquement tva finir ajouterai service clientèle extrêmement réactif cela mail chat obtenu temps record toutes réponses questions,Positive,0,service
1273,Avis Qonto ,"3,3 sur 5 étoiles",16/11/2021,"j'ai eu plusieurs mauvaises surprises avec qonto.tout d'abord, j'ai encaissé un chèque de banque qui a pris trois semaines pour arriver sur mon compte ! un chèque de banque est tout ce qu'il y a de plus fiable, il me semble. après, j'ai effectué un paiement avec une carte virtuelle qonto et celui-ci a été refusé. mais mon compte a tout de même été débité du montant durant deux semaines. ce n'est vraiment pas normal ! je regrette vraiment mon ancienne banque (la banque postale) qui offrait finalement des conditions et des services bien meilleurs. je suppose que qonto utilise l'argent de ses clients avant de leur restituer, c'est pour cela que les délais sont aussi longs !",plusieurs mauvaises surprises qonto tout abord encaissé chèque banque pris trois semaines arriver compte chèque banque tout plus fiable semble après effectué paiement carte virtuelle qonto celui ci refusé compte tout débité montant durant deux semaines vraiment normal regrette vraiment ancienne banque banque postale offrait finalement conditions services bien meilleurs suppose qonto utilise argent clients avant restituer cela délais aussi longs,Positive,6,accueil
