,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1002,Avis Revolut ,5 sur 5 étoiles,08/07/2022,"franchement rien à dire, tout est simple pour ouvrir un compte chez revolut. le seul point peut être négatif, c est le rib qui est souvent refusé ici en france. j´ai même pu faire des cartes pour mes enfants; plus pratique pour y mettre de l argent de poche dessus au lieu qu`ils aient de l´argent sur eux.",franchement rien dire tout simple ouvrir compte chez revolut seul point peut être négatif rib souvent refusé ici france pu faire cartes enfants plus pratique mettre argent poche dessus lieu argent,Positive,0,service
1003,Avis Revolut ,5 sur 5 étoiles,23/06/2022,super carte de crédit et compte simple et détaillé à chaque retrait ou dépense. la carte physique sans contact au top. pas de frais de change pour l’international.,super carte crédit compte simple détaillé chaque retrait dépense carte physique sans contact top frais change international,Positive,0,service
1004,Avis Revolut ,"3,3 sur 5 étoiles",17/06/2022,"j'ai choisi la néobanque revolut pour préparer mon voyage à l'étranger (brésil, colombie). je souhaitais en effet avoir une mastercard en complément de la carte visa internationale à laquelle j'avais souscrite !l'ouverture du compte était rapide, j'ai reçu ma carte sous 10 jours. pour le compte gratuit, la carte est facturée 5€.le grand avantage de revolut est son prix, puisqu'il n'y a aucune cotisation mensuelle sur la formule basique que j'avais choisi ! bien sûr, cela est contrebalancé par des plafonds de retraits et de paiements bas, au dessus d'une certaine somme.de manière générale, la carte est plutôt bien, mais les frais sont excessifs, et des frais s'ajoutent à vos transactions le week-end. dans ce sens je ne recommande pas cette carte pour une personne qui a un long voyage, car une formule payante est plus intéressante à la longue.en ce qui concerne l'application elle permet de voir vos dépenses en direct, j'ai également apprécié le fait que je puisse créer une carte virtuelle dédiée à mes achats en ligne.",choisi néobanque revolut préparer voyage étranger brésil colombie souhaitais effet avoir mastercard complément carte visa internationale laquelle souscrite ouverture compte rapide reçu carte sous 10 jours compte gratuit carte facturée grand avantage revolut prix puisqu aucune cotisation mensuelle formule basique choisi bien sûr cela contrebalancé plafonds retraits paiements bas dessus certaine somme manière générale carte plutôt bien frais excessifs frais ajoutent transactions week end sens recommande cette carte personne long voyage car formule payante plus intéressante longue concerne application permet voir dépenses direct également apprécié fait puisse créer carte virtuelle dédiée achats ligne,Positive,0,service
1005,Avis Revolut ,"2,4 sur 5 étoiles",14/06/2022,i used to love revolut and recommended it many times. until they did not answer to me anymore regarding a lost transaction. they did not solve my issue. i lost a 140 euros transaction and they don’t even take time to give me a proper answer. impossible to have a human on the chat.,used to love revolut and recommended it many times until they did not answer to anymore regarding lost transaction they did not solve my issue lost 140 euros transaction and they don even take time to give proper answer impossible to have human the chat,Negative,0,service
1006,Avis Revolut ,"4,5 sur 5 étoiles",25/05/2022,"après utilisation de revolut, je confirme que c'est une application pratique et bien organisée. la tenue des comptes est intuitive et propose plusieurs monnaies avec un taux de change imbattable. revolut permet aussi de facilement rembourser un ami. l’interface de l'application est également pratique. le service de communication est présent et agréable et la carte métal proposée rapide à obtenir. grâce à l'application, je peux catégoriser mes dépenses et avoir une vision d'ensemble sur mes finances.",après utilisation revolut confirme application pratique bien organisée tenue comptes intuitive propose plusieurs monnaies taux change imbattable revolut permet aussi facilement rembourser ami interface application également pratique service communication présent agréable carte métal proposée rapide obtenir grâce application peux catégoriser dépenses avoir vision ensemble finances,Positive,0,service
1007,Avis Revolut ,"4,0 sur 5 étoiles",26/04/2022,"j'ai demandé mon inscription chez revolut le 23 octobre 2018 afin de tester un nouveau mode de paiement, suite à la recommandation d'un proche. le système proposé par revolut est très simple d'utilisation, déjà au moment de l'inscription. l'application dédiée (téléchargée depuis apple store) offre une prise en main facile et agréable. grâce à elle, il m'a été possible de suivre en direct toute l'activité liée à la carte revolut directement sur mon smartphone. je n'ai pas eu besoin de contacter le service clientèle, car étant une utilisatrice standard je me suis contentée des fonctionnalités de base, via l'application. toutes les informations nécessaires à la compréhension de l'application étaient disponibles.il faut faire attention à certains frais de transaction qui peuvent surprendre. les retraits au bancomat, par exemple, sont majorés de frais plutôt élevés. malgré cet élément, je voudrais relever le haut niveau de qualité de l'application et des notifications, qui rendent la gestion de la carte très simple.",demandé inscription chez revolut 23 octobre 2018 afin tester nouveau mode paiement suite recommandation proche système proposé revolut très simple utilisation déjà moment inscription application dédiée téléchargée depuis apple store offre prise main facile agréable grâce possible suivre direct toute activité liée carte revolut directement smartphone besoin contacter service clientèle car utilisatrice standard contentée fonctionnalités base via application toutes informations nécessaires compréhension application disponibles faut faire attention certains frais transaction peuvent surprendre retraits bancomat exemple majorés frais plutôt élevés malgré cet élément voudrais relever haut niveau qualité application notifications rendent gestion carte très simple,Positive,0,service
1008,Avis Revolut ,"3,2 sur 5 étoiles",21/04/2022,"tout se passait à merveille avec revolut, c'en était magique. devises étrangères quasi gratuites, retraits et rechargement du compte hyper simple. une interface très accueillante. bref j'étais sur le point d'en faire ma banque principale. et puis ça fait plus de deux semaines que mon compte est bloqué! un service client qui répond toujours la même chose mais incapable de vous préciser pour quelles raisons le compte est bloqué ! aucune date précise pour le déblocage, on passe du super a ""pfouu"" car on comprend pas pourquoi. voilà plus de deux semaines d'attente où on m'a demandé de faire plein de choses que j'ai toutes faites, mais je reste en attente du déblocage.",tout passait merveille revolut magique devises étrangères quasi gratuites retraits rechargement compte hyper simple interface très accueillante bref point faire banque principale puis ça fait plus deux semaines compte bloqué service client répond toujours chose incapable préciser quelles raisons compte bloqué aucune date précise déblocage passe super pfouu car comprend pourquoi voilà plus deux semaines attente où demandé faire plein choses toutes faites reste attente déblocage,Positive,6,accueil
1009,Avis Revolut ,"4,0 sur 5 étoiles",05/04/2022,"j'utilise revolut depuis presqu'un an maintenant et je ne peux que recommander cette néobanque. l'inscription est simple et rapide. après téléchargement de l’application, il m'a suffi d'entrer mon numéro de téléphone, mon nom, ma date de naissance, et mon adresse e-mail. par la suite, j'ai présenté mon passeport pour vérifier mon compte. et pour finir, j’ai eu à effectuer mon premier dépôt. lors de mon inscription, la première chose qui m'a attiré est la beauté de l’application et la facilité dans la navigation. le design est bien conçu, bien structuré, et tout fonctionne. depuis que j’ai rejoint revolut, j'ai payé de nombreux marchands aussi bien en euro qu’en dollar. les devises de compte sont variées, et j’ai même pu faire des virements à l’international. pour couronner le tout, lorsque j'ai eu des problèmes avec la réception d’argent, l'équipe d'assistance est venue à mon secours et j'ai été satisfait du service.",utilise revolut depuis presqu an maintenant peux recommander cette néobanque inscription simple rapide après téléchargement application suffi entrer numéro téléphone nom date naissance adresse mail suite présenté passeport vérifier compte finir effectuer premier dépôt lors inscription première chose attiré beauté application facilité navigation design bien conçu bien structuré tout fonctionne depuis rejoint revolut payé nombreux marchands aussi bien euro dollar devises compte variées pu faire virements international couronner tout lorsque problèmes réception argent équipe assistance venue secours satisfait service,Positive,0,service
1010,Avis Revolut ,"2,2 sur 5 étoiles",28/02/2022,"on vous donne une carte, tout va bien au début et puis on vous bloque votre compte. on vous donne une raison imprécise. toujours la même réponse mais sans le motif précis. rien à me reprocher. un copié collé avec législation mais laquelle ?",donne carte tout va bien début puis bloque compte donne raison imprécise toujours réponse sans motif précis rien reprocher copié collé législation laquelle,Positive,6,accueil
1011,Avis Revolut ,5 sur 5 étoiles,10/02/2022,"revolut, la banque internationale en ligne qui remplit tous les critères pour moi. gestion en ligne via l'application revolut facile d'utilisation. l'ouverture d'un compte bancaire se fait en un jour sans encombre. j'apprécie de changer la monnaie dans n'importe quelle devise instantanément, ce qui m'arrange en tant que grand voyageur. possibilité d'ouvrir des coffres pour épargner de l'argent avec une thématique et plusieurs coffres à la fois. pour moi, c'est la banque simple et efficace. faire des virements, des transactions, tout est fait en 3 clics. j'ai rentré plusieurs cartes bancaires correspondant à différents comptes, quand j'ai besoin de mettre à nouveau de l'argent sur revolut je prends directement sur ces cartes. la carte bancaire est gratuite, je viens même de découvrir la carte bancaire en ligne et je paye avec mon téléphone. je génère régulièrement des cartes virtuelles pour mes paiements en ligne sur internet. j'ai eu affaire une fois au service client via un chat, rien à dire de négatif.",revolut banque internationale ligne remplit tous critères gestion ligne via application revolut facile utilisation ouverture compte bancaire fait jour sans encombre apprécie changer monnaie importe quelle devise instantanément arrange tant grand voyageur possibilité ouvrir coffres épargner argent thématique plusieurs coffres fois banque simple efficace faire virements transactions tout fait clics rentré plusieurs cartes bancaires correspondant différents comptes quand besoin mettre nouveau argent revolut prends directement cartes carte bancaire gratuite viens découvrir carte bancaire ligne paye téléphone génère régulièrement cartes virtuelles paiements ligne internet affaire fois service client via chat rien dire négatif,Positive,0,service
1012,Avis Revolut ,"4,5 sur 5 étoiles",07/02/2022,"j'ai séjourné plusieurs mois en angleterre en 202 et ma carte revolut m'a été d'une grande utilité. je l'ai utilisée pendant toute cette période, pour payer mes achats aussi bien que pour retirer des espèces au distributeur. mon compte était alimenté à la fois en euros et en livres sterling, et contrairement à ce qui se produisait avec ma carte bancaire habituelle, aucune commission ne m'était facturée en plus du taux de change. c'était une économie non négligeable ! par ailleurs, lorsque je me connecte à mon compte revolut sur mon téléphone portable, j'ai accès à la liste de mes contacts qui possèdent aussi un compte revolut. je peux ainsi effectuer un transfert d'argent à n'importe lequel d'entre eux, et vice-versa. l'opération est instantanée ! cela m'a ""sauvée"" dans plusieurs situations, où j'ai pu appeler mon mari en france et avoir à disposition sur-le-champ la somme dont j'avais urgemment besoin.",séjourné plusieurs mois angleterre 202 carte revolut grande utilité utilisée pendant toute cette période payer achats aussi bien retirer espèces distributeur compte alimenté fois euros livres sterling contrairement produisait carte bancaire habituelle aucune commission facturée plus taux change économie non négligeable ailleurs lorsque connecte compte revolut téléphone portable accès liste contacts possèdent aussi compte revolut peux ainsi effectuer transfert argent importe lequel entre vice versa opération instantanée cela sauvée plusieurs situations où pu appeler mari france avoir disposition champ somme dont urgemment besoin,Positive,2,frais
1013,Avis Revolut ,"4,7 sur 5 étoiles",14/01/2022,"j'utilise la carte revolut depuis plus de 3 ans et elle m'accompagne à chacun de mes voyages à l'étranger ! cependant, lors d'un premier retrait d'espèces dans un dab en thaïlande, j'ai eu la mauvaise surprise d'avoir beaucoup de frais. en effet, je n'avais pas sélectionné la devise locale. donc, attention à ne pas faire la même erreur que moi ! mis à part cette mauvaise expérience, l'enregistrement a été très rapide, je n'ai jamais eu le moindre problème et je suis satisfaite du service. je trouve que l'application est intuitive et pratique car je reçois rapidement les informations sur les transactions effectuées. avant même qu'elle arrive à péremption, revolut m'a prévenu et m'en a envoyé une nouvelle sans frais. s'il y avait quelque chose à améliorer, ce serait l'augmentation du plafond de 200 euros pour le retrait d'espèces sans frais. je le trouve assez bas.",utilise carte revolut depuis plus ans accompagne chacun voyages étranger cependant lors premier retrait espèces dab thaïlande mauvaise surprise avoir beaucoup frais effet sélectionné devise locale donc attention faire erreur mis part cette mauvaise expérience enregistrement très rapide jamais moindre problème satisfaite service trouve application intuitive pratique car reçois rapidement informations transactions effectuées avant arrive péremption revolut prévenu envoyé nouvelle sans frais quelque chose améliorer augmentation plafond 200 euros retrait espèces sans frais trouve assez bas,Positive,3,service
