,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1222,Avis Shine ,"2,8 sur 5 étoiles",29/06/2022,"l'inscription chez shine a été simple, et l'application est agréable utiliser. des qualités que vous trouverez aisément chez d'autres banques pro en ligne, si vous tenez à éviter les problèmes qui surviennent très rapidement pour les opérations les plus simples (comme effectuer un virement pour payer vos fournisseurs).1) effectuez votre virement depuis l'application2) attendez les 2 à 3 jours ouvrés de traitement3) contactez le service client (disponible uniquement par chat) car le virement demeure en attente4) recevez une réponse après 1 à 2 jours ""je fais le nécessaire pour que notre partenaire bancaire valide votre virement""5) relancez plusieurs fois en une semaine pour obtenir la même réponse à chaque fois6) au bout de la 4ème relance et une semaine écoulée, on vous demande finalement une pièce justificative pour valider le virement (cela peut être : la facture, votre kbis, ou même celui de la société envers qui vous émettez le virement, une certification qualité et j'en passe...)7) attendez encore 4 jours et ça y est, le virement est fait !un simple virement peut alors prendre 10 jours : un record d'efficacité ! le top pour maintenir des relations de confiance avec vos fournisseurs.ce processus s'est répété sur plusieurs de mes virements, avec le même fournisseur, en me demandant une nouvelle pièce justificative à chaque fois.pour le bien de votre activité (et pour vous préserver d'éventuels ulcères) : à éviter selon moi.",inscription chez shine simple application agréable utiliser qualités trouverez aisément chez autres banques pro ligne si tenez éviter problèmes surviennent très rapidement opérations plus simples comme effectuer virement payer fournisseurs effectuez virement depuis application2 attendez jours ouvrés traitement3 contactez service client disponible uniquement chat car virement demeure attente4 recevez réponse après jours fais nécessaire partenaire bancaire valide virement relancez plusieurs fois semaine obtenir réponse chaque fois6 bout 4ème relance semaine écoulée demande finalement pièce justificative valider virement cela peut être facture kbis celui société envers émettez virement certification qualité passe attendez encore jours ça virement fait simple virement peut alors prendre 10 jours record efficacité top maintenir relations confiance fournisseurs processus répété plusieurs virements fournisseur demandant nouvelle pièce justificative chaque fois bien activité préserver éventuels ulcères éviter selon,Positive,6,accueil
1223,Avis Shine ,"1,6 sur 5 étoiles",17/06/2022,honnêtement je ne conseille pas du tout shine quand vous êtes un professionnel. sans explication ils arrivent à bloquer vos moyens de paiement et vous allez vous retrouver comme moi. cela fait 2 jours que je peux pas payer mon matériel et mes gars. donc tout à l’arrêt et sans aucune explication. personne au téléphone et les réponses automatiques ne répondent à aucune question.,honnêtement conseille tout shine quand professionnel sans explication arrivent bloquer moyens paiement allez retrouver comme cela fait jours peux payer matériel gars donc tout arrêt sans aucune explication personne téléphone réponses automatiques répondent aucune question,Positive,4,service
1224,Avis Shine ,"2,8 sur 5 étoiles",08/06/2022,"il y a sûrement des gens pour qui ça se passera certainement bien, mais généralement tout le monde a des soucis avec eux.c’est pas une propre banque, ils travaillent avec une banque. shine et simplement une application de virement bancaire. ils n’ont pas de lignes téléphoniques, même en cas de très grosse urgence impossible d’avoir quelqu’un au téléphone.ils m’ont bloqué mon compte pendant 3 semaines sans explication claire. 3 virements bloqués, donc fournisseurs non pas payés en temps et en heure.un client m’a carrément demandé de le rembourser car au bout de 3 semaines il ne pouvait plus attendre.la seule réponse qu’ils m’ont donné, c’est que leur partenaire financier fait des vérifications sur les virements (et en attendant tous mes comptes bloqués). j´envoyais10 mails par jour et personne ne me répondait.mon activité a été très impactée dû à ce blocage ( pas de salaire pour moi en mai et 2 clients qui sont partis). j’insiste vraiment personne ne s’occupe de vous dans cette application, personne n’est là pour vous expliquer quoi que se soit en cas de problème.que des échange par mails et votre interlocuteur ne comprend pas toujours ce que vous expliquez, et dans ce cas il vous répond avec des messages prédéfinis.",sûrement gens ça passera certainement bien généralement tout monde soucis propre banque travaillent banque shine simplement application virement bancaire lignes téléphoniques cas très grosse urgence impossible avoir quelqu téléphone bloqué compte pendant semaines sans explication claire virements bloqués donc fournisseurs non payés temps heure client carrément demandé rembourser car bout semaines pouvait plus attendre seule réponse donné partenaire financier fait vérifications virements attendant tous comptes bloqués envoyais10 mails jour personne répondait activité très impactée dû blocage salaire mai clients partis insiste vraiment personne occupe cette application personne là expliquer quoi cas problème échange mails interlocuteur comprend toujours expliquez cas répond messages prédéfinis,Positive,4,service
1225,Avis Shine ,"1,6 sur 5 étoiles",10/04/2022,"ouverture de compte pour une société. la plate-forme vous demande des documents afin de constituer votre dossier. vous pouvez les transférer en ligne et suivre l évolution. après avoir transmis mon dossier je regardais régulièrement l évolution et à ma grande surprise, ils n acceptaient pas le justificatif de domicile d´un actionnaire (qui est mon conjoint) mais acceptaient le mien qui est le même. lorsque vous le faites remarquer à l´assistance, elle refuse le mien alors que mon dossier est bon. refus de l attestation engie/happe car ils ne sont pas sûr. pareil pour la taxe d habitation. donc shine enchaîne les demande de documents qui ont été transmis depuis plusieurs jours. ils me demandent une attestation d hébergement alors que je le leur ai fourni sur leur modèle. bref 10 jours où les personnes à qui je m´adresse me demande des documents sans vérifier s´ils sont dans le dossier.",ouverture compte société plate forme demande documents afin constituer dossier pouvez transférer ligne suivre évolution après avoir transmis dossier regardais régulièrement évolution grande surprise acceptaient justificatif domicile actionnaire conjoint acceptaient mien lorsque faites remarquer assistance refuse mien alors dossier bon refus attestation engie happe car sûr pareil taxe habitation donc shine enchaîne demande documents transmis depuis plusieurs jours demandent attestation hébergement alors fourni modèle bref 10 jours où personnes adresse demande documents sans vérifier dossier,Positive,6,accueil
1226,Avis Shine ,"1,6 sur 5 étoiles",06/04/2022,"je souhaite faire part de ma mauvaise expérience chez shine pour prévenir les futurs intéressés. il m'est impossible d'ouvrir un compte alors que mon entreprise, très classique (sasu ayant des activités de conseils) répond à tous les critères d'acceptation. aucune justification, des réponses lapidaires. après x relance, on me justifie que ma structure est une holding, ce qui n'est pas absolument pas le cas (sasu de prestations de conseils aux entreprises). je vous conseille qonto, qui a un service bien supérieur.",souhaite faire part mauvaise expérience chez shine prévenir futurs intéressés impossible ouvrir compte alors entreprise très classique sasu activités conseils répond tous critères acceptation aucune justification réponses lapidaires après relance justifie structure holding absolument cas sasu prestations conseils entreprises conseille qonto service bien supérieur,Positive,5,personnel
1227,Avis Shine ,"2,0 sur 5 étoiles",06/04/2022,"compliqué ! en temps que pro vous devez également leur fournir des factures de ventes et d'achats ainsi que des certificats de session de véhicules. j'ai été client à la banque postale durant des années je n'ai jamais été embêté par cette banque. cela est dommage car je pensais vraiment avoir trouvé une banque différente, de plus aucun contact téléphonique n'est possible pour une entreprise, cela est vraiment très contrariant.",compliqué temps pro devez également fournir factures ventes achats ainsi certificats session véhicules client banque postale durant années jamais embêté cette banque cela dommage car pensais vraiment avoir trouvé banque différente plus aucun contact téléphonique possible entreprise cela vraiment très contrariant,Negative,4,service
1228,Avis Shine ,"2,2 sur 5 étoiles",07/03/2022,j´étais client depuis juillet 2020. mon compte était toujours créditeur de plus de 5000 euros et du jour au lendemain je reçois un mail comme quoi mon compte va être clôturé dans les 60 jours et ce sans aucune explication. honnêtement les comptes sont peut-être moins coûteux qu un compte dans une agence mais dans une agence cela ne fonctionne pas comme ça. si vous êtes comme moi auto entrepreneurje ne vous conseille pas shine. payer 11.90 par mois pour se faire jeter comme ça.,client depuis juillet 2020 compte toujours créditeur plus 5000 euros jour lendemain reçois mail comme quoi compte va être clôturé 60 jours sans aucune explication honnêtement comptes peut être moins coûteux compte agence agence cela fonctionne comme ça si comme auto entrepreneurje conseille shine payer 11 90 mois faire jeter comme ça,Positive,4,service
1229,Avis Shine ,"1,8 sur 5 étoiles",26/01/2022,"j'ai une situation très particulière liée à la création de mon entreprise. au lieu d'essayer de comprendre leurs clients, shine.fr préfère les diriger vers des chat bots inutiles et simplement fermer les dossiers. j'attends toujours mon remboursement.",situation très particulière liée création entreprise lieu essayer comprendre leurs clients shine fr préfère diriger vers chat bots inutiles simplement fermer dossiers attends toujours remboursement,Negative,6,accueil
1230,Avis Shine ,"3,0 sur 5 étoiles",18/01/2022,"shine est une banque agréable, mais c'est difficile de récupérer l'argent qu'on y dépose : ils ont annulé sans raison 2 virements sur 3, et c'est très compliqué de s'en dépêtrer. aujourd’hui on m’indique que c’est parce qu’ils n’acceptent que les pdfs, avant c'était parce que le logo de mon autre banque avait changé, la fois précédente c’était parce que leur prestataire “souhaitait obtenir plus de détails sur l’activité de mon entreprise” et voulait un kbis (que je n’ai pas puisque je suis en micro en libéral). franchement j’aime bien shine, mais c’est la croix et la bannière pour récupérer son argent. il me paraît utile de préciser qu’ils ne préviennent jamais quand ils annulent les virements, c’est donc au moment où on a besoin de l’argent et qu’on pense l’avoir reçu qu’on réalise que shine n’a pas réagi comme prévu.",shine banque agréable difficile récupérer argent dépose annulé sans raison virements très compliqué dépêtrer aujourd hui indique parce acceptent pdfs avant parce logo autre banque changé fois précédente parce prestataire souhaitait obtenir plus détails activité entreprise voulait kbis puisque micro libéral franchement aime bien shine croix bannière récupérer argent paraît utile préciser préviennent jamais quand annulent virements donc moment où besoin argent pense avoir reçu réalise shine réagi comme prévu,Positive,6,accueil
1231,Avis Shine ,"4,3 sur 5 étoiles",21/12/2021,"je suis cliente de shine depuis environ 2 ans et suis très satisfaite de la qualité des services et produits proposés.mon inscription sur la plateforme s'est faite facilement via l'application mobile. la navigation sur la boutique en ligne est fluide, agréable et rapide. mes achats portent essentiellement sur des vêtements, des sacs et des petits bijoux. j'apprécie que les délais annoncés soient généralement respectés. le service clientèle est assez efficace et les interlocuteurs sont sympathiques et à l'écoute. ma dernière commande, passée le 15 novembre, s'est égarée au cours de la livraison. j'ai déposé une réclamation deux semaines plus tard. après enquête d'une dizaine de jours, shine a décidé de me rembourser du montant, soit 87 euros.je déplore, cependant, que les problèmes sont d'abord traités par des robots. ce n'est qu'en dernier recours que le contact humain peut s'établir. il s'agit là du seul point qui, selon moi, devrait être amélioré.",cliente shine depuis environ ans très satisfaite qualité services produits proposés inscription plateforme faite facilement via application mobile navigation boutique ligne fluide agréable rapide achats portent essentiellement vêtements sacs petits bijoux apprécie délais annoncés généralement respectés service clientèle assez efficace interlocuteurs sympathiques écoute dernière commande passée 15 novembre égarée cours livraison déposé réclamation deux semaines plus tard après enquête dizaine jours shine décidé rembourser montant 87 euros déplore cependant problèmes abord traités robots dernier recours contact humain peut établir agit là seul point selon devrait être amélioré,Positive,0,service
