,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
717,Avis Société Générale ,"4,6 sur 5 étoiles",13/07/2022,"très bons échanges avec ma conseillère. je remercie sa réactivité dont j ai eu plusieurs fois besoin. répond à mes attentes, rendez vous rapides et communication efficace.s il y a des soucis, ceux ci sont vite réglés et les services assurés. exemple : pendant les vacances j´ai envoyé un mail à ma conseillère afin de rétablir le sans contact de ma cb, cela a été fait dans les 10 mn qui ont suivis.",très bons échanges conseillère remercie réactivité dont plusieurs fois besoin répond attentes rendez rapides communication efficace soucis ceux ci vite réglés services assurés exemple pendant vacances envoyé mail conseillère afin rétablir sans contact cb cela fait 10 mn suivis,Positive,4,service
718,Avis Société Générale ,5 sur 5 étoiles,07/07/2022,"très bon échange avec la directrice de lunéville, ouverture d´un compte, carte bleue, efficacité, rapidité pour les démarches, banque à recommander, accès au guichet, stationnement à proximité, toujours à l écoute, de bons renseignements, placements sûrs, cotisations réduites.",très bon échange directrice lunéville ouverture compte carte bleue efficacité rapidité démarches banque recommander accès guichet stationnement proximité toujours écoute bons renseignements placements sûrs cotisations réduites,Positive,6,accueil
719,Avis Société Générale ,"2,6 sur 5 étoiles",01/07/2022,"je suis client depuis des années à cette banque mais depuis quelques temps c'est une vraie catastrophe avec le service clients. il est quasi impossible de joindre son conseiller par téléphone, on tombe sur une plateforme qui soit disant transmet les messages. n'essayez pas le mail, car le conseiller ne répondra pas, ou alors s´il le fait, ce sera dans 1 mois. j'ai même son numéro de portable mais pareil, le message est toujours le même "" je suis absent ou indisponible, laissez moi un message"".donc c'est une banque qui est bien, sauf si vous avez une demande à faire.",client depuis années cette banque depuis quelques temps vraie catastrophe service clients quasi impossible joindre conseiller téléphone tombe plateforme disant transmet messages essayez mail car conseiller répondra alors fait mois numéro portable pareil message toujours absent indisponible laissez message donc banque bien sauf si demande faire,Negative,6,accueil
720,Avis Société Générale ,5 sur 5 étoiles,30/06/2022,"très satisfait de l'écoute et du professionnalisme de ma conseillère société générale à nîmes.j'ai voulu changer de gestion sg en gestion libre, je m'attendais à un reproche sur ce changement, cette dame a été à l'écoute de ma demande et à fait son maximum pour que ma demande corresponde à l'offre société générale. son role de conseillère est pleinement établi.",très satisfait écoute professionnalisme conseillère société générale nîmes voulu changer gestion sg gestion libre attendais reproche changement cette dame écoute demande fait maximum demande corresponde offre société générale role conseillère pleinement établi,Positive,6,accueil
721,Avis Société Générale ,"2,0 sur 5 étoiles",27/06/2022,"j'ai décidé de changer de banque. pourquoi ? et bien l'absence des conseillers, l'inexpérience de ceux ci, l'accueil des clients inexistants voir agressifs lorsque ça ne les arrange pas. pour information cela fait près de 50ans que je suis à la société générale.malheureusement les choses se compliquent puisque maintenant ma conseillère ne fait pas le nécessaire afin de clôturer mon compte. pire, elle ne me donne un rdv que dans 1 mois pour faire le nécessaire. pourtant on voit un peu partout qu'il est simple de changer de banque.",décidé changer banque pourquoi bien absence conseillers inexpérience ceux ci accueil clients inexistants voir agressifs lorsque ça arrange information cela fait près 50ans société générale malheureusement choses compliquent puisque maintenant conseillère fait nécessaire afin clôturer compte pire donne rdv mois faire nécessaire pourtant voit peu partout simple changer banque,Negative,4,service
722,Avis Société Générale ,"2,8 sur 5 étoiles",20/06/2022,"les points positifs :- pour ouvrir un compte chez eux, pas de problème. c'est fait en un rien de temps.- pour utiliser sa carte bancaire, pas de problème non plus.- je suis restée 6 ans chez eux.les points négatifs :- ne jamais avoir rien à leur demander.pour que ça se passe bien, il ne faut jamais déménager. ils ne changeront pas votre adresse. même si vous leur fournissez le jour même tous les papiers concernant votre nouvelle adresse 2 fois, ils n'en tiendront visiblement pas compte. mais cela n'aurait pas été un problème si ma carte n'était pas venue à son expiration. 3 fois ils m'ont envoyé une nouvelle carte. 3 fois à mon ancienne--ancienne adresse ( j'ai déménagé 2 fois entre temps). ensuite, lorsque je l'ai enfin reçu à mon adresse actuelle, c'était pas la carte que j'avais demandé. donc je les ai appelé pour qu'ils me renvoient la carte que j'ai commandé. mais encore une fois, elle fut envoyée à l'ancienne adresse.",points positifs ouvrir compte chez problème fait rien temps utiliser carte bancaire problème non plus restée ans chez points négatifs jamais avoir rien demander ça passe bien faut jamais déménager changeront adresse si fournissez jour tous papiers concernant nouvelle adresse fois tiendront visiblement compte cela problème si carte venue expiration fois envoyé nouvelle carte fois ancienne ancienne adresse déménagé fois entre temps ensuite lorsque enfin reçu adresse actuelle carte demandé donc appelé renvoient carte commandé encore fois envoyée ancienne adresse,Positive,3,service
723,Avis Société Générale ,"3,3 sur 5 étoiles",15/06/2022,"nous sommes une association et depuis le mois de février nous ne pouvons plus accéder à notre compte -seulement à la consultation-.la directrice de cette agence n'est pas en mesure ou pas capable de régler la situation, et ne répond pas aux mails envoyés.au mois de janvier, nous avons rempli un questionnaire pour la conformité de l'association et nous ne savons pas si le dossier est complet ou pas.manque de communication évidente.",association depuis mois février pouvons plus accéder compte seulement consultation directrice cette agence mesure capable régler situation répond mails envoyés mois janvier rempli questionnaire conformité association savons si dossier complet manque communication évidente,Positive,6,accueil
724,Avis Société Générale ,5 sur 5 étoiles,07/06/2022,"je suis cliente de la société générale -arras, mais je réside en allemagne. mon pass security ne fonctionnait plus, mon conseiller contacté par téléphone m'a guidé et donné l'adresse du service technique. ce dernier m' a envoyé un descriptif pour remettre en fonction le système défaillant. et j'ai retrouvé le plein usage de mon compte bancaire.",cliente société générale arras réside allemagne pass security fonctionnait plus conseiller contacté téléphone guidé donné adresse service technique dernier envoyé descriptif remettre fonction système défaillant retrouvé plein usage compte bancaire,Positive,0,service
725,Avis Société Générale ,"1,8 sur 5 étoiles",05/05/2022,"aucune réactivité, pour obtenir une attestation il faut 3 semaines et pourtant celle ci est facturée 25€.lorsqu'il s'agit de faire un remboursement anticipé d'un prêt, les services centraux enterrent la demande et donc le remboursement n'est pas fait dans les temps entrainant une solution dramatique financièrement pour le client. aucun interlocuteur en réponse aux demandes ou à la réclamation.",aucune réactivité obtenir attestation faut semaines pourtant celle ci facturée 25 lorsqu agit faire remboursement anticipé prêt services centraux enterrent demande donc remboursement fait temps entrainant solution dramatique financièrement client aucun interlocuteur réponse demandes réclamation,Negative,4,service
726,Avis Société Générale ,"4,8 sur 5 étoiles",03/05/2022,société générale à mont de marsan. merci à la conseillière pour son sérieux et sa réactivité. dossier pour prêt immobilier rondement mené. très bon contact et beaucoup de disponibilité et d'écoute. a recommander pour ceux qui doutent par rapport aux services bancaires qui fleurissent sur le marché.,société générale mont marsan merci conseillière sérieux réactivité dossier prêt immobilier rondement mené très bon contact beaucoup disponibilité écoute recommander ceux doutent rapport services bancaires fleurissent marché,Positive,4,service
727,Avis Société Générale ,"4,4 sur 5 étoiles",23/03/2022,"avis très favorable avec le servive clientèle. ma conseillère, toujours disponible, répond à toutes mes interrogations et trouve toujours une solution à mes problèmes. très rassurante et professionnelle. je suis cliente à la société générale depuis 1976 et comme beaucoup de personnes j'ai eu des soucis financiers qui ont toujours été solutionnés rapidement.",avis très favorable servive clientèle conseillère toujours disponible répond toutes interrogations trouve toujours solution problèmes très rassurante professionnelle cliente société générale depuis 1976 comme beaucoup personnes soucis financiers toujours solutionnés rapidement,Positive,2,frais
