,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1409,Avis Sogexia ,"4,0 sur 5 étoiles",22/06/2022,"trouver une banque en étant été interdit bancaire relevait à mes yeux du parcours du combattant, voire d'une mission impossible. mais avec sogexia tout s'ouvre enfin et ce en à peine quelques clics. c'est comme si on m'avait donné une deuxième chance, un nouveau départ bancaire. sogexia m'offre les mêmes fonctionnalités qu'une banque classique, mais sans les inconvénients et les portes fermées. freelance, j'aime la liberté et cette dernière, je la retrouve chez sogexia notamment avec des plafonds de carte élevés et une utilisation possible et facile à l'étranger. j'aime également la grande réactivité pour répondre à mes questions, et ce, de manière claire et précise. sogexia représente à mes yeux l'exemple même de la néobanque, ouverte, pertinente et pratique. vraiment, elle a tout d'une grande !",trouver banque interdit bancaire relevait yeux parcours combattant voire mission impossible sogexia tout ouvre enfin peine quelques clics comme si donné deuxième chance nouveau départ bancaire sogexia offre mêmes fonctionnalités banque classique sans inconvénients portes fermées freelance aime liberté cette dernière retrouve chez sogexia notamment plafonds carte élevés utilisation possible facile étranger aime également grande réactivité répondre questions manière claire précise sogexia représente yeux exemple néobanque ouverte pertinente pratique vraiment tout grande,Positive,2,frais
1410,Avis Sogexia ,"4,3 sur 5 étoiles",29/05/2022,"j'ai opté pour sogexia il y a deux ans. je ne pensais pas à l'époque que ça se passerait aussi bien. sogexia est une excellente alternative aux banques classiques, mais également un système très sûr. j'utilise un compte smartpay pour mes transactions, dont l'ouverture n'a posé aucun problème. le processus d'inscription et d'ouverture de compte est décrit en détail sur leur site web attrayant. je me suis connecté à leur site web et, en une demi-heure, j'avais un compte avec un rib. sogexia dispose aussi d'une application mobile que j'ai installé et que j'utilise quotidiennement. il n'y a pas de frais de gestion de trésorerie, ni de frais fictifs. en m'inscrivant au club sogexia, j'ai pu profiter d'offres spéciales. pour finir, sogexia dispose d'une équipe joviale à l'écoute et au service des clients. je les ai déjà contactés auparavant par mail pour obtenir de l’aide.",opté sogexia deux ans pensais époque ça passerait aussi bien sogexia excellente alternative banques classiques également système très sûr utilise compte smartpay transactions dont ouverture posé aucun problème processus inscription ouverture compte décrit détail site web attrayant connecté site web demi heure compte rib sogexia dispose aussi application mobile installé utilise quotidiennement frais gestion trésorerie ni frais fictifs inscrivant club sogexia pu profiter offres spéciales finir sogexia dispose équipe joviale écoute service clients déjà contactés auparavant mail obtenir aide,Positive,0,service
1411,Avis Sogexia ,"4,0 sur 5 étoiles",06/04/2022,"un ami m’a convaincu d’opter pour sogexia, il y a un an. au début, je n’avais pas une confiance totale, mais j’ai essayé et je suis satisfait. banque fiable, alternative 100 % digitale aux banques traditionnelles. j’utilise mon compte smartpay pour réaliser mes opérations bancaires. pour s’inscrire et disposer d’un compte, c’est facile, gratuit et rapide. il suffit de vous rendre sur le site de sogexia et en moins de 10 minutes, vous aurez un compte totalement en ligne avec un rib comme moi. site web bien élaboré, application mobile pratique. j’utilise souvent l’application pour gérer mon compte et mes transactions. cela me permet de savoir combien je dépense et comment. et le meilleur est que sogexia ne prélève pas de faux frais et pas de frais de gestion de compte. je me suis également inscrit au sogexia club et je bénéficie fréquemment des réductions sur des achats et d’autres bénéfices. pour finir, le service client est accessible et très réactif. un mail ou un appel et ils vous trouvent des solutions rapides.",ami convaincu opter sogexia an début confiance totale essayé satisfait banque fiable alternative 100 digitale banques traditionnelles utilise compte smartpay réaliser opérations bancaires inscrire disposer compte facile gratuit rapide suffit rendre site sogexia moins 10 minutes compte totalement ligne rib comme site web bien élaboré application mobile pratique utilise souvent application gérer compte transactions cela permet savoir combien dépense comment meilleur sogexia prélève faux frais frais gestion compte également inscrit sogexia club bénéficie fréquemment réductions achats autres bénéfices finir service client accessible très réactif mail appel trouvent solutions rapides,Positive,3,service
1412,Avis Sogexia ,"4,5 sur 5 étoiles",22/02/2022,"dans mon quotidien, j'effectue énormément de transactions financières. au bout d'un moment, je me suis rendu compte qu'il fallait établir des budgets pour mes diverses activités et surtout mes dépenses quotidiennes. je me suis donc mis à la quête d'une banque flexible, fiable et surtout mobile. j'ai subtilement fait des enquêtes auprès de mes partenaires. quelques-uns d'entre eux m'ont vanté les mérites de sogexia. en me rendant sur le site, j'étais sidéré par les propositions qui défilaient. je n’ai donc pas hésité à lancer la procédure d’ouverture de compte. après quelques minutes, mon compte était fonctionnel. dans la même période, je devais effectuer quelques transactions (envoi et réception de fonds) à mes partenaires. au cours de l’opération, je me suis rendu compte que je n'avais pas configuré certaines fonctionnalités de l’application mobile sogexia, ce qui a entraîné l’annulation des opérations. mon premier réflexe a été d’appeler le service client pour en savoir plus. au bout de quelques minutes, ils m'ont apporté l'aide nécessaire. j'étais tellement contente d’avoir reçu une si précieuse aide rapidement.",quotidien effectue énormément transactions financières bout moment rendu compte fallait établir budgets diverses activités surtout dépenses quotidiennes donc mis quête banque flexible fiable surtout mobile subtilement fait enquêtes auprès partenaires quelques uns entre vanté mérites sogexia rendant site sidéré propositions défilaient donc hésité lancer procédure ouverture compte après quelques minutes compte fonctionnel période devais effectuer quelques transactions envoi réception fonds partenaires cours opération rendu compte configuré certaines fonctionnalités application mobile sogexia entraîné annulation opérations premier réflexe appeler service client savoir plus bout quelques minutes apporté aide nécessaire tellement contente avoir reçu si précieuse aide rapidement,Positive,6,accueil
1413,Avis Sogexia ,"4,0 sur 5 étoiles",26/01/2022,"avec sogexia, l'ouverture d'un compte bancaire est possible depuis un téléphone portable, sans justificatifs et sans engagements. la marque propose un service mobile exclusivement disponible depuis un smartphone. en ce qui concerne notamment l'enregistrement, il est très rapide. je suis satisfait surtout des services de paiements proposés aux particuliers. j'ai réussi à effectuer mon inscription en quelques minutes. plusieurs raisons m'ont poussé à choisir cette société. les virements d'un compte à un autre sont systématiques et sans frais. avec cette configuration, je peux régler mes dettes rapidement. je reçois et je peux également réaliser des transferts à l'international à des coûts très intéressants comparativement aux banques traditionnelles. sogexia est un organisme financier de paiement certifié au luxembourg. la majeure partie de mes revenus sont bien gardés sur un compte spécial dédié et ils ne sont jamais utilisés pour des investissements ou des prêts. l'assistance à la clientèle est aussi prompte pour la gestion des diverses préoccupations des clients.",sogexia ouverture compte bancaire possible depuis téléphone portable sans justificatifs sans engagements marque propose service mobile exclusivement disponible depuis smartphone concerne notamment enregistrement très rapide satisfait surtout services paiements proposés particuliers réussi effectuer inscription quelques minutes plusieurs raisons poussé choisir cette société virements compte autre systématiques sans frais cette configuration peux régler dettes rapidement reçois peux également réaliser transferts international coûts très intéressants comparativement banques traditionnelles sogexia organisme financier paiement certifié luxembourg majeure partie revenus bien gardés compte spécial dédié jamais utilisés investissements prêts assistance clientèle aussi prompte gestion diverses préoccupations clients,Positive,0,service
1414,Avis Sogexia ,"4,3 sur 5 étoiles",31/10/2021,"je me suis inscrit sur sogexia en juillet 2020, après avoir eu plusieurs problèmes avec mon ancienne banque, une grande enseigne française. sur les conseils d’un ami déjà client, j’ai décidé de sauter le pas.l’inscription est simple et rapide, et après deux mois d’utilisation, je n’ai pas hésité à clôturer mes anciens comptes en prenant le soin de transférer l’intégralité de mes fonds sur sogexia.j’apprécie particulièrement l’application qui accompagne mon compte, très réactive et d’une simplicité déconcertante, tout simplement le jour et la nuit entre mon ancienne banque et celle-ci.le service client est également très performant et réactif, se sentir à l’écoute est un vrai plus pour le client d´une banque, les conseilleurs que j'ai pu avoir en ligne sont très professionnels.enfin, j’ai trouvé les avantages du sogexia club très intéressants, notamment grâce aux nombreux partenariats qu’ils possèdent.",inscrit sogexia juillet 2020 après avoir plusieurs problèmes ancienne banque grande enseigne française conseils ami déjà client décidé sauter inscription simple rapide après deux mois utilisation hésité clôturer anciens comptes prenant soin transférer intégralité fonds sogexia apprécie particulièrement application accompagne compte très réactive simplicité déconcertante tout simplement jour nuit entre ancienne banque celle ci service client également très performant réactif sentir écoute vrai plus client banque conseilleurs pu avoir ligne très professionnels enfin trouvé avantages sogexia club très intéressants notamment grâce nombreux partenariats possèdent,Positive,3,service
1415,Avis Sogexia ,"3,5 sur 5 étoiles",19/10/2021,"sogexia propose plusieurs types de comptes. j'ai créé mon compte pour particulier en ligne en moins de 10 minutes et sans engagements. la plateforme propose plusieurs types de mastercard pour faciliter les transactions. j'ai eu donc la possibilité de faire mes achats en ligne avec ma mastercard en tout sécurité. c'est très pratique et simple d'utilisation. je peux maintenant gérer mes opérations tout en les suivant en temps réel.je comprends facilement où vont mes finances avec la catégorisation automatique des dépenses. avec sogexia, j'ai surtout échangé avec des conseillers réactifs et très expérimentés. la plateforme met la satisfaction de ses clients au cœur de ses préoccupations. cette banque en ligne propose la réception et l'émission de virement en zone sepa. c'est ainsi, que j'ai envoyé de l'argent à un porche à l'étranger sans difficulté.je peux le recommander au vue de l'accueil et de la rapidité à laquelle les comptes se créent. malheureusement, cette néo banque ne permet pas d'encaisser des chèques.",sogexia propose plusieurs types comptes créé compte particulier ligne moins 10 minutes sans engagements plateforme propose plusieurs types mastercard faciliter transactions donc possibilité faire achats ligne mastercard tout sécurité très pratique simple utilisation peux maintenant gérer opérations tout suivant temps réel comprends facilement où vont finances catégorisation automatique dépenses sogexia surtout échangé conseillers réactifs très expérimentés plateforme met satisfaction clients cœur préoccupations cette banque ligne propose réception émission virement zone sepa ainsi envoyé argent porche étranger sans difficulté peux recommander vue accueil rapidité laquelle comptes créent malheureusement cette néo banque permet encaisser chèques,Positive,0,service
1416,Avis Sogexia ,"4,5 sur 5 étoiles",24/09/2021,"cette plateforme est vraiment géniale ! je n'ai jamais eu aucun problème avec sogexia.les paiements sont effectués à des frais très avantageux ! les différents produits qu'ils proposent fonctionnent tous parfaitement. je possède actuellement 3 cartes sogexia et aucune d'entre elles ne me pose de soucis. de plus, l'inscription chez eux est assez rapide et simple à effectuer. on vous guide correctement à chacune des étapes.j'ai du contacter leur service client un jour pour une simple question administrative. une femme très sympathique m'a directement répondu et a su résoudre mon ""problème"" en seulement quelques minutes. ça fait plaisir de pouvoir faire confiance autant confiance à une banque de nos jours. je vous recommande sogexia à 100 %. n'hésitez plus, vous ne serez vraiment pas déçus d'avoir franchi le pas.",cette plateforme vraiment géniale jamais aucun problème sogexia paiements effectués frais très avantageux différents produits proposent fonctionnent tous parfaitement possède actuellement cartes sogexia aucune entre elles pose soucis plus inscription chez assez rapide simple effectuer guide correctement chacune étapes contacter service client jour simple question administrative femme très sympathique directement répondu su résoudre problème seulement quelques minutes ça fait plaisir pouvoir faire confiance autant confiance banque jours recommande sogexia 100 hésitez plus vraiment déçus avoir franchi,Positive,0,service
1417,Avis Sogexia ,"4,3 sur 5 étoiles",19/08/2021,"honnêtement, au début je n'osais pas ouvrir mon compte chez sogexia quand je lisais certains avis sur cette banque.et au final j'ai osé franchir le pas. comme dit l'expression, qui ne tente rien n'a rien. cela fait aujourd'hui 4 mois que j'ai ouvert mon compte chez sogexia et aucun problème à signaler. les virements sont effectuées très rapidement ainsi que les prélèvements.un autre point positif est que les frais ne sont pas si élevés que dans certaines autres banques.si comme moi vous hésitez à vous inscrire je vous dirais qu'il ne faut pas tellement se fier à l'avis des autres. chacun vit son expérience différemment.cependant, je vous recommande tout de même fortement d'opter pour cette banque. croyez moi, vous ne serez absolument pas déçu.",honnêtement début osais ouvrir compte chez sogexia quand lisais certains avis cette banque final osé franchir comme dit expression tente rien rien cela fait aujourd hui mois ouvert compte chez sogexia aucun problème signaler virements effectuées très rapidement ainsi prélèvements autre point positif frais si élevés certaines autres banques si comme hésitez inscrire dirais faut tellement fier avis autres chacun vit expérience différemment cependant recommande tout fortement opter cette banque croyez absolument déçu,Positive,1,frais
1418,Avis Sogexia ,"4,5 sur 5 étoiles",09/08/2021,"une banque vraiment sympathique où l'on ressent réellement le sentiment d'être en relations avec de vrais êtres humains.ce qui est très rare pour banque alors gardez ce trait de caractère très agréable. les transactions se font facilement et sans difficultés. de plus, le service client est extrêmement réactif.les membres de sogexia sont des personnes très sociables et à l'écoute de vos demandes. ils sont toujours de bonne humeur pour vous aider. je suis inscrit sur cette banque depuis 5 ans et je n'ai jamais eu de soucis.le seul regret que je peux avoir est de ne pas avoir connu cette banque plus tôt dans ma vie. j'ai commandé la carte métal possédant un plafond conséquent. j'attends impatiemment de la recevoir. merci beaucoup et vive sogexia !",banque vraiment sympathique où ressent réellement sentiment être relations vrais êtres humains très rare banque alors gardez trait caractère très agréable transactions font facilement sans difficultés plus service client extrêmement réactif membres sogexia personnes très sociables écoute demandes toujours bonne humeur aider inscrit cette banque depuis ans jamais soucis seul regret peux avoir avoir connu cette banque plus tôt vie commandé carte métal possédant plafond conséquent attends impatiemment recevoir merci beaucoup vive sogexia,Positive,4,service
