,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1316,Avis Transcash ,5 sur 5 étoiles,21/06/2022,"j’ai acheté une carte transcash sur leur site en remplissant simplement le formulaire : nom, prenom, email, adresse. j’ai reçu une carte transcash mastercard noire par la poste quelques jours plus tard. je suis allé ensuite sur leur site pour activer ma carte en entrant les 16 numéros de la carte, puis j’ai dû créer un compte avec mot de passe. ensuite, j’ai acheté une recharge en ligne de 100 euros (le plafond de chargement dépend de la formule qu’on a choisi : access, essential ou max) avec laquelle j’ai rechargé ma carte transcash (on entre le code de la recharge sur notre compte). on peut aussi recharger sa carte transcash directement par cb ou virement bancaire et on peut payer sur internet sur les sites acceptant la mastercard et retirer de l’argent dans tous les points de retrait.amélioration souhaitée : ce serait bien d’avoir un compte rémunéré sur lequel on pourrait faire des virements avec la carte transcash.",acheté carte transcash site remplissant simplement formulaire nom prenom email adresse reçu carte transcash mastercard noire poste quelques jours plus tard allé ensuite site activer carte entrant 16 numéros carte puis dû créer compte mot passe ensuite acheté recharge ligne 100 euros plafond chargement dépend formule choisi access essential max laquelle rechargé carte transcash entre code recharge compte peut aussi recharger carte transcash directement cb virement bancaire peut payer internet sites acceptant mastercard retirer argent tous points retrait amélioration souhaitée bien avoir compte rémunéré lequel pourrait faire virements carte transcash,Positive,6,accueil
1317,Avis Transcash ,"4,0 sur 5 étoiles",31/03/2022,"je cherchais une solution de paiement sans engagement pour envoyer de l’argent à l’étranger quand une amie m’a parlé de transcash. j’ai essayé transcash et ses cartes prépayées et depuis, je ne regrette rien. c’est facile à utiliser : pas besoin de compte bancaire. à l’enregistrement, vous bénéficiez de deux cartes et de certains privilèges d’une formule à une autre. moi, j’ai opté pour la formule access et je ne me plains pas. avec ces cartes prépayées de transcash, j’arrive à effectuer toutes mes transactions et mes achats sans trop de démarches administratives, et sans restriction. le meilleur est que les transactions avec transcash sont très rapides et sécurisées. transcash dispose d’un site web responsive et d’une application mobile facile à prendre en main. le service client est jovial et disponible pour vous satisfaire le plus vite possible. en gros, transcash représente une alternative à essayer pour une fluidité dans vos transactions. croyez-moi, vous ne serez pas déçu.",cherchais solution paiement sans engagement envoyer argent étranger quand amie parlé transcash essayé transcash cartes prépayées depuis regrette rien facile utiliser besoin compte bancaire enregistrement bénéficiez deux cartes certains privilèges formule autre opté formule access plains cartes prépayées transcash arrive effectuer toutes transactions achats sans trop démarches administratives sans restriction meilleur transactions transcash très rapides sécurisées transcash dispose site web responsive application mobile facile prendre main service client jovial disponible satisfaire plus vite possible gros transcash représente alternative essayer fluidité transactions croyez déçu,Positive,6,accueil
1318,Avis Transcash ,"1,6 sur 5 étoiles",31/01/2022,"j'achète une recharge transhcash, je mets 90€ dessus, et impossible d'effectuer le moindre petit achat sur internet, impossible de retirer le moindre petit billet à un distributeur. les 90€ restent bloquer sur mon compte transcash.i buy a transhcash recharge, i put 90€ on it, and impossible to make the smallest purchase on the internet, impossible to withdraw the smallest note from a distributor. the 90€ remain blocked on my transcash account.ich kaufe eine transhcash-aufladung, ich zahle 90€ darauf und unmöglich den kleinsten einkauf im internet zu tätigen, unmöglich den kleinsten geldschein von einem schalter abzuheben. die 90€ bleiben auf meinem transcash-konto gesperrt.",achète recharge transhcash mets 90 dessus impossible effectuer moindre petit achat internet impossible retirer moindre petit billet distributeur 90 restent bloquer compte transcash buy transhcash recharge put 90 it and impossible to make the smallest purchase the internet impossible to withdraw the smallest note from distributor the 90 remain blocked my transcash account ich kaufe eine transhcash aufladung ich zahle 90 darauf und unmöglich den kleinsten einkauf im internet zu tätigen unmöglich den kleinsten geldschein von einem schalter abzuheben die 90 bleiben auf meinem transcash konto gesperrt,Negative,0,service
1319,Avis Transcash ,"1,8 sur 5 étoiles",29/12/2021,"après recharge d´un coupon de 100 euros crédité sur la carte, transcash me supprime les 100 euros car mon enfant a rentré le code du ticket une 2eme fois. le service client me parle d´un bug donc je ne suis pas responsable mais ils ne veulent pas me rembourser.",après recharge coupon 100 euros crédité carte transcash supprime 100 euros car enfant rentré code ticket 2eme fois service client parle bug donc responsable veulent rembourser,Positive,6,accueil
1320,Avis Transcash ,"3,0 sur 5 étoiles",11/10/2021,pour vos remboursements je vous conseille de contacter le service financier de transcash.grâce à ce service que j’ai pu obtenu mon remboursement.j’espère que vous pourrez obtenir aussi votre remboursement car au départ j’étais bouleversé mais heureusement que je suis tombé sur ce service fiable et réactif.,remboursements conseille contacter service financier transcash grâce service pu obtenu remboursement espère pourrez obtenir aussi remboursement car départ bouleversé heureusement tombé service fiable réactif,Positive,6,accueil
1321,Avis Transcash ,"4,3 sur 5 étoiles",01/10/2021,"lorsque j'ai voulu faciliter mes différentes transactions, j'ai entendu parler de la carte prépayée transcash. cette carte m'a été recommandé par un ami qui lui aussi l'avait déjà utilisé. j'ai choisi transcash car il s'agit d'une carte de débit prépayée qui offre les mêmes caractéristiques qu'une carte de crédit, mais qui n'est pas liée à un compte bancaire. il n'y a donc pas de procédures administratives lourdes ni de restrictions et vous pouvez facilement obtenir une carte.après m'être enregistré, relativement rapidement, j'ai pu tester la carte prépayée pour quelques transactions.mon expérience avec cette carte a été bien meilleure par rapport aux autres prestataires dont j'ai eu à utiliser le service. avec transcash, je peux utiliser toutes les fonctionnalités dont j'ai besoin. je peux faire des achats en ligne, transférer l'argent à qui je veux et le recevoir. avec transcash, vous choisissez une solution sans obligation. une alternative transparente que tout le monde peut utiliser.",lorsque voulu faciliter différentes transactions entendu parler carte prépayée transcash cette carte recommandé ami aussi déjà utilisé choisi transcash car agit carte débit prépayée offre mêmes caractéristiques carte crédit liée compte bancaire donc procédures administratives lourdes ni restrictions pouvez facilement obtenir carte après être enregistré relativement rapidement pu tester carte prépayée quelques transactions expérience cette carte bien meilleure rapport autres prestataires dont utiliser service transcash peux utiliser toutes fonctionnalités dont besoin peux faire achats ligne transférer argent veux recevoir transcash choisissez solution sans obligation alternative transparente tout monde peut utiliser,Positive,3,service
1322,Avis Transcash ,"3,5 sur 5 étoiles",24/09/2021,"je pense que transcash est un établissement crédible.pour toutes mes transactions en ligne, j'ai notamment apprécié la rapidité du service. les cartes prépayées sont surtout très utilisées pour les achats en ligne et je trouve qu'elles sont très avantageuses. je n'ai pas besoin d'aller dans une banque. transcash offre une solution simple et sécurisée pour gérer mes fonds. les virements et retraits sont sécurisés et s'effectuent de façon fluide.après mon inscription, j'ai pu tester la carte prépayée pour quelques opérations. avec transcash, vous optez pour une solution sans engagement. c'est une alternative sans découvert accessible à tout le monde.les coupons et les tickets transcash sont des services très appréciables. certains sont réticents par rapport à ces offres à cause des arnaques. néanmoins, cette société propose une solution plus simple pour envoyer et recevoir de l'argent quel que soit la destination.",pense transcash établissement crédible toutes transactions ligne notamment apprécié rapidité service cartes prépayées surtout très utilisées achats ligne trouve elles très avantageuses besoin aller banque transcash offre solution simple sécurisée gérer fonds virements retraits sécurisés effectuent façon fluide après inscription pu tester carte prépayée quelques opérations transcash optez solution sans engagement alternative sans découvert accessible tout monde coupons tickets transcash services très appréciables certains réticents rapport offres cause arnaques néanmoins cette société propose solution plus simple envoyer recevoir argent quel destination,Positive,0,service
1323,Avis Transcash ,"1,4 sur 5 étoiles",23/09/2021,"des voleurs.payer un code 108€ pour 100€ de crédit plus 10€ pour la carte bancaire. et au moment de rentrer le code ,on m indique qu il est invalide car il aura été utilisé alors que ce dernier n’est jamais sorti de ma poche.aucun remboursement possible et un dépôt de plainte sans suite.a fuir.",voleurs payer code 108 100 crédit plus 10 carte bancaire moment rentrer code indique invalide car utilisé alors dernier jamais sorti poche aucun remboursement possible dépôt plainte sans suite fuir,Negative,6,accueil
1324,Avis Transcash ,"1,0 sur 5 étoiles",05/08/2021,"impossibilité de recharger la carte noire transcash sans justificatif au moins 10 essais, renvoi sur unposte occupé.initialement j'ai cherché un peu partout un buraliste qui vendait les cartes transcash; j'ai un coupon de 50 euros et je ne peux rien en faire , c'est une tromperie qu'il faut dénoncer!",impossibilité recharger carte noire transcash sans justificatif moins 10 essais renvoi unposte occupé initialement cherché peu partout buraliste vendait cartes transcash coupon 50 euros peux rien faire tromperie faut dénoncer,Negative,6,accueil
1325,Avis Transcash ,"1,0 sur 5 étoiles",24/06/2021,"suite escroquerie via ticket prépayé, dépôt de plainte à la police, voici le retour du service client :""..de plus, sachez qu'aucun remboursement n'est possible. soit le code n'a pas été utilisé par le tiers malveillant, auquel cas vous devrez acheter un pack transcash, soit il a été utilisé auquel cas considérez votre argent comme perdu.""porte ouverte à toutes les arnaques.",suite escroquerie via ticket prépayé dépôt plainte police voici retour service client plus sachez aucun remboursement possible code utilisé tiers malveillant auquel cas devrez acheter pack transcash utilisé auquel cas considérez argent comme perdu porte ouverte toutes arnaques,Positive,6,accueil
