,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1147,Avis TransferWise ,"2,3 sur 5 étoiles",05/07/2022,"pour tirer l'argent sur mon compte, c'était immédiat et sans plus de demandes. puis des demande de photos de mes pièces d'identités et autres justificatifs, puis encore des photos et encore une photo avec ma pièce d'identité en main. tout pour gagner du temps et ne pas transférer l'argent jusqu'à ce que j'annule la transaction!",tirer argent compte immédiat sans plus demandes puis demande photos pièces identités autres justificatifs puis encore photos encore photo pièce identité main tout gagner temps transférer argent jusqu annule transaction,Positive,3,service
1148,Avis TransferWise ,"1,8 sur 5 étoiles",16/06/2022,"ils indiquent que l'ouverture d'un compte est gratuit mais afin de finaliser l'inscription, vous devez régler 50 euros de frais uniques. vous trouverez le détail des informations tarifaires dans la section ""tarification"" de leur site, où c'est clairement noté que l'ouverture du compte est gratuite!",indiquent ouverture compte gratuit afin finaliser inscription devez régler 50 euros frais uniques trouverez détail informations tarifaires section tarification site où clairement noté ouverture compte gratuite,Positive,2,frais
1149,Avis TransferWise ,"4,0 sur 5 étoiles",25/04/2022,"de toutes les plateformes que j’ai déjà eues à tester, je pense que transferwise (actuellement wise) est la meilleure banque en ligne du marché. à la base, je recherchais juste un moyen pour effectuer des virements en ligne à l’international. mais avec transferwise, j’ai découvert un service bancaire fiable et complet. déjà, l’inscription a été instantanée, aussi bien pour mon compte personnel que pour mon compte d’entreprise.ensuite, l’interface de l’application mobile est vraiment belle et ergonomique. les actions à mener se devinent aisément, avec un design bien travaillé. la possibilité de posséder des comptes bancaires en plusieurs devises réduit les frais liés aux conversions. qui plus est, l’application permet d’ouvrir des tirelires pour mettre de l’argent de côté. leur service client est moyen à cause du temps de réponse. toutefois, la seule fois que j’ai eu un problème, j’ai été vite réglé. je recommande.",toutes plateformes déjà tester pense transferwise actuellement wise meilleure banque ligne marché base recherchais juste moyen effectuer virements ligne international transferwise découvert service bancaire fiable complet déjà inscription instantanée aussi bien compte personnel compte entreprise ensuite interface application mobile vraiment belle ergonomique actions mener devinent aisément design bien travaillé possibilité posséder comptes bancaires plusieurs devises réduit frais liés conversions plus application permet ouvrir tirelires mettre argent côté service client moyen cause temps réponse toutefois seule fois problème vite réglé recommande,Positive,0,service
1150,Avis TransferWise ,"3,3 sur 5 étoiles",02/04/2022,"je suis chez transferwise depuis plusieurs mois pour le compte de mon association. tout allait très bien, jusqu'au mois dernier, où je découvre que mon compte est subitement bloqué. j'appelle alors le service client qui me dit que je dois fournir les documents légaux de l'association. je n'ai pas compris car j'avais déjà fourni tous ces documents il y a un an environ (au moment de l'inscription) et je trouve brutal de bloquer un compte pour demander des documents et sans avertir en plus ! la moindre des choses aurait été de donner un délai de retour et de laisser le compte activé. j'ai tout de même renvoyé tous les documents demandés. trois semaines après, aucun changement sur mon compte. je rappelle donc le service client, toujours aimable au téléphone, qui me dit qu'il faut que je patiente, que le service chargé des vérifications est surchargé. il aura fallu un mois et une semaine pour que mes documents soient validés et mon compte enfin débloqué. je trouve ça aberrant et j'espère que transferwise va s´améliorer rapidement dans ce domaine.",chez transferwise depuis plusieurs mois compte association tout allait très bien jusqu mois dernier où découvre compte subitement bloqué appelle alors service client dit dois fournir documents légaux association compris car déjà fourni tous documents an environ moment inscription trouve brutal bloquer compte demander documents sans avertir plus moindre choses donner délai retour laisser compte activé tout renvoyé tous documents demandés trois semaines après aucun changement compte rappelle donc service client toujours aimable téléphone dit faut patiente service chargé vérifications surchargé fallu mois semaine documents validés compte enfin débloqué trouve ça aberrant espère transferwise va améliorer rapidement domaine,Positive,6,accueil
1151,Avis TransferWise ,"2,2 sur 5 étoiles",25/02/2022,"leurs tarifs sont corrects mais aucun service. 10 jours pour effectuer une modification d'information de compte. ils répondent rapidement en live sur leur chat, mais juste pour vous dire qu'ils ne peuvent rien faire.",leurs tarifs corrects aucun service 10 jours effectuer modification information compte répondent rapidement live chat juste dire peuvent rien faire,Positive,6,accueil
1152,Avis TransferWise ,"4,3 sur 5 étoiles",10/02/2022,"pour avoir souscrit et bénéficié des nombreux avantages de transferwise, je trouve ce service génial. le processus d'ouverture de compte était aisé et rapide. fait en ligne, il me fallait simplement remplir un formulaire avec mes coordonnées. l'application mobile de transferwise m'a permis de gérer efficacement mon portefeuille et de suivre toutes les opérations effectuées. cette application, facile d'utilisation, est disponible sur google play. enfin, le service client est excellent. aussi, les taux de change compétitifs, la gratuité de la carte bancaire et surtout la fiabilité et la rapidité des transferts internationaux sont des points forts qui m'ont particulièrement impressionné lors de mon expérience avec ce service. hélas, les moyens de paiements (carte bancaire et virement bancaire international) sont limités à transferwise. en plus, il est impossible d'y faire des virements pour acheter les crypto monnaies.",avoir souscrit bénéficié nombreux avantages transferwise trouve service génial processus ouverture compte aisé rapide fait ligne fallait simplement remplir formulaire coordonnées application mobile transferwise permis gérer efficacement portefeuille suivre toutes opérations effectuées cette application facile utilisation disponible google play enfin service client excellent aussi taux change compétitifs gratuité carte bancaire surtout fiabilité rapidité transferts internationaux points forts particulièrement impressionné lors expérience service hélas moyens paiements carte bancaire virement bancaire international limités transferwise plus impossible faire virements acheter crypto monnaies,Positive,0,service
1153,Avis TransferWise ,"4,3 sur 5 étoiles",07/02/2022,"j'ai travaillé au canada l'année passée et j'ai donc économisé un peu d'argent. je ne me voyais absolument pas passer par le système bancaire traditionnel étant donné les prix hallucinants pratiqués. après avoir discuté avec un bon nombre d'expatriés autour de moi, beaucoup m'ont parlé en bien de transferwise. une fois rentrée en france, je me suis directement inscrite. c'était si facile que je me suis demandée s'il n'y avait pas une arnaque, mais absolument pas ! le système est très simple à utiliser, j'ai inscrit dans l'application la somme que je voulais me verser, de quels comptes je voulais être débitée et créditée et le tour était joué. j'ai bien évidemment regarder quel était le meilleur moment pour transférer le montant (le cours de la bourse est indiqué) et, surtout, ce qui est vraiment pratique, c'est que le taux est garanti quelques jours. on peut ainsi prendre son temps pour se décider. et enfin, le suivi est super, on reçoit la somme très vite sur son compte, dès le lendemain pour ma part.",travaillé canada année passée donc économisé peu argent voyais absolument passer système bancaire traditionnel donné prix hallucinants pratiqués après avoir discuté bon nombre expatriés autour beaucoup parlé bien transferwise fois rentrée france directement inscrite si facile demandée arnaque absolument système très simple utiliser inscrit application somme voulais verser quels comptes voulais être débitée créditée tour joué bien évidemment regarder quel meilleur moment transférer montant cours bourse indiqué surtout vraiment pratique taux garanti quelques jours peut ainsi prendre temps décider enfin suivi super reçoit somme très vite compte dès lendemain part,Positive,6,accueil
1154,Avis TransferWise ,"4,0 sur 5 étoiles",08/12/2021,"j'apprécie beaucoup, je peux faire des transferts internationaux en toute sécurité, rapidement et sans avoir à payer des frais de transactions colossales! c'est très efficace. je vous le recommende et en plus c´est gratuit et multidevises. merci transferwise. c'est la meilleure plateforme internationale de transfert que j'ai jamais vu.",apprécie beaucoup peux faire transferts internationaux toute sécurité rapidement sans avoir payer frais transactions colossales très efficace recommende plus gratuit multidevises merci transferwise meilleure plateforme internationale transfert jamais vu,Positive,2,frais
1155,Avis TransferWise ,5 sur 5 étoiles,19/11/2021,"j'utilise wise depuis 5 ans maintenant. étant une française expatriée à l'étranger, je trouve que wise est le moyen le plus rapide et sûr pour faire un transfert d'argent entre deux comptes étrangers. l'inscription est très rapide le site comme l'application sont tous deux très intuitifs. lorsque je vivais au québec, un transfert d'argent entre la france et le canada prenait environ 24h. maintenant que je vis en angleterre, le transfert entre la france et le royaume-uni est immédiat ! c'est vraiment pratique et bon marché comparé aux transferts d'argent proposés par les banques traditionnelles.petit conseil : je vous recommande d'utiliser l'alerte de taux de change. elle est très pratique et vous prévient dès que le taux est à votre avantage.aujourd'hui, je ne peux plus me passer ce service. je recommande à tous les expatriés d'utiliser wise.",utilise wise depuis ans maintenant française expatriée étranger trouve wise moyen plus rapide sûr faire transfert argent entre deux comptes étrangers inscription très rapide site comme application tous deux très intuitifs lorsque vivais québec transfert argent entre france canada prenait environ 24h maintenant vis angleterre transfert entre france royaume uni immédiat vraiment pratique bon marché comparé transferts argent proposés banques traditionnelles petit conseil recommande utiliser alerte taux change très pratique prévient dès taux avantage aujourd hui peux plus passer service recommande tous expatriés utiliser wise,Positive,2,frais
1156,Avis TransferWise ,5 sur 5 étoiles,18/11/2021,"j'ai utilisé transferwise pour effectuer un important virement vers l'étranger dans le cadre d'un prêt étudiant pour une école.ma banque me demandait énormément de justificatifs et surtout prenait des frais très importants sur le transfert. j'ai cherché une solution externe pour pouvoir effectuer mon virement simplement, rapidement et avec un bon taux de change. en passant par transferwise je n'ai eu aucun problème, de plus, les frais étaient raisonnables et j'ai pu effectuer le virement rapidement. tout était bien expliqué et clair. je conseille d'utiliser leurs services pour ce type d'opération si vous souhaitez de la facilité, de la flexibilité et un taux de change correspondant au marché.",utilisé transferwise effectuer important virement vers étranger cadre prêt étudiant école banque demandait énormément justificatifs surtout prenait frais très importants transfert cherché solution externe pouvoir effectuer virement simplement rapidement bon taux change passant transferwise aucun problème plus frais raisonnables pu effectuer virement rapidement tout bien expliqué clair conseille utiliser leurs services type opération si souhaitez facilité flexibilité taux change correspondant marché,Positive,3,service
