,title,rating,date,review
0,Avis La Banque Postale #143,"2,2 sur 5 étoiles",(Évaluation de Léonard le 14/07/2022),"Client depuis plus de 20 ans à La Banque Postale avec comptes courants, une carte bancaire à débit différé, des livrets, j'ai dû progressivement me résoudre à résilier petit à petit tous ces services pour ne garder qu'un compte courant sans CB et sans chèque. Le service n'a fait que se dégrader au fil du temps et le Covid n'a fait qu'accélérer la chute. Alors que depuis quelques années, les frais de gestion bancaires augmentent de façon significative tous les ans.Un exemple d'agacement : lorsque que j'ai résilié, dans les règles, ma carte bancaire par lettre recommandée contenant cette carte, La Banque Postale a continué pendant 2 ans à prélever la cotisation. A chaque fois, il a fallu batailler pour récupérer des cotisations pour une carte que je n'avais plus.Pour faire les virements, il faut utiliser le système d'authentification CERTIFICODE PLUS, qui est compliqué et de ne fonctionne pas toujours.Depuis 2 ans j'ai ouvert un compte dans une banque en ligne et je n'ai rien à dire, sauf qu'il n'y a pas de frais de gestion et que la carte bancaire est gratuite."
1,Avis La Banque Postale #142,"1,8 sur 5 étoiles",(Évaluation de Martin le 14/07/2022),"Cliente depuis 40 ans, je ferme tous les livrets A du foyer et comptes ce jour. Suite à un problème technique de leur fait, je n'ai plus aucun accès à mes comptes.Après un temps fou à attendre que leurs services décrochent et plusieurs interlocuteurs qui n'en connaissent pas plus que moi, on me demande d'aller à la poste afin de récupérer un code et de les rappeler afin de réinitialiser certicode plus. En attendant l'ouverture de ce bureau qui depuis bien longtemps est plus souvent fermé qu'ouvert, je dois jongler avec mes heures de travail. Et là, on me dit que je suis malgré tout responsables des opérations qui me mettraient à découvert, étant dans l'impossibilité de créditer le compte à temps.Les virements reçus sont longs à apparaître sur le compte par rapport à une autre banque, les bureaux de poste qui gèrent les comptes sont de plus en plus éloignés."
2,Avis La Banque Postale #141,"1,6 sur 5 étoiles",(Évaluation de LeWa le 12/07/2022),"Avec mon épouse, nous sommes clients de LBP depuis 40 ans. Suite à des problèmes d'achat en ligne avec nos cartes bancaires LBP (achats impossibles, raison inconnue des services techniques LBP), nous avons décidé de changer de banque.Voici la liste des griefs à l'encontre de cette banque :- Rendement assurance vie très faible voir négatif- Service clientèle inexistant- Conseillers financiers inaccessibles et incompétents- Délai de clôture des produits (livret A, PEL, CCP, …) inacceptable,- Facturation de frais de gestion non justifiée au regard des prestations assurées- Ensemble des opérations à réaliser par formulaires"
3,Avis La Banque Postale #140,"2,0 sur 5 étoiles",(Évaluation de Pedro le 11/07/2022),"Après 20 ans à la banque postale, je ne peux pas utiliser mon argent sur mon compte courant. Je dois virer 20 mille € à un notaire pour acheter un bien et là, surprise, c'est impossible depuis mon compte internet. C'est limité à 4000 € par jour. Je dois donc aller à mon agence, pas une autre, où un employé me fait des difficultés : justificatif du notaire, avis d'imposition, déclaration papier de je ne sais plus quoi, pièce d'identité pour finalement me dire qu'il doit attendre que mon conseiller personnel valide l´opération. Deux jours après la Banque Postale m'enlevait 4 euros pour ""virement occasionnel""."
4,Avis La Banque Postale #139,"2,8 sur 5 étoiles",(Évaluation de Michael le 09/07/2022),"La Banque Postale a transféré un total de 60 000 € de mon compte courant. Elle a ensuite reversé 40 000 € sur le compte. Un total de 6 transactions, sans aucune référence à moi - ni aucune explication. J'avais autorisé un transfert de 10 000 €.J'ai utilisé mon Espace Client il y a 2 semaines pour demander une explication. Aucune réponse. J'ai envoyé un autre message il y a une semaine - toujours pas de réponse. Cela aurait pu être très embarrassant pour moi. Pourquoi aucune réponse ? Je suppose qu'ils n'ont pas vraiment de personnel au service des clients."
5,Avis La Banque Postale #138,5 sur 5 étoiles,(Évaluation de grem le 09/07/2022),"La réponse à Christine; tu as eu 5000 euros de carte visa prélevés sur ton compte bancaire. Sache que tu peux bloquer tes achats sur internet si tu n en fais pas, donc pas de possibilité de te prendre ton argent. Maintenant faites comme moi, j ai un compte hello one (bnp) quand j´achète sur interne, je dépose en 15 secondes la somme sur Hello One, et si on veut me faire 20 ou 30 prélèvement carte bleue, ce n´est pas possible. Donc il faut apprendre à gérer tout cela. Les banques ne peuvent pas assumer les fautes des clients, restez donc très vigilant."
6,Avis La Banque Postale #137,"2,0 sur 5 étoiles",(Évaluation de Christine le 06/07/2022),"J'ai été l'objet d'opérations d'hameçonage suite à un faux message du site NETFLIX auquel je venais de m'abonner. A la suite de cette opération, j'ai fait l'objet de 35 opérations de débit à la carte bancaire en une seule journée sans avoir eu un seul message de la banque même automatique me demandant si j'étais à l'origine de ces opérations. Le préjiudice s'élève à plus de 5 000 euros et malgré mes oppositions et recours, à ce jour la banque refuse de me rembourser sans prouver la négligence grave de ma part ou la fraude. Je déplore la réaction de la banque, réaction qui est d'ailleurs montrée du doigt dans les médias par UFC QUE CHOISIR qui a décidé d'attaquer plusieurs banques pour ce genre de refus de remboursement."
7,Avis La Banque Postale #136,"2,2 sur 5 étoiles",(Évaluation de Dam le 05/07/2022),"J'essaie de faire un virement à l'étranger depuis une semaine, on me le bloque car la signature ne correspond pas à celle que j'ai fait lors de l'ouverture du compte, aucune solution à m'apporter sauf me rendre au guichet pour la modifier. Je pose donc une après-midi, car ils sont ouverts un jour sur deux de 9h à 17h max .La dame du guichet est dans l'incapacité de trouver le papier que je dois remplir pour modifier ma signature. 6000€ bloqués pour rien avec aucune solution apportée."
8,Avis La Banque Postale #135,"2,6 sur 5 étoiles",(Évaluation de Jlou le 05/07/2022),"Si comme moi et beaucoup d'autres, vous n'avez que survolé la documentation tarifaire de la Banque Postale mise à jour au premier Janvier de cette année, et bien comme moi vous avez loupé l'augmentation tarifaire de la gestion du découvert autorisé de votre compte bancaire. Ces frais de 6,00€ seront prélevés directement sur votre compte entre septembre et décembre 2022. Pour moi qui n'utilise jamais cette possibilité de découvert (trop chère) c'est un scandale. Le montant du découvert accordé est établi par l'établissement bancaire en fonction du fonctionnement de votre compte et le découvert autorisé est souvent supérieur à la somme de 300.00€ accordée, somme plancher pour la mise en œuvre de cette nouvelle taxe de gestion, que vous utilisiez ou pas ce droit à découvert (non spécifié dans la brochure d'explication).Je téléphone de suite à mon conseiller La Banque Postale qui m'informe que si j'utilise la possibilité de baisser, en ligne, et directement à partir de mon compte, mon droit à découvert sous le plafond fatidique des 300.00€, et bien je me verrais facturé la somme de 6.00€ pour la gestion de ce plafond. Courrier au service clients et au centre de gestion pour leur notifier mon refus des nouvelles conditions tarifaires."
9,Avis La Banque Postale #134,"2,3 sur 5 étoiles",(Évaluation de Jybou le 04/07/2022),"Le service client est déplorable, les interlocuteurs en ligne n'ont aucune compétence et nous baladent d'un service vers l'autre à 0.15€/minute, pour finir à ne pas avoir de réponse. Par contre pour encaisser les frais de compte et se servir sur le compte, là il n'y a pas de souci, ça sort plus vite que le temps pour le dire. Bref: pour avoir expérimenté plusieurs banques en ligne, la banque postale a du souci à se faire, vis à vis de la concurrence, j'ai quitté cet établissement médiéval pour une banque moderne et efficace."
